gene,pattern,sort_key,logFC_Training_CRE,logFC_Training_PLA,pi_score_CRE,pi_score_PLA,pi_score_Interaction,imputed
MCTS1,PLA-specific,0.7508,-0.23,0.7508,0.814063,0.044064,0.022416,TRUE
CAMK2D,PLA-specific,0.7392,0.1372,0.7392,0.915067,0.01077,0.181152,FALSE
VAPB,PLA-specific,0.7357,-0.246,0.7357,0.782072,0.041289,0.018193,FALSE
CNIH4,PLA-specific,0.7277,-0.0054,0.7277,0.999903,0.030225,0.102932,TRUE
ME2,PLA-specific,0.6889,0.059,0.6889,0.987419,0.04566,0.206549,FALSE
DHRS7,PLA-specific,0.6015,0.1669,0.6015,0.839782,0.027669,0.363265,FALSE
RPS2,PLA-specific,0.5375,0.13,0.5375,0.887963,0.034763,0.344736,FALSE
HNRNPDL,PLA-specific,-0.6377,0.3248,-0.6377,0.484814,0.028419,0.002377,FALSE
YWHAE,PLA-specific,-0.6412,0.272,-0.6412,0.653433,0.039984,0.008693,FALSE
SCP2,PLA-specific,-0.6579,0.0571,-0.6579,0.987448,0.042997,0.091161,FALSE
RHOA,PLA-specific,-0.6732,0.2091,-0.6732,0.814767,0.04175,0.021922,FALSE
GPX4,PLA-specific,-0.7071,0.1154,-0.7071,0.943715,0.021245,0.031364,FALSE
TXN,PLA-specific,-0.7109,0.2675,-0.7109,0.733865,0.046924,0.015807,FALSE
TMX4,PLA-specific,-0.7381,-0.1633,-0.7381,0.886955,0.024593,0.268128,TRUE
UBE3A,PLA-specific,-0.7588,-0.0408,-0.7588,0.99235,0.028451,0.094697,TRUE
DCUN1D1,PLA-specific,-0.7667,-0.1155,-0.7667,0.953895,0.028716,0.221837,TRUE
PGAM1,PLA-specific,-0.7834,0.0423,-0.7834,0.993445,0.009818,0.038069,FALSE
SOD1,PLA-specific,-0.8258,-0.128,-0.8258,0.942046,0.011973,0.161054,FALSE
SELENBP1,PLA-specific,-0.8756,-0.0739,-0.8756,0.987109,0.040908,0.198706,FALSE
FAH,PLA-specific,-0.8797,0.1888,-0.8797,0.906422,0.034473,0.03453,FALSE
ENO1,PLA-specific,-0.8806,0.1184,-0.8806,0.962278,0.025264000000000002,0.04454,FALSE
PAFAH1B2,PLA-specific,-0.8917,-0.1725,-0.8917,0.893284,0.005399,0.146093,TRUE
LGALS1,PLA-specific,-0.9105,0.0257,-0.9105,0.998111,0.007478,0.038549,FALSE
PFDN1,PLA-specific,-0.9214,-0.3302,-0.9214,0.64289,0.028989,0.410897,TRUE
SERPINH1,PLA-specific,-0.9251,0.6789,-0.9251,0.401249,0.045788,0.005284,TRUE
TNS1,PLA-specific,-0.9562,0.0877,-0.9562,0.979958,0.011653,0.032465,FALSE
GPD1,PLA-specific,-0.9579,0.0774,-0.9579,0.981755,0.003782,0.015124,FALSE
CALM1,PLA-specific,-0.9601,0.3967,-0.9601,0.647529,0.033534,0.007366,FALSE
LMOD3,PLA-specific,-0.9619,-0.2282,-0.9619,0.845854,0.035664,0.275715,TRUE
KYAT1,PLA-specific,-0.9646,-0.5139,-0.9646,0.420119,0.035085,0.682377,TRUE
BCAP31,PLA-specific,-0.9702,0.5329,-0.9702,0.407672,0.021634,0.001199,TRUE
CD58,PLA-specific,-0.9816,0.6837,-0.9816,0.287595,0.033289,0.001176,TRUE
