gene,logFC_Training_CRE,logFC_Training_PLA,pi_score_CRE,pi_score_PLA,pi_score_Interaction,significance,quadrant,imputed
VAT1,0.594,-0.2,0.392902,0.928608,0.333798,NS,Discordant (CRE Up / PLA Down),FALSE
NRBP1,0.0547,0.7389,0.989255,0.28465,0.393362,NS,Concordant Up,TRUE
FKBP9,0.663,0.1297,0.432589,0.97342,0.701866,NS,Concordant Up,TRUE
BABAM2,0.1956,0.5971,0.890455,0.290081,0.709355,NS,Concordant Up,TRUE
FECH,-0.3818,0.4103,0.542919,0.518031,0.12911,NS,Discordant (CRE Down / PLA Up),TRUE
PRXL2A,-0.0253,-0.7666,0.99887,0.212911,0.390811,NS,Concordant Down,FALSE
ISCA1,-0.3106,-0.4806,0.693862,0.52053,0.94978,NS,Concordant Down,TRUE
RPL24,-0.3117,-0.4788,0.663988,0.440263,0.944059,NS,Concordant Down,TRUE
MVP,0.6558,0.1344,0.182789,0.961795,0.575982,NS,Concordant Up,TRUE
TUBA8,-0.3314,0.4566,0.7214,0.538646,0.229953,NS,Discordant (CRE Down / PLA Up),FALSE
ARL8A,-0.2956,0.4922,0.735474,0.385992,0.155825,NS,Discordant (CRE Down / PLA Up),TRUE
JPH1,-0.5033,0.2842,0.431106,0.821727,0.248072,NS,Discordant (CRE Down / PLA Up),TRUE
ACSL4,-0.674,0.1129,0.22527,0.975662,0.290146,NS,Discordant (CRE Down / PLA Up),TRUE
NDUFS2,-0.1492,0.6363,0.931504,0.164233,0.144012,NS,Discordant (CRE Down / PLA Up),FALSE
SLC25A46,-0.0677,0.7178,0.988339,0.414935,0.392829,NS,Discordant (CRE Down / PLA Up),TRUE
RAB12,-0.5023,-0.2829,0.134419,0.685948,0.857125,NS,Concordant Down,TRUE
CD81,0.0389,-0.7456,0.997715,0.313032,0.420082,NS,Discordant (CRE Up / PLA Down),FALSE
CLIP2,-0.3291,0.4551,0.55226,0.484402,0.128484,NS,Discordant (CRE Down / PLA Up),TRUE
USP9X,0.2993,0.4838,0.560338,0.188837,0.890172,NS,Concordant Up,TRUE
MTM1,-0.0485,0.7345,0.994149,0.247008,0.285319,NS,Discordant (CRE Down / PLA Up),TRUE
TXNRD2,-0.4639,-0.3184,0.33432,0.76605,0.9614,NS,Concordant Down,TRUE
MRPL49,0.3697,0.4123,0.682049,0.647724,0.997465,NS,Concordant Up,TRUE
MYLK2,-0.5801,-0.2004,0.378439,0.922521,0.798336,NS,Concordant Down,TRUE
CCS,0.0932,-0.6868,0.980895,0.210277,0.26021,NS,Discordant (CRE Up / PLA Down),TRUE
DCN,0.725,-0.053,0.400987,0.996811,0.520506,NS,Discordant (CRE Up / PLA Down),FALSE
TNNI1,-0.0058,0.7722,0.999957,0.361602,0.493083,NS,Discordant (CRE Down / PLA Up),TRUE
EIPR1,-0.0711,-0.7046,0.982212,0.149996,0.320181,NS,Concordant Down,TRUE
APOE,0.379,0.3959,0.776471,0.775959,0.999733,NS,Concordant Up,FALSE
SYNCRIP,0.4963,0.2778,0.052519,0.525118,0.785903,NS,Concordant Up,FALSE
MRRF,0.2917,0.4796,0.740698,0.675379,0.955645,NS,Concordant Up,TRUE
TUBB2A,0.3413,-0.4297,0.734158,0.62272400000000006,0.294019,NS,Discordant (CRE Up / PLA Down),FALSE
ARHGDIA,0.344,-0.427,0.611276,0.478093,0.139332,NS,Discordant (CRE Up / PLA Down),FALSE
SH3BGRL,0.6581,-0.1126,0.287107,0.977395,0.342419,NS,Discordant (CRE Up / PLA Down),FALSE
SDHD,-0.3911,0.3792,0.655334,0.710936,0.303418,NS,Discordant (CRE Down / PLA Up),TRUE
MRPS18B,0.1504,-0.6198,0.948604,0.436709,0.355551,NS,Discordant (CRE Up / PLA Down),TRUE
SOD3,-0.089,-0.6765,0.985117,0.308076,0.569224,NS,Concordant Down,FALSE
NAA50,-0.1977,-0.5635,0.836954,0.208506,0.667123,NS,Concordant Down,TRUE
RASA4,0.1138,-0.6471,0.961254,0.210364,0.200493,NS,Discordant (CRE Up / PLA Down),TRUE
SCO1,0.3374,0.4231,0.72372,0.608868,0.988977,NS,Concordant Up,TRUE
RRAS,-0.2129,-0.5472,0.867886,0.32331,0.786098,NS,Concordant Down,FALSE
CARS2,-0.2885,0.4716,0.754341,0.587549,0.288067,NS,Discordant (CRE Down / PLA Up),TRUE
HCCS,0.1427,-0.6163,0.927207,0.167732,0.134783,NS,Discordant (CRE Up / PLA Down),TRUE
CES2,0.1459,0.6127,0.937962,0.271426,0.613934,NS,Concordant Up,TRUE
PITPNA,0.2982,-0.4587,0.747669,0.490539,0.217096,NS,Discordant (CRE Up / PLA Down),FALSE
HSD17B8,-0.3986,0.3576,0.575617,0.689898,0.236773,NS,Discordant (CRE Down / PLA Up),TRUE
MFAP4,0.2334,-0.5224,0.931875,0.676351,0.552107,NS,Discordant (CRE Up / PLA Down),TRUE
LASP1,0.4542,-0.3009,0.596213,0.830633,0.364451,NS,Discordant (CRE Up / PLA Down),TRUE
GCSH,-0.2635,0.4915,0.799413,0.424935,0.212136,NS,Discordant (CRE Down / PLA Up),FALSE
TOMM40,-0.5237,0.2312,0.333798,0.868433,0.233013,NS,Discordant (CRE Down / PLA Up),TRUE
STAMBP,-0.6679,0.0869,0.146829,0.980984,0.21544,NS,Discordant (CRE Down / PLA Up),TRUE
SQOR,0.2393,-0.5154,0.741556,0.248266,0.087329,NS,Discordant (CRE Up / PLA Down),TRUE
BTF3,0.4822,-0.2724,0.385594,0.852868,0.286389,NS,Discordant (CRE Up / PLA Down),TRUE
NDUFA2,-0.1168,0.6376,0.960357,0.175877,0.185527,NS,Discordant (CRE Down / PLA Up),FALSE
CAV1,0.0985,-0.6557,0.987654,0.513393,0.538828,NS,Discordant (CRE Up / PLA Down),FALSE
PTMS,0.4673,-0.2869,0.328198,0.714744,0.12098,NS,Discordant (CRE Up / PLA Down),TRUE
TIMM9,-0.3319,-0.4216,0.665074,0.652411,0.987722,NS,Concordant Down,TRUE
STAT1,0.4986,-0.2548,0.308307,0.864348,0.25468,NS,Discordant (CRE Up / PLA Down),TRUE
FABP3,-0.2583,0.4951,0.836557,0.489776,0.283448,NS,Discordant (CRE Down / PLA Up),FALSE
CACNA1S,-0.3021,-0.4498,0.560991,0.282443,0.934309,NS,Concordant Down,TRUE
PLEC,0.4089,0.3419,0.555765,0.704016,0.992528,NS,Concordant Up,FALSE
ARPP19,-0.5908,0.1598,0.130676,0.916264,0.124894,NS,Discordant (CRE Down / PLA Up),TRUE
LNPEP,0.2984,0.4522,0.684134,0.41652,0.947824,NS,Concordant Up,TRUE
MAPK9,-0.0266,0.7239,0.998244,0.200434,0.277361,NS,Discordant (CRE Down / PLA Up),TRUE
LRRC59,0.6541,0.0958,0.124271,0.979047,0.471408,NS,Concordant Up,TRUE
ATP2A2,-0.4278,0.322,0.501371,0.724174,0.214706,NS,Discordant (CRE Down / PLA Up),FALSE
SULT1A1,0.4392,-0.31,0.608145,0.821321,0.366275,NS,Discordant (CRE Up / PLA Down),TRUE
SELENOP,-0.1133,-0.6348,0.97665,0.391825,0.668219,NS,Concordant Down,TRUE
ITGA6,-0.0487,-0.6992,0.994819,0.300404,0.4701,NS,Concordant Down,TRUE
CAP1,0.4643,-0.283,0.487258,0.811302,0.27071,NS,Discordant (CRE Up / PLA Down),FALSE
COMTD1,-0.1024,0.6445,0.977212,0.536284,0.479511,NS,Discordant (CRE Down / PLA Up),TRUE
WBP2,-0.2151,-0.5316,0.856957,0.3019,0.792056,NS,Concordant Down,TRUE
RPS11,-0.4908,-0.2537,0.325716,0.816689,0.8836,NS,Concordant Down,TRUE
PGAM1,0.0765,-0.6671,0.977474,0.052587,0.085591,NS,Discordant (CRE Up / PLA Down),FALSE
AOC3,-0.0487,-0.6947,0.997548,0.546042,0.703211,NS,Concordant Down,FALSE
HNRNPM,0.609,0.1332,0.10909,0.946294,0.507036,NS,Concordant Up,TRUE
GNAI2,0.4018,-0.3397,0.633849,0.754318,0.321131,NS,Discordant (CRE Up / PLA Down),FALSE
NDUFA8,0.0834,0.6581,0.983029,0.213266,0.478851,NS,Concordant Up,TRUE
CSRP2,-0.6168,0.1225,0.442355,0.973193,0.42848,NS,Discordant (CRE Down / PLA Up),TRUE
GMFG,-0.3356,-0.4021,0.819892,0.735311,0.995369,NS,Concordant Down,TRUE
ATP2B2,-0.1671,-0.5695,0.890295,0.274959,0.648828,NS,Concordant Down,TRUE
RHOA,0.2142,-0.522,0.78865,0.169495,0.072145,NS,Discordant (CRE Up / PLA Down),FALSE
TMEM38A,0.1993,-0.5366,0.91888,0.500231,0.380965,NS,Discordant (CRE Up / PLA Down),TRUE
CUL4A,0.0744,0.6607,0.986502,0.221897,0.467374,NS,Concordant Up,TRUE
PMPCA,0.4384,0.2951,0.440291,0.74802,0.959293,NS,Concordant Up,TRUE
CD63,0.3483,-0.3847,0.70534,0.686779,0.319886,NS,Discordant (CRE Up / PLA Down),TRUE
LAMTOR2,0.2149,0.5177,0.830571,0.553027,0.856642,NS,Concordant Up,TRUE
STK24,0.1871,-0.5451,0.916404,0.532007,0.391055,NS,Discordant (CRE Up / PLA Down),TRUE
RTCA,-0.3785,0.353,0.520669,0.620958,0.166585,NS,Discordant (CRE Down / PLA Up),TRUE
CD99L2,-0.3992,-0.3322,0.393465,0.620157,0.989316,NS,Concordant Down,TRUE
COMMD6,-0.3019,-0.4288,0.746469,0.647783,0.976,NS,Concordant Down,TRUE
COQ10B,-0.2067,0.5237,0.91965,0.531513,0.411384,NS,Discordant (CRE Down / PLA Up),TRUE
PCYT1A,-0.0233,0.7067,0.998365,0.116677,0.193737,NS,Discordant (CRE Down / PLA Up),TRUE
NDUFA9,0.0768,0.6515,0.982531,0.139488,0.388354,NS,Concordant Up,FALSE
ACAA1,-0.7135,0.0147,0.060846,0.999459,0.192521,NS,Discordant (CRE Down / PLA Up),TRUE
EPB41L2,0.3291,-0.399,0.701039,0.60601,0.257961,NS,Discordant (CRE Up / PLA Down),FALSE
PRKCSH,0.3979,-0.3296,0.417084,0.604782,0.113886,NS,Discordant (CRE Up / PLA Down),FALSE
FAM98B,-0.3964,0.33,0.563719,0.73081,0.26024,NS,Discordant (CRE Down / PLA Up),TRUE
SAMM50,-0.1285,0.5972,0.957414,0.283076,0.270174,NS,Discordant (CRE Down / PLA Up),FALSE
EHD1,0.1484,-0.5771,0.954051,0.414081,0.369827,NS,Discordant (CRE Up / PLA Down),FALSE
CD14,0.5089,-0.2155,0.622456,0.913548,0.466647,NS,Discordant (CRE Up / PLA Down),TRUE
MECR,-0.2421,0.4821,0.824344,0.421516,0.228182,NS,Discordant (CRE Down / PLA Up),TRUE
FHL3,-0.5558,0.1666,0.431899,0.950943,0.405931,NS,Discordant (CRE Down / PLA Up),TRUE
CBFB,-0.1158,-0.6065,0.947488,0.152514,0.452259,NS,Concordant Down,TRUE
ATP5PF,-0.1742,0.5466,0.888873,0.218171,0.147231,NS,Discordant (CRE Down / PLA Up),FALSE
CAMK2D,0.1528,0.5676,0.87335,0.063887,0.437224,NS,Concordant Up,FALSE
NT5C,-0.4697,0.2473,0.386735,0.814982,0.207474,NS,Discordant (CRE Down / PLA Up),TRUE
CYTH1,-0.5853,0.131,0.195519,0.939405,0.171675,NS,Discordant (CRE Down / PLA Up),TRUE
ARPC2,0.6496,0.0659,0.088955,0.988015,0.352103,NS,Concordant Up,TRUE
AUH,0.2811,0.4333,0.792429,0.536322,0.960152,NS,Concordant Up,TRUE
SPTBN1,0.4333,-0.2807,0.607761,0.843709,0.385877,NS,Discordant (CRE Up / PLA Down),FALSE
PDXP,-0.4467,-0.2669,0.507788,0.829236,0.945825,NS,Concordant Down,TRUE
MYH3,-0.3659,0.3472,0.838393,0.886139,0.64892,NS,Discordant (CRE Down / PLA Up),TRUE
MAN2C1,-0.5941,-0.1186,0.158381,0.959561,0.533308,NS,Concordant Down,TRUE
ZBTB9,0.0542,0.6582,0.993019,0.355604,0.519429,NS,Concordant Up,TRUE
NDUFA12,-0.0388,0.6732,0.99715,0.290627,0.395382,NS,Discordant (CRE Down / PLA Up),FALSE
ECM1,-0.2597,-0.4511,0.810256,0.457231,0.930011,NS,Concordant Down,TRUE
SORBS1,0.0486,-0.6613,0.996161,0.440086,0.501256,NS,Discordant (CRE Up / PLA Down),TRUE
PLP2,0.05,0.6586,0.994569,0.239228,0.462489,NS,Concordant Up,TRUE
GPX4,0.1194,-0.5887,0.935532,0.082423,0.081423,NS,Discordant (CRE Up / PLA Down),FALSE
CYB5R1,-0.2275,0.4799,0.779443,0.269941,0.115478,NS,Discordant (CRE Down / PLA Up),FALSE
SGCD,-0.369,0.3381,0.51327,0.613228,0.157607,NS,Discordant (CRE Down / PLA Up),FALSE
GPT2,-0.403,-0.3038,0.64192,0.831639,0.987182,NS,Concordant Down,TRUE
ACTN1,0.5616,0.1448,0.60939,0.975814,0.851017,NS,Concordant Up,FALSE
MT-ND1,-0.4716,-0.2347,0.623764,0.908401,0.934683,NS,Concordant Down,TRUE
COX5A,0.1742,0.532,0.886867,0.232914,0.687371,NS,Concordant Up,FALSE
TLN1,0.3466,-0.359,0.654616,0.660087,0.263056,NS,Discordant (CRE Up / PLA Down),FALSE
MAP3K20,-0.511,-0.1945,0.361727,0.907183,0.818884,NS,Concordant Down,TRUE
COX5B,0.2311,0.4739,0.787046,0.310679,0.848163,NS,Concordant Up,FALSE
CPT1A,-0.2963,-0.408,0.79595,0.691225,0.983215,NS,Concordant Down,TRUE
GCN1,0.0038,0.6989,0.999973,0.322658,0.447495,NS,Concordant Up,TRUE
SEPTIN9,0.692,-0.01,0.160198,0.99981,0.343473,NS,Discordant (CRE Up / PLA Down),TRUE
MYOM2,-0.2455,0.4562,0.881218,0.644968,0.447211,NS,Discordant (CRE Down / PLA Up),TRUE
SUMO2,0.3384,-0.3629,0.564516,0.566983,0.159641,NS,Discordant (CRE Up / PLA Down),TRUE
RPL8,-0.0042,-0.6957,0.999958,0.149244,0.297142,NS,Concordant Down,TRUE
KCTD12,0.4674,-0.2312,0.398696,0.857042,0.258829,NS,Discordant (CRE Up / PLA Down),TRUE
PUF60,0.4183,0.2798,0.551935,0.849189,0.971957,NS,Concordant Up,TRUE
NPLOC4,-0.2847,0.413,0.634139,0.370196,0.102421,NS,Discordant (CRE Down / PLA Up),FALSE
SF3B2,-0.4102,-0.2868,0.634265,0.815325,0.977429,NS,Concordant Down,TRUE
COL18A1,0.0415,-0.6555,0.995114,0.142385,0.229047,NS,Discordant (CRE Up / PLA Down),TRUE
TMEM65,-0.0636,0.6333,0.989587,0.425688,0.419953,NS,Discordant (CRE Down / PLA Up),TRUE
KHDRBS1,0.3033,-0.3926,0.694503,0.546023,0.217732,NS,Discordant (CRE Up / PLA Down),TRUE
SUOX,-0.2537,-0.4421,0.731127,0.353772,0.906048,NS,Concordant Down,TRUE
PHYKPL,0.2567,-0.4381,0.663178,0.343587,0.101313,NS,Discordant (CRE Up / PLA Down),TRUE
ALDH1A1,-0.2706,-0.4238,0.757602,0.490816,0.951344,NS,Concordant Down,FALSE
MAP2K3,-0.3154,0.3779,0.706596,0.634423,0.280422,NS,Discordant (CRE Down / PLA Up),TRUE
CAPZB,0.5155,0.1775,0.334134,0.91662,0.780317,NS,Concordant Up,FALSE
DNAJB4,0.2701,0.4227,0.81535,0.614222,0.963622,NS,Concordant Up,TRUE
ATP1A2,-0.3128,0.3797,0.668208,0.579424,0.219759,NS,Discordant (CRE Down / PLA Up),TRUE
CSPG4,-0.4893,0.2026,0.254793,0.922447,0.33785,NS,Discordant (CRE Down / PLA Up),TRUE
AP1G1,0.0678,-0.6238,0.985972,0.487595,0.449074,NS,Discordant (CRE Up / PLA Down),TRUE
COQ3,-0.4375,0.2538,0.598921,0.876771,0.420128,NS,Discordant (CRE Down / PLA Up),TRUE
MCTS1,-0.223,0.4681,0.783435,0.299954,0.130413,NS,Discordant (CRE Down / PLA Up),TRUE
SNCG,0.2514,-0.4385,0.903028,0.744666,0.565149,NS,Discordant (CRE Up / PLA Down),TRUE
NDUFAF4,0.1663,0.5233,0.945755,0.494149,0.82393,NS,Concordant Up,TRUE
MXRA7,0.5581,-0.1306,0.265406,0.96414,0.331129,NS,Discordant (CRE Up / PLA Down),TRUE
CNN3,0.6316,0.0565,0.349073,0.994675,0.595466,NS,Concordant Up,TRUE
NDUFS4,0.1556,0.5322,0.942171,0.442667,0.77601,NS,Concordant Up,TRUE
ATP5PD,-0.1114,0.5755,0.956778,0.17932,0.182885,NS,Discordant (CRE Down / PLA Up),FALSE
TNNT1,0.0485,0.6384,0.997101,0.55184,0.707129,NS,Concordant Up,TRUE
PRPS1,-0.2173,-0.4694,0.786705,0.262994,0.814456,NS,Concordant Down,FALSE
VWF,0.0761,-0.6105,0.984306,0.281164,0.309234,NS,Discordant (CRE Up / PLA Down),TRUE
DTD1,-0.6267,0.0595,0.072405,0.990015,0.18691,NS,Discordant (CRE Down / PLA Up),TRUE
MAP1LC3B2,-0.3124,0.3736,0.701484,0.615726,0.26364,NS,Discordant (CRE Down / PLA Up),FALSE
CHCHD3,-0.0941,0.5916,0.973052,0.206388,0.233101,NS,Discordant (CRE Down / PLA Up),FALSE
PTGR2,-0.3662,0.3193,0.602337,0.705522,0.259766,NS,Discordant (CRE Down / PLA Up),TRUE
MCCC1,-0.3986,0.2867,0.442726,0.725538,0.185696,NS,Discordant (CRE Down / PLA Up),TRUE
MYL6,0.5042,-0.1809,0.533588,0.94265,0.463594,NS,Discordant (CRE Up / PLA Down),FALSE
SLMAP,-0.269,-0.416,0.694507,0.473672,0.948243,NS,Concordant Down,TRUE
PLEKHO2,-0.0981,-0.5851,0.982822,0.465146,0.709232,NS,Concordant Down,TRUE
PDAP1,-0.1892,0.4939,0.857954,0.271909,0.158936,NS,Discordant (CRE Down / PLA Up),FALSE
MYO18A,0.2398,0.4433,0.757755,0.453218,0.902697,NS,Concordant Up,TRUE
RPS10,0.2439,-0.4386,0.762783,0.379165,0.162167,NS,Discordant (CRE Up / PLA Down),FALSE
DCD,0.4737,0.2088,0.756178,0.964912,0.955126,NS,Concordant Up,TRUE
CHMP4B,-0.1676,0.5148,0.872369,0.178421,0.111265,NS,Discordant (CRE Down / PLA Up),FALSE
ACTR2,0.5356,-0.1464,0.076486,0.89748000000000006,0.070132,NS,Discordant (CRE Up / PLA Down),FALSE
DHRS7,0.1807,0.4992,0.794588,0.094101,0.597143,NS,Concordant Up,FALSE
TOMM7,-0.4432,0.2366,0.615885,0.888164,0.439454,NS,Discordant (CRE Down / PLA Up),TRUE
RRAGC,-0.5036,0.1761,0.244985,0.93982,0.343617,NS,Discordant (CRE Down / PLA Up),TRUE
UQCRB,-0.1465,0.5316,0.92328,0.243936,0.194171,NS,Discordant (CRE Down / PLA Up),FALSE
DPYSL2,0.469,-0.2089,0.450899,0.89169,0.325161,NS,Discordant (CRE Up / PLA Down),FALSE
S100A16,-0.6436,-0.0337,0.247074,0.99733,0.436238,NS,Concordant Down,TRUE
MOB1A,-0.3376,0.3387,0.584693,0.803092,0.401472,NS,Discordant (CRE Down / PLA Up),TRUE
FLNC,-0.0523,0.6238,0.992692,0.218903,0.294,NS,Discordant (CRE Down / PLA Up),TRUE
AFG3L2,-0.4394,0.2366,0.509865,0.867955,0.344443,NS,Discordant (CRE Down / PLA Up),TRUE
GSTZ1,-0.2809,0.3944,0.776013,0.620331,0.322085,NS,Discordant (CRE Down / PLA Up),TRUE
GYS1,-0.0348,0.6399,0.996706,0.183476,0.278825,NS,Discordant (CRE Down / PLA Up),TRUE
HNRNPA0,0.4681,-0.2055,0.44531,0.906465,0.358333,NS,Discordant (CRE Up / PLA Down),TRUE
SH3BGRL3,0.6292,-0.0443,0.287776,0.996388,0.420638,NS,Discordant (CRE Up / PLA Down),TRUE
STT3A,0.2592,0.4136,0.802226,0.585525,0.957541,NS,Concordant Up,TRUE
RAP1B,0.2715,-0.4011,0.840448,0.684452,0.435307,NS,Discordant (CRE Up / PLA Down),FALSE
SMYD1,-0.3302,0.342,0.67146,0.688477,0.294769,NS,Discordant (CRE Down / PLA Up),TRUE
SNCA,0.23,-0.4419,0.924599,0.74328,0.596833,NS,Discordant (CRE Up / PLA Down),FALSE
BZW1,-0.1439,0.5279,0.942591,0.381996,0.319167,NS,Discordant (CRE Down / PLA Up),TRUE
RPS5,-0.1417,0.53,0.921867,0.209387,0.167472,NS,Discordant (CRE Down / PLA Up),FALSE
GPS1,-0.2794,0.3909,0.703489,0.498136,0.19293,NS,Discordant (CRE Down / PLA Up),FALSE
PDIA4,0.5878,-0.0823,0.185247,0.98315,0.283167,NS,Discordant (CRE Up / PLA Down),TRUE
STT3B,0.1832,0.4869,0.957696,0.625343,0.90887,NS,Concordant Up,TRUE
ALDH6A1,-0.0986,-0.5714,0.962792,0.144347,0.451763,NS,Concordant Down,FALSE
S100A10,0.6079,-0.0617,0.449939,0.994625,0.546534,NS,Discordant (CRE Up / PLA Down),FALSE
PFDN6,-0.3514,0.3179,0.450682,0.568912,0.11203,NS,Discordant (CRE Down / PLA Up),FALSE
ACTN4,0.6568,0.0112,0.364484,0.999821,0.557149,NS,Concordant Up,FALSE
IBA57,-0.3931,0.2742,0.615134,0.851662,0.414734,NS,Discordant (CRE Down / PLA Up),TRUE
PARP1,-0.3538,0.3129,0.467907,0.603784,0.133557,NS,Discordant (CRE Down / PLA Up),TRUE
PYGM,-0.0558,0.6106,0.992182,0.248131,0.326752,NS,Discordant (CRE Down / PLA Up),FALSE
DDX19A,-0.2308,0.4339,0.837468,0.504321,0.292235,NS,Discordant (CRE Down / PLA Up),FALSE
EIF4B,-0.3021,-0.3622,0.684907,0.64033,0.993107,NS,Concordant Down,TRUE
SBDS,-0.2853,0.3785,0.709228,0.548777,0.225484,NS,Discordant (CRE Down / PLA Up),FALSE
MGLL,0.1773,-0.4865,0.941232,0.667439,0.544097,NS,Discordant (CRE Up / PLA Down),TRUE
SNRPD2,0.335,-0.3285,0.591244,0.691166,0.252812,NS,Discordant (CRE Up / PLA Down),TRUE
DDRGK1,0.262,-0.4001,0.709031,0.473342,0.181736,NS,Discordant (CRE Up / PLA Down),TRUE
GNA11,0.373,-0.2888,0.412774,0.678628,0.147694,NS,Discordant (CRE Up / PLA Down),TRUE
PREP,-0.3568,0.3046,0.52473,0.669862,0.192347,NS,Discordant (CRE Down / PLA Up),FALSE
PSME2,0.2243,-0.4368,0.800774,0.384872,0.187445,NS,Discordant (CRE Up / PLA Down),FALSE
MYH9,0.4997,-0.1612,0.376838,0.934093,0.32809,NS,Discordant (CRE Up / PLA Down),FALSE
MYCBP,-0.6116,-0.0482,0.149087,0.991339,0.327768,NS,Concordant Down,TRUE
MIF,0.3625,-0.2963,0.537307,0.704713,0.220386,NS,Discordant (CRE Up / PLA Down),FALSE
PRKG1,-0.5522,0.1046,0.31971,0.976022,0.37438,NS,Discordant (CRE Down / PLA Up),TRUE
CAND2,-0.4994,0.1571,0.307638,0.929903,0.275493,NS,Discordant (CRE Down / PLA Up),TRUE
LSS,-0.3555,-0.3004,0.456199,0.620346,0.991884,NS,Concordant Down,TRUE
CAND1,0.239,-0.4161,0.79588,0.473217,0.23724,NS,Discordant (CRE Up / PLA Down),FALSE
HMGB2,-0.0481,-0.6066,0.992727,0.154216,0.370702,NS,Concordant Down,TRUE
HNRNPK,0.1524,-0.5012,0.892469,0.187214,0.128636,NS,Discordant (CRE Up / PLA Down),FALSE
HLA-B,0.3168,-0.3354,0.573045,0.616043,0.191493,NS,Discordant (CRE Up / PLA Down),TRUE
ACTR3,0.5244,-0.1273,0.125456,0.933126,0.132227,NS,Discordant (CRE Up / PLA Down),FALSE
FERMT3,0.3725,-0.2789,0.733741,0.864065,0.512808,NS,Discordant (CRE Up / PLA Down),TRUE
TPD52L2,0.273,-0.3781,0.75131,0.577215,0.271968,NS,Discordant (CRE Up / PLA Down),FALSE
NIPSNAP3A,-0.2653,0.3852,0.794051,0.628095,0.342762,NS,Discordant (CRE Down / PLA Up),TRUE
RAB11B,0.3814,-0.2689,0.523694,0.771349,0.259047,NS,Discordant (CRE Up / PLA Down),FALSE
MYLK,-0.2321,-0.4179,0.812876,0.481285,0.923738,NS,Concordant Down,FALSE
KDSR,-0.4795,-0.1692,0.543067,0.969787,0.909107,NS,Concordant Down,TRUE
CNPY2,0.3467,0.3009,0.56867,0.738946,0.99587,NS,Concordant Up,TRUE
HNRNPUL1,0.4768,0.1706,0.360973,0.928021,0.818712,NS,Concordant Up,TRUE
FAM120A,0.4742,-0.1726,0.344942,0.946016,0.421495,NS,Discordant (CRE Up / PLA Down),TRUE
L2HGDH,-0.1602,0.4851,0.934794,0.501575,0.400202,NS,Discordant (CRE Down / PLA Up),TRUE
CLTC,0.4805,-0.1646,0.324413,0.916579,0.264675,NS,Discordant (CRE Up / PLA Down),FALSE
ATP2B1,-0.5369,0.1082,0.15770700000000001,0.961472,0.207309,NS,Discordant (CRE Down / PLA Up),TRUE
KLHL40,-0.1104,0.5346,0.976901,0.52558,0.508617,NS,Discordant (CRE Down / PLA Up),TRUE
NDUFAF3,-0.1167,0.5283,0.953968,0.25281,0.243162,NS,Discordant (CRE Down / PLA Up),TRUE
NAMPT,0.1471,0.4975,0.925215,0.315786,0.715633,NS,Concordant Up,FALSE
SVIL,0.3977,0.2469,0.629855,0.925999,0.976409,NS,Concordant Up,TRUE
MYOM3,0.2394,0.4046,0.935552,0.843419,0.980879,NS,Concordant Up,TRUE
IGFBP5,0.5568,0.0868,0.223249,0.981576,0.579706,NS,Concordant Up,TRUE
TPSB2,0.6116,-0.0311,0.409212,0.998621,0.557698,NS,Discordant (CRE Up / PLA Down),TRUE
NDUFS3,0.1349,0.5073,0.938895,0.307401,0.686432,NS,Concordant Up,FALSE
SNRPB,0.2846,0.3573,0.598995,0.594738,0.987263,NS,Concordant Up,TRUE
NIPSNAP3B,-0.478,0.162,0.487644,0.948425,0.450801,NS,Discordant (CRE Down / PLA Up),TRUE
SIAE,-0.2718,0.3682,0.87957,0.813503,0.608149,NS,Discordant (CRE Down / PLA Up),TRUE
ARPC3,0.3553,0.2841,0.657962,0.796279,0.991604,NS,Concordant Up,FALSE
CYC1,0.0117,0.6239,0.999615,0.156272,0.31726,NS,Concordant Up,FALSE
SYPL1,-0.4214,0.214,0.284441,0.796315,0.140498,NS,Discordant (CRE Down / PLA Up),FALSE
SRP9,0.2044,-0.4307,0.805672,0.389252,0.190178,NS,Discordant (CRE Up / PLA Down),TRUE
CLIC1,0.4038,-0.231,0.591958,0.874094,0.406689,NS,Discordant (CRE Up / PLA Down),FALSE
GNS,-0.269,-0.3655,0.839076,0.797645,0.98919,NS,Concordant Down,TRUE
SLC2A1,0.2104,-0.424,0.927346,0.727089,0.585239,NS,Discordant (CRE Up / PLA Down),TRUE
APOM,-0.102,0.5319,0.988832,0.699874,0.702412,NS,Discordant (CRE Down / PLA Up),TRUE
SNX12,-0.1704,-0.4632,0.931346,0.535101,0.861581,NS,Concordant Down,TRUE
TSPO,0.3311,0.3024,0.646215,0.725988,0.998449,NS,Concordant Up,FALSE
TARS1,-0.1937,0.4391,0.851294,0.437462,0.252457,NS,Discordant (CRE Down / PLA Up),TRUE
AKAP12,0.5769,0.0554,0.338897,0.994007,0.599505,NS,Concordant Up,FALSE
SGCB,-0.4809,0.1511,0.295146,0.932154,0.277107,NS,Discordant (CRE Down / PLA Up),TRUE
PYURF,-0.3539,0.278,0.830099,0.885786,0.630288,NS,Discordant (CRE Down / PLA Up),TRUE
CSTB,0.1862,-0.4455,0.857879,0.347018,0.204537,NS,Discordant (CRE Up / PLA Down),FALSE
USP47,-0.3142,0.3173,0.618601,0.709053,0.284144,NS,Discordant (CRE Down / PLA Up),TRUE
