pathway,pathway_label,database,NES_Cancer_vs_Healthy,NES_Training_CR,padj_Cancer_vs_Healthy,padj_Training_CR,significance,set_size
WP_THERMOGENESIS,Wp Thermogenesis,WikiPathways,-1.085,-1.277,0.5512,0.6717,NS,25
GOBP_KETONE_BIOSYNTHETIC_PROCESS,Ketone Biosynthetic Process,GO:BP,-1.662,0.699,0.09938,1,NS,16
GOBP_TOR_SIGNALING,Tor Signaling,GO:BP,-1.265,-1.096,0.3097,0.9708,NS,39
GOBP_CELL_GROWTH,Cell Growth,GO:BP,1.132,-1.229,0.4796,0.8078,NS,84
WP_TNFRELATED_WEAK_INDUCER_OF_APOPTOSIS_TWEAK_SIGNALING,Wp Tnfrelated Weak Inducer Of Apoptosis Tweak Signaling,WikiPathways,-0.758,1.602,0.9101,0.2149,NS,10
HALLMARK_ADIPOGENESIS,Adipogenesis,Hallmark,1.186,-1.174,0.3156,0.4262,NS,115
GOBP_POSITIVE_REGULATION_OF_HYDROLASE_ACTIVITY,Positive Regulation Of Hydrolase Activity,GO:BP,1.682,0.677,0.05101,1,NS,26
PID_INTEGRIN_A4B1_PATHWAY,Pid Integrin A4b1 Pathway,PID,1.584,0.775,0.1553,0.9596,NS,13
REACTOME_REGULATION_OF_APOPTOSIS,Regulation Of Apoptosis,Reactome,-1.501,0.858,0.09717,0.9974,NS,33
WP_COMMON_PATHWAYS_UNDERLYING_DRUG_ADDICTION,Wp Common Pathways Underlying Drug Addiction,WikiPathways,1.457,0.902,0.2242,0.9679,NS,17
GOBP_CELLULAR_RESPONSE_TO_OXIDATIVE_STRESS,Cellular Response To Oxidative Stress,GO:BP,1.105,-1.253,0.5318,0.8033,NS,63
HALLMARK_GLYCOLYSIS,Glycolysis,Hallmark,1.14,-1.218,0.401,0.4262,NS,72
GOBP_VESICLE_MEDIATED_TRANSPORT_IN_SYNAPSE,Vesicle Mediated Transport In Synapse,GO:BP,1.556,0.801,0.08046,1,NS,51
WP_CORI_CYCLE,Wp Cori Cycle,WikiPathways,1.377,-0.98,0.3126,0.9429,NS,12
GOBP_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS,Regulation Of Reactive Oxygen Species Metabolic Process,GO:BP,1.507,-0.85,0.1259,1,NS,43
GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS,2 Oxoglutarate Metabolic Process,GO:BP,-1.207,1.149,0.4378,0.9604,NS,13
GOBP_PIGMENT_METABOLIC_PROCESS,Pigment Metabolic Process,GO:BP,1.589,0.766,0.1099,1,NS,16
GOBP_WATER_SOLUBLE_VITAMIN_METABOLIC_PROCESS,Water Soluble Vitamin Metabolic Process,GO:BP,1.171,-1.184,0.4744,0.911,NS,22
REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA,Auf1 Hnrnp D0 Binds And Destabilizes Mrna,Reactome,-1.471,0.882,0.1056,0.9974,NS,37
BIOCARTA_GPCR_PATHWAY,Biocarta Gpcr Pathway,BioCarta,-0.806,-1.547,0.9997,0.9749,NS,11
KEGG_MEDICUS_PATHOGEN_HCV_CORE_TO_ERK_SIGNALING_PATHWAY,Pathogen Hcv Core To Erk Signaling Pathway,KEGG,1.458,0.895,0.115,0.711,NS,11
GOBP_POSITIVE_REGULATION_OF_PROTEIN_UBIQUITINATION,Positive Regulation Of Protein Ubiquitination,GO:BP,-1.205,-1.146,0.4088,0.9339,NS,26
REACTOME_RAC2_GTPASE_CYCLE,Rac2 Gtpase Cycle,Reactome,1.475,-0.876,0.1238,0.9974,NS,24
GOBP_POSITIVE_REGULATION_OF_CYTOSOLIC_CALCIUM_ION_CONCENTRATION,Positive Regulation Of Cytosolic Calcium Ion Concentration,GO:BP,0.854,-1.496,0.8162,0.6883,NS,14
GOBP_CELLULAR_RESPONSE_TO_CORTICOSTEROID_STIMULUS,Cellular Response To Corticosteroid Stimulus,GO:BP,1.23,-1.119,0.4274,0.9708,NS,17
GOBP_DIGESTIVE_SYSTEM_PROCESS,Digestive System Process,GO:BP,1.706,0.642,0.06165,1,NS,14
GOBP_MULTICELLULAR_ORGANISM_GROWTH,Multicellular Organism Growth,GO:BP,1.128,-1.22,0.5274,0.8687,NS,24
REACTOME_MITOTIC_SPINDLE_CHECKPOINT,Mitotic Spindle Checkpoint,Reactome,-1.35,0.998,0.1984,0.9839,NS,24
GOBP_REGULATION_OF_MITOCHONDRIAL_GENE_EXPRESSION,Regulation Of Mitochondrial Gene Expression,GO:BP,-1.598,0.749,0.1367,1,NS,12
GOBP_REGULATION_OF_POLYSACCHARIDE_METABOLIC_PROCESS,Regulation Of Polysaccharide Metabolic Process,GO:BP,1.458,0.889,0.2112,1,NS,11
GOBP_NUCLEAR_EXPORT,Nuclear Export,GO:BP,1.299,-1.048,0.3166,1,NS,41
GOBP_REGULATION_OF_MITOCHONDRION_ORGANIZATION,Regulation Of Mitochondrion Organization,GO:BP,-1.164,1.183,0.4359,0.9096,NS,39
GOBP_POSITIVE_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY,Positive Regulation Of T Cell Mediated Immunity,GO:BP,1.734,0.61,0.05162,1,NS,13
GOBP_DISRUPTION_OF_ANATOMICAL_STRUCTURE_IN_ANOTHER_ORGANISM,Disruption Of Anatomical Structure In Another Organism,GO:BP,1.391,0.953,0.2606,1,NS,19
GOBP_POSITIVE_REGULATION_OF_DNA_BIOSYNTHETIC_PROCESS,Positive Regulation Of DNA Biosynthetic Process,GO:BP,1.42,0.923,0.2333,1,NS,13
REACTOME_ARACHIDONATE_METABOLISM,Arachidonate Metabolism,Reactome,1.003,-1.34,0.6126,0.6547,NS,15
WP_UREA_CYCLE_AND_ASSOCIATED_PATHWAYS,Wp Urea Cycle And Associated Pathways,WikiPathways,-1.416,0.927,0.2852,0.9499,NS,12
GOBP_RNA_TEMPLATED_DNA_BIOSYNTHETIC_PROCESS,RNA Templated DNA Biosynthetic Process,GO:BP,1.256,1.085,0.3996,0.9932,NS,18
GOBP_DNA_INTEGRITY_CHECKPOINT_SIGNALING,DNA Integrity Checkpoint Signaling,GO:BP,-0.891,1.449,0.7851,0.7084,NS,12
GOBP_REGULATION_OF_DNA_BIOSYNTHETIC_PROCESS,Regulation Of DNA Biosynthetic Process,GO:BP,1.507,0.832,0.1603,1,NS,16
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,Abc Family Proteins Mediated Transport,Reactome,-1.359,0.98,0.1548,0.9839,NS,39
REACTOME_ORGANELLE_BIOGENESIS_AND_MAINTENANCE,Organelle Biogenesis And Maintenance,Reactome,-1.27,1.068,0.1742,0.9232,NS,79
SIG_CHEMOTAXIS,Sig Chemotaxis,Other,1.143,1.194,0.4825,0.5778,NS,15
GOBP_POSITIVE_REGULATION_OF_NUCLEOTIDE_METABOLIC_PROCESS,Positive Regulation Of Nucleotide Metabolic Process,GO:BP,0.777,-1.559,0.8728,0.5962,NS,10
GOBP_SMOOTH_MUSCLE_CELL_MIGRATION,Smooth Muscle Cell Migration,GO:BP,1.466,-0.869,0.1984,1,NS,12
REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE,Anchoring Of The Basal Body To The Plasma Membrane,Reactome,1.163,-1.172,0.3989,0.7849,NS,21
GOBP_CONNECTIVE_TISSUE_DEVELOPMENT,Connective Tissue Development,GO:BP,1.571,0.763,0.1064,1,NS,26
PID_PRL_SIGNALING_EVENTS_PATHWAY,Pid Prl Signaling Events Pathway,PID,1.469,0.865,0.2155,0.9596,NS,10
REACTOME_P75_NTR_RECEPTOR_MEDIATED_SIGNALLING,P75 Ntr Receptor Mediated Signalling,Reactome,1,-1.334,0.6193,0.6734,NS,11
GOBP_ACETYL_COA_METABOLIC_PROCESS,Acetyl Coa Metabolic Process,GO:BP,-1.636,0.698,0.1102,1,NS,21
GOBP_DEFENSE_RESPONSE_TO_GRAM_NEGATIVE_BACTERIUM,Defense Response To Gram Negative Bacterium,GO:BP,1.293,1.041,0.3584,1,NS,14
GOBP_RIBOSOME_BIOGENESIS,Ribosome Biogenesis,GO:BP,-1.148,1.186,0.4333,0.8931,NS,61
GOBP_POSITIVE_REGULATION_OF_ORGANELLE_ASSEMBLY,Positive Regulation Of Organelle Assembly,GO:BP,1.463,0.869,0.1974,1,NS,19
GOBP_POSITIVE_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT,Positive Regulation Of Calcium Ion Transmembrane Transport,GO:BP,1.227,-1.105,0.4286,0.9726,NS,20
GOBP_TRNA_PROCESSING,Trna Processing,GO:BP,-1.186,1.146,0.4395,0.9585,NS,18
GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION,Epithelial To Mesenchymal Transition,GO:BP,1.563,-0.768,0.1228,1,NS,16
GOBP_NUCLEOSIDE_METABOLIC_PROCESS,Nucleoside Metabolic Process,GO:BP,1.488,0.843,0.1846,1,NS,14
GOBP_RESPONSE_TO_RETINOIC_ACID,Response To Retinoic Acid,GO:BP,1.406,0.925,0.2446,1,NS,13
GOBP_UNSATURATED_FATTY_ACID_BIOSYNTHETIC_PROCESS,Unsaturated Fatty Acid Biosynthetic Process,GO:BP,1.01,-1.321,0.6736,0.8281,NS,12
REACTOME_RESPIRATORY_SYNCYTIAL_VIRUS_RSV_GENOME_REPLICATION_TRANSCRIPTION_AND_TRANSLATION,Respiratory Syncytial Virus Rsv Genome Replication Transcription And Translation,Reactome,0.86,1.471,0.7776,0.5474,NS,11
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION,Neurotransmitter Receptors And Postsynaptic Signal Transmission,Reactome,1.39,-0.94,0.1372,0.9974,NS,43
REACTOME_SARS_COV_2_MODULATES_HOST_TRANSLATION_MACHINERY,Sars Cov 2 Modulates Host Translation Machinery,Reactome,-1.27,1.06,0.2257,0.9472,NS,35
GOBP_STRIATED_MUSCLE_CELL_DIFFERENTIATION,Striated Muscle Cell Differentiation,GO:BP,0.918,1.41,0.7961,0.46,NS,92
GOBP_RECEPTOR_RECYCLING,Receptor Recycling,GO:BP,1.464,0.863,0.2079,1,NS,11
HALLMARK_PROTEIN_SECRETION,Protein Secretion,Hallmark,1.555,0.772,0.05037,0.9604,NS,49
GOBP_SKIN_EPIDERMIS_DEVELOPMENT,Skin Epidermis Development,GO:BP,1.415,0.91,0.2518,1,NS,11
GOBP_VITAMIN_METABOLIC_PROCESS,Vitamin Metabolic Process,GO:BP,1.159,-1.166,0.4833,0.911,NS,27
GOBP_CELLULAR_RESPONSE_TO_GLUCOCORTICOID_STIMULUS,Cellular Response To Glucocorticoid Stimulus,GO:BP,1.126,-1.199,0.541,0.911,NS,14
REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS,Clathrin Mediated Endocytosis,Reactome,1.492,0.833,0.08835,0.9974,NS,52
WP_16P112_PROXIMAL_DELETION_SYNDROME,Wp 16p112 Proximal Deletion Syndrome,WikiPathways,0.68,1.645,0.9723,0.173,NS,22
GOBP_POSITIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS,Positive Regulation Of Phosphorus Metabolic Process,GO:BP,1.448,-0.876,0.1463,1,NS,57
GOBP_TORC1_SIGNALING,Torc1 Signaling,GO:BP,-1.249,-1.074,0.3441,0.9921,NS,27
PID_P73PATHWAY,Pid P73pathway,PID,1.405,-0.918,0.2592,0.9596,NS,15
GOBP_RESPONSE_TO_MECHANICAL_STIMULUS,Response To Mechanical Stimulus,GO:BP,1.044,1.278,0.6254,0.8281,NS,30
REACTOME_CELLULAR_SENESCENCE,Cellular Senescence,Reactome,-1.643,-0.678,0.07711,0.9974,NS,20
GOBP_SCHWANN_CELL_DIFFERENTIATION,Schwann Cell Differentiation,GO:BP,1.248,1.073,0.4059,1,NS,21
GOBP_DEPHOSPHORYLATION,Dephosphorylation,GO:BP,-0.984,1.336,0.6974,0.8033,NS,28
REACTOME_MUSCLE_CONTRACTION,Muscle Contraction,Reactome,0.961,1.358,0.6931,0.5018,NS,81
GOBP_POLYSACCHARIDE_METABOLIC_PROCESS,Polysaccharide Metabolic Process,GO:BP,0.833,1.485,0.8488,0.5362,NS,34
GOBP_NEGATIVE_REGULATION_OF_ENDOTHELIAL_CELL_MIGRATION,Negative Regulation Of Endothelial Cell Migration,GO:BP,1.645,0.672,0.08723,1,NS,12
GOBP_POSITIVE_REGULATION_OF_TRANSLATION,Positive Regulation Of Translation,GO:BP,-1.403,0.914,0.1645,1,NS,42
REACTOME_N_GLYCAN_TRIMMING_IN_THE_ER_AND_CALNEXIN_CALRETICULIN_CYCLE,N Glycan Trimming In The Er And Calnexin Calreticulin Cycle,Reactome,1.29,-1.027,0.2891,0.9658,NS,14
GOBP_CELLULAR_RESPONSE_TO_EXTERNAL_STIMULUS,Cellular Response To External Stimulus,GO:BP,1.185,1.131,0.4718,0.9708,NS,14
PID_RHOA_PATHWAY,Pid Rhoa Pathway,PID,1.315,-1.001,0.3074,0.9596,NS,15
GOBP_ACTIN_MYOSIN_FILAMENT_SLIDING,Actin Myosin Filament Sliding,GO:BP,-0.837,1.476,0.8275,0.6741,NS,14
REACTOME_SIGNALING_BY_PDGF,Signaling By Pdgf,Reactome,1.39,-0.923,0.1936,0.9974,NS,17
GOBP_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_PROLIFERATION,Positive Regulation Of Endothelial Cell Proliferation,GO:BP,1.536,0.776,0.1459,1,NS,13
GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS,Ribosomal Small Subunit Biogenesis,GO:BP,-1.278,1.033,0.3166,1,NS,31
GOBP_POSITIVE_REGULATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY,Positive Regulation Of Transmembrane Receptor Protein Serine Threonine Kinase Signaling Pathway,GO:BP,1.255,-1.055,0.4019,1,NS,14
GOBP_POSITIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY,Positive Regulation Of Protein Containing Complex Assembly,GO:BP,1.263,1.046,0.3295,1,NS,59
GOBP_SPERM_EGG_RECOGNITION,Sperm Egg Recognition,GO:BP,1.082,1.225,0.5912,0.9096,NS,12
WP_TNFALPHA_SIGNALING,Wp Tnfalpha Signaling,WikiPathways,-1.296,1.011,0.3162,0.9352,NS,25
GOBP_TELENCEPHALON_DEVELOPMENT,Telencephalon Development,GO:BP,1.37,-0.936,0.2413,1,NS,34
GOBP_GLUCOSE_6_PHOSPHATE_METABOLIC_PROCESS,Glucose 6 Phosphate Metabolic Process,GO:BP,1.372,-0.934,0.275,1,NS,13
REACTOME_SIGNALING_BY_CSF3_G_CSF,Signaling By Csf3 G Csf,Reactome,-1.464,-0.842,0.1522,0.9974,NS,13
GOBP_MEIOTIC_CELL_CYCLE_PROCESS,Meiotic Cell Cycle Process,GO:BP,1.002,1.303,0.6842,0.836,NS,13
GOBP_LYSOSOMAL_TRANSPORT,Lysosomal Transport,GO:BP,0.992,-1.313,0.6915,0.8059,NS,28
REACTOME_CHROMATIN_ORGANIZATION,Chromatin Organization,Reactome,-1.313,0.992,0.2492,0.9839,NS,16
REACTOME_FBXL7_DOWN_REGULATES_AURKA_DURING_MITOTIC_ENTRY_AND_IN_EARLY_MITOSIS,Fbxl7 Down Regulates Aurka During Mitotic Entry And In Early Mitosis,Reactome,-1.464,0.84,0.1056,0.9974,NS,33
REACTOME_ORC1_REMOVAL_FROM_CHROMATIN,Orc1 Removal From Chromatin,Reactome,-1.464,0.84,0.1056,0.9974,NS,33
REACTOME_SCF_BETA_TRCP_MEDIATED_DEGRADATION_OF_EMI1,Scf Beta Trcp Mediated Degradation Of Emi1,Reactome,-1.464,0.84,0.1056,0.9974,NS,33
REACTOME_SCF_SKP2_MEDIATED_DEGRADATION_OF_P27_P21,Scf Skp2 Mediated Degradation Of P27 P21,Reactome,-1.464,0.84,0.1056,0.9974,NS,33
REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT,G2 M DNA Damage Checkpoint,Reactome,1.251,-1.053,0.3221,0.9477,NS,13
REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS,Phase Ii Conjugation Of Compounds,Reactome,0.888,-1.416,0.771,0.5387,NS,33
GOBP_LIPID_IMPORT_INTO_CELL,Lipid Import Into Cell,GO:BP,1.024,1.279,0.6581,0.8669,NS,11
GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_1_PRODUCTION,Positive Regulation Of Interleukin 1 Production,GO:BP,1.173,1.129,0.4908,0.9818,NS,10
GOBP_NUCLEAR_RECEPTOR_MEDIATED_SIGNALING_PATHWAY,Nuclear Receptor Mediated Signaling Pathway,GO:BP,0.999,-1.301,0.6848,0.8066,NS,31
GOBP_REGULATION_OF_NEUROTRANSMITTER_SECRETION,Regulation Of Neurotransmitter Secretion,GO:BP,1.132,1.167,0.5359,0.9585,NS,10
WP_NOVEL_INTRACELLULAR_COMPONENTS_OF_RIGILIKE_RECEPTOR_PATHWAY,Wp Novel Intracellular Components Of Rigilike Receptor Pathway,WikiPathways,-1.358,-0.94,0.3162,0.9429,NS,11
GOBP_CELL_RECOGNITION,Cell Recognition,GO:BP,1.552,-0.744,0.1186,1,NS,26
GOBP_COGNITION,Cognition,GO:BP,1.068,-1.228,0.5877,0.8291,NS,39
PID_HIF1_TFPATHWAY,Pid Hif1 Tfpathway,PID,1.206,1.09,0.4202,0.9596,NS,19
GOBP_BONE_MINERALIZATION,Bone Mineralization,GO:BP,1.549,-0.746,0.1459,1,NS,10
GOBP_NEGATIVE_REGULATION_OF_REPRODUCTIVE_PROCESS,Negative Regulation Of Reproductive Process,GO:BP,1.429,-0.866,0.236,1,NS,11
GOBP_REGULATION_OF_DEFENSE_RESPONSE_TO_VIRUS,Regulation Of Defense Response To Virus,GO:BP,-1.334,0.96,0.3323,1,NS,10
PID_CXCR3_PATHWAY,Pid Cxcr3 Pathway,PID,1.431,0.863,0.2256,0.9596,NS,16
REACTOME_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS,Phase I Functionalization Of Compounds,Reactome,0.891,-1.403,0.7619,0.5474,NS,26
GOBP_MULTI_MULTICELLULAR_ORGANISM_PROCESS,Multi Multicellular Organism Process,GO:BP,1.274,-1.018,0.3385,1,NS,36
REACTOME_COPI_INDEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC,Copi Independent Golgi To Er Retrograde Traffic,Reactome,1.307,-0.985,0.2416,0.9839,NS,28
GOBP_EYE_MORPHOGENESIS,Eye Morphogenesis,GO:BP,1.456,0.834,0.2065,1,NS,12
GOBP_EMBRYO_IMPLANTATION,Embryo Implantation,GO:BP,1.31,-0.98,0.3447,1,NS,15
GOBP_PALLIUM_DEVELOPMENT,Pallium Development,GO:BP,1.213,-1.076,0.429,0.9911,NS,27
GOBP_PROTEIN_TARGETING_TO_MITOCHONDRION,Protein Targeting To Mitochondrion,GO:BP,-1.228,1.058,0.3388,1,NS,52
GOBP_DEVELOPMENTAL_CELL_GROWTH,Developmental Cell Growth,GO:BP,1.156,-1.13,0.4821,0.948,NS,35
GOBP_PROTEIN_POLYMERIZATION,Protein Polymerization,GO:BP,1.329,0.956,0.2296,1,NS,79
GOBP_TELOMERE_MAINTENANCE_VIA_TELOMERE_LENGTHENING,Telomere Maintenance Via Telomere Lengthening,GO:BP,1.279,1.005,0.3694,1,NS,20
REACTOME_TRIGLYCERIDE_METABOLISM,Triglyceride Metabolism,Reactome,1.317,0.967,0.2609,0.9839,NS,14
GOBP_LUNG_MORPHOGENESIS,Lung Morphogenesis,GO:BP,1.633,-0.65,0.09097,1,NS,15
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA,Processing Of Capped Intron Containing Pre Mrna,Reactome,1.393,0.89,0.1266,0.9974,NS,55
GOBP_FATTY_ACID_TRANSPORT,Fatty Acid Transport,GO:BP,0.916,1.364,0.7762,0.7732,NS,24
GOBP_REGULATION_OF_LIPID_LOCALIZATION,Regulation Of Lipid Localization,GO:BP,1.464,0.816,0.1524,1,NS,37
WP_HOSTPATHOGEN_INTERACTION_OF_HUMAN_CORONAVIRUSES_MAPK_SIGNALING,Wp Hostpathogen Interaction Of Human Coronaviruses Mapk Signaling,WikiPathways,-1.335,0.945,0.3162,0.9429,NS,14
GOBP_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN,Response To Topologically Incorrect Protein,GO:BP,-0.996,1.283,0.6792,0.8131,NS,52
GOBP_REGULATION_OF_LIPID_BIOSYNTHETIC_PROCESS,Regulation Of Lipid Biosynthetic Process,GO:BP,1.229,-1.049,0.3935,1,NS,40
GOBP_AMYLOID_BETA_METABOLIC_PROCESS,Amyloid Beta Metabolic Process,GO:BP,1.123,-1.155,0.5419,0.948,NS,16
GOBP_INSULIN_SECRETION_INVOLVED_IN_CELLULAR_RESPONSE_TO_GLUCOSE_STIMULUS,Insulin Secretion Involved In Cellular Response To Glucose Stimulus,GO:BP,-0.826,-1.452,0.8341,0.707,NS,13
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,Glycosaminoglycan Metabolism,Reactome,1.692,0.586,0.05745,0.9974,NS,11
GOBP_FATTY_ACYL_COA_BIOSYNTHETIC_PROCESS,Fatty Acyl Coa Biosynthetic Process,GO:BP,-1.221,-1.055,0.4383,1,NS,11
GOBP_DENDRITE_DEVELOPMENT,Dendrite Development,GO:BP,1.044,-1.232,0.6254,0.836,NS,32
GOBP_MUSCLE_CELL_DIFFERENTIATION,Muscle Cell Differentiation,GO:BP,0.984,1.292,0.7165,0.7099,NS,116
GOBP_REGULATION_OF_INTRACELLULAR_STEROID_HORMONE_RECEPTOR_SIGNALING_PATHWAY,Regulation Of Intracellular Steroid Hormone Receptor Signaling Pathway,GO:BP,0.844,-1.432,0.8246,0.7063,NS,15
WP_MIRTARGETED_GENES_IN_LYMPHOCYTES,Wp Mirtargeted Genes In Lymphocytes,WikiPathways,1.41,0.866,0.1156,0.9711,NS,129
GOBP_REGULATION_OF_KETONE_METABOLIC_PROCESS,Regulation Of Ketone Metabolic Process,GO:BP,1.264,-1.011,0.3619,1,NS,29
GOBP_POSITIVE_REGULATION_OF_GTPASE_ACTIVITY,Positive Regulation Of Gtpase Activity,GO:BP,1.623,0.65,0.09584,1,NS,15
REACTOME_SYNTHESIS_OF_DNA,Synthesis Of Dna,Reactome,-1.516,0.757,0.09077,0.9974,NS,38
GOBP_POSITIVE_REGULATION_OF_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,Positive Regulation Of Post Translational Protein Modification,GO:BP,-1,-1.272,0.678,0.8145,NS,31
GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_MIGRATION,Positive Regulation Of Leukocyte Migration,GO:BP,1.401,-0.87,0.2361,1,NS,22
GOBP_CARDIAC_CONDUCTION,Cardiac Conduction,GO:BP,-1.244,-1.027,0.3595,1,NS,26
REACTOME_DEGRADATION_OF_DVL,Degradation Of Dvl,Reactome,-1.532,0.739,0.08707,0.9974,NS,32
GOBP_SKELETAL_MUSCLE_ADAPTATION,Skeletal Muscle Adaptation,GO:BP,-1.196,1.074,0.4458,1,NS,13
REACTOME_NUCLEOTIDE_SALVAGE,Nucleotide Salvage,Reactome,1.548,-0.722,0.1146,0.9974,NS,10
GOBP_STEM_CELL_DIFFERENTIATION,Stem Cell Differentiation,GO:BP,1.111,-1.158,0.5394,0.9155,NS,30
GOBP_INTERLEUKIN_1_BETA_PRODUCTION,Interleukin 1 Beta Production,GO:BP,1.22,1.048,0.4383,1,NS,11
REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH,Ncam Signaling For Neurite Out Growth,Reactome,1.369,-0.899,0.2151,0.9974,NS,16
REACTOME_SIGNALING_BY_VEGF,Signaling By Vegf,Reactome,1.304,-0.964,0.242,0.9839,NS,28
GOBP_REGULATION_OF_HORMONE_SECRETION,Regulation Of Hormone Secretion,GO:BP,0.957,-1.31,0.7262,0.7591,NS,43
GOBP_FATTY_ACID_METABOLIC_PROCESS,Fatty Acid Metabolic Process,GO:BP,-0.914,-1.351,0.8461,0.4314,NS,126
REACTOME_NUCLEAR_ENVELOPE_NE_REASSEMBLY,Nuclear Envelope Ne Reassembly,Reactome,1.342,-0.922,0.2019,0.9974,NS,31
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53,Transcriptional Regulation By Tp53,Reactome,-1.213,1.051,0.2416,0.9472,NS,72
GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_8_PRODUCTION,Positive Regulation Of Interleukin 8 Production,GO:BP,0.965,-1.299,0.7181,0.836,NS,11
GOBP_REGULATION_OF_LIPID_TRANSPORT,Regulation Of Lipid Transport,GO:BP,1.361,0.902,0.2606,1,NS,29
GOBP_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,Regulation Of Calcium Ion Transmembrane Transporter Activity,GO:BP,-1.362,0.901,0.2953,1,NS,13
GOBP_SULFUR_COMPOUND_BIOSYNTHETIC_PROCESS,Sulfur Compound Biosynthetic Process,GO:BP,-0.931,-1.332,0.7762,0.7099,NS,50
REACTOME_RHOF_GTPASE_CYCLE,Rhof Gtpase Cycle,Reactome,1.611,0.651,0.08223,0.9974,NS,13
GOBP_CELL_COMMUNICATION_BY_ELECTRICAL_COUPLING,Cell Communication By Electrical Coupling,GO:BP,-1.435,0.826,0.2442,1,NS,12
GOBP_SKELETAL_MUSCLE_TISSUE_REGENERATION,Skeletal Muscle Tissue Regeneration,GO:BP,1.483,-0.777,0.189,1,NS,13
REACTOME_PTEN_REGULATION,Pten Regulation,Reactome,-1.362,0.898,0.144,0.9974,NS,48
GOBP_RECEPTOR_METABOLIC_PROCESS,Receptor Metabolic Process,GO:BP,1.537,0.723,0.1441,1,NS,15
GOBP_THIOESTER_BIOSYNTHETIC_PROCESS,Thioester Biosynthetic Process,GO:BP,-1.394,-0.866,0.2077,1,NS,28
GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_NEUROTRANSMITTER_RECEPTOR_LEVELS,Regulation Of Postsynaptic Membrane Neurotransmitter Receptor Levels,GO:BP,1.351,-0.909,0.2914,1,NS,23
REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME,Degradation Of Gli1 By The Proteasome,Reactome,-1.419,0.84,0.1266,0.9974,NS,34
GOBP_ACIDIC_AMINO_ACID_TRANSPORT,Acidic Amino Acid Transport,GO:BP,0.974,-1.284,0.7122,0.8659,NS,10
GOBP_CHOLESTEROL_EFFLUX,Cholesterol Efflux,GO:BP,1.65,-0.607,0.08046,1,NS,14
GOBP_T_CELL_PROLIFERATION,T Cell Proliferation,GO:BP,1.483,0.772,0.1673,1,NS,26
REACTOME_SIGNALING_BY_EGFR,Signaling By Egfr,Reactome,1.438,-0.817,0.1615,0.9974,NS,13
GOBP_POSITIVE_REGULATION_OF_TELOMERE_MAINTENANCE_VIA_TELOMERE_LENGTHENING,Positive Regulation Of Telomere Maintenance Via Telomere Lengthening,GO:BP,1.477,0.777,0.1914,1,NS,13
GOBP_CELLULAR_RESPONSE_TO_STEROID_HORMONE_STIMULUS,Cellular Response To Steroid Hormone Stimulus,GO:BP,0.976,-1.278,0.7103,0.8035,NS,44
GOBP_MITOCHONDRIAL_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT,Mitochondrial Calcium Ion Transmembrane Transport,GO:BP,-1.539,0.714,0.1829,1,NS,10
GOBP_ORGANOPHOSPHATE_ESTER_TRANSPORT,Organophosphate Ester Transport,GO:BP,1.373,0.88,0.2653,1,NS,23
GOBP_INTRACELLULAR_LIPID_TRANSPORT,Intracellular Lipid Transport,GO:BP,-1.132,-1.121,0.5149,0.9726,NS,13
