replicate,r_boot
793,-0.36392045327356387
794,-0.3639854274292243
795,-0.3114791605683546
796,-0.378859238729717
797,-0.31648043158814304
798,-0.339198306156038
799,-0.3679035316021455
800,-0.31074320465589306
801,-0.36427317042644614
802,-0.2594018276915489
803,-0.33261570360887077
804,-0.3616343768957651
805,-0.34459801990423017
806,-0.39508831964280533
807,-0.34602081845127036
808,-0.33147171509971296
809,-0.302671468428225
810,-0.323490911906489
811,-0.3314733234674847
812,-0.35832229959334944
813,-0.31913215541848905
814,-0.3076994903451268
815,-0.2789800276630035
816,-0.3506311994699865
817,-0.2886570187199831
818,-0.35700688343347353
819,-0.3112743534678284
820,-0.3243698395120307
821,-0.32426907822211437
822,-0.30684081230723625
823,-0.3496779045739728
824,-0.3412953334162318
825,-0.3574411169243122
826,-0.301880174287062
827,-0.35428441987296777
828,-0.35208765450940677
829,-0.32348773126116237
830,-0.32665265079602385
831,-0.33672738673232605
832,-0.29102666407001176
833,-0.323263624870076
834,-0.33122994496651115
835,-0.3124490731479123
836,-0.35802925320346307
837,-0.30475497773390076
838,-0.32585354035437974
839,-0.34017545475114286
840,-0.3529013261333058
841,-0.3708884338548452
842,-0.29658128873413064
843,-0.25657106574616423
844,-0.38973949240251915
845,-0.33900003059088535
846,-0.33969534284387176
847,-0.33469684278296535
848,-0.4303564623522478
849,-0.3826817589869408
850,-0.31648154607991813
851,-0.37017874258738837
852,-0.35018926315702725
853,-0.2973256799670831
854,-0.3295921775171278
855,-0.3787892197416158
856,-0.3795949461248306
857,-0.35521717032998956
858,-0.3798408069753013
859,-0.38014946608460476
860,-0.29762630901247583
861,-0.38366998471824343
862,-0.35804325998700576
863,-0.3202954700546497
864,-0.30585468774239943
865,-0.3349399836731615
866,-0.3136972635922678
867,-0.3554255439636139
868,-0.3659530890055506
869,-0.38778588012675236
870,-0.27405803600681433
871,-0.3321691475160665
872,-0.30790330129431537
873,-0.3041571723829838
874,-0.35403295374383975
875,-0.3094457101128588
876,-0.314496385784221
877,-0.39400521778092046
878,-0.33404126625986147
879,-0.31029442210675595
880,-0.3047088447174351
881,-0.3208724669455255
882,-0.3255812492079293
883,-0.28694278429787007
884,-0.33298153883047277
885,-0.3185618167521456
886,-0.3396784904049957
887,-0.3037150900081792
888,-0.3822709510381721
889,-0.3471451912120738
890,-0.3408793809433303
891,-0.3210534166181468
892,-0.2806730804345481
893,-0.33630129618448035
894,-0.27286304775119047
895,-0.320292415065823
896,-0.38578783403129646
897,-0.29590893010116825
898,-0.34858382564613266
899,-0.347639595903536
900,-0.3468433912928664
901,-0.3543312942366102
902,-0.3683484675927001
903,-0.3298262996417642
904,-0.24671989122270188
905,-0.3535191016275617
906,-0.32194352010017535
907,-0.36973484991220035
908,-0.28064293217815167
