replicate,null_r,null_frac
269,-0.3243094291168419,0.5958188153310104
270,-0.23580748705694096,0.578397212543554
271,-0.35072876512962553,0.6411149825783972
272,-0.32183255363655344,0.5923344947735192
273,-0.21577165488610303,0.6411149825783972
274,-0.24068414365651997,0.6689895470383276
275,-0.4135951640721395,0.6550522648083623
276,-0.34325663105657883,0.578397212543554
277,-0.3926973603188742,0.6794425087108014
278,-0.35417756249650967,0.6411149825783972
279,-0.45566754562413253,0.627177700348432
280,-0.3288646248264021,0.5609756097560976
281,-0.41847924937581177,0.662020905923345
282,-0.3723468081149748,0.686411149825784
283,-0.44989772025533276,0.6167247386759582
284,-0.2994353627798601,0.6167247386759582
285,-0.2711310100637302,0.6829268292682927
286,-0.2879341091397228,0.6445993031358885
287,-0.3037925831420896,0.6411149825783972
288,-0.43947158873315156,0.5818815331010453
289,-0.33081135559904395,0.6341463414634146
290,-0.28406141938845775,0.6515679442508711
291,-0.1872708277822061,0.6411149825783972
292,-0.4176285262880711,0.6411149825783972
293,-0.2453402075966742,0.6341463414634146
294,-0.27145701977980613,0.6097560975609756
295,-0.26486158216793404,0.5958188153310104
296,-0.32077263157354113,0.6097560975609756
297,-0.27649724570613254,0.5574912891986062
298,-0.40140454640748063,0.6097560975609756
299,-0.32406738065362845,0.6097560975609756
300,-0.3742358304175364,0.627177700348432
301,-0.43519931284580776,0.6236933797909407
302,-0.3924570674901988,0.6411149825783972
303,-0.27634616863547073,0.6411149825783972
304,-0.36247789576426326,0.627177700348432
305,-0.37694616841400336,0.686411149825784
306,-0.2241044813873957,0.6898954703832753
307,-0.5019606856917523,0.6236933797909407
308,-0.29265514288406286,0.6515679442508711
309,-0.34167082819829403,0.662020905923345
310,-0.1505072635906657,0.6341463414634146
311,-0.3747816917287431,0.627177700348432
312,-0.3290313497397012,0.6724738675958188
313,-0.2838154311914398,0.6062717770034843
314,-0.46817605754814906,0.5888501742160279
315,-0.3457980919573853,0.6306620209059234
316,-0.21587384765251225,0.6306620209059234
317,-0.42522893301346315,0.6306620209059234
318,-0.3425911536264693,0.6341463414634146
319,-0.22033307898662086,0.6341463414634146
320,-0.28084889058358314,0.6724738675958188
321,-0.34590421045240893,0.6445993031358885
322,-0.12020682869569001,0.6341463414634146
323,-0.3294417097558183,0.6236933797909407
324,-0.500507925186463,0.6306620209059234
325,-0.42145468749138854,0.627177700348432
326,-0.3637008337173955,0.6132404181184669
327,-0.2186953116800288,0.6167247386759582
328,-0.33848749837818926,0.6306620209059234
329,-0.38082157869588207,0.6167247386759582
330,-0.27078745708059493,0.6062717770034843
331,-0.2071612106890531,0.6376306620209059
332,-0.3475366746788,0.6097560975609756
333,-0.36366754301841153,0.6445993031358885
334,-0.36316010017761724,0.5993031358885017
335,-0.41186801669321693,0.6515679442508711
336,-0.3476657121092041,0.6689895470383276
337,-0.27856580789775004,0.6411149825783972
338,-0.3281153143701569,0.627177700348432
