pathway,pval,padj,foldEnrichment,overlap,size,database,odds_ratio,module,Description,geneID,Count,p.adjust,ID
REACTOME_NUCLEAR_EVENTS_MEDIATED_BY_NFE2L2,1.7899358842470647e-10,1.7295038308759483e-8,5.021958150348747,20,49,Reactome,8.780609695152425,yellow,Nuclear Events Mediated By Nfe2l2,GCLC/GCLM/GSR/PGD/PSMA2/PSMA4/PSMA5/PSMA6/PSMA7/PSMB2/PSMB3/PSMB4/PSMB5/PSMB6/PSMB7/PSMC1/PSMC2/PSMC3/PSMD14/SKP1,20,1.7295038308759483e-8,REACTOME_NUCLEAR_EVENTS_MEDIATED_BY_NFE2L2
REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS,3.7342916194184144e-10,1.7295038308759483e-8,3.6911392405063292,27,90,Reactome,5.636859323882224,yellow,Cellular Response To Chemical Stress,BLVRA/BLVRB/CAT/CCS/DPP3/GCLC/GCLM/GPX1/GSR/PGD/PRDX2/PSMA2/PSMA4/PSMA5/PSMA6/PSMA7/PSMB2/PSMB3/PSMB4/PSMB5/PSMB6/PSMB7/PSMC1/PSMC2/PSMC3/PSMD14/SKP1,27,1.7295038308759483e-8,REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS
REACTOME_SYNTHESIS_OF_DNA,4.900852790887194e-10,1.7295038308759483e-8,5.653096134108792,17,37,Reactome,10.646099290780143,yellow,Synthesis Of Dna,PSMA2/PSMA4/PSMA5/PSMA6/PSMA7/PSMB2/PSMB3/PSMB4/PSMB5/PSMB6/PSMB7/PSMC1/PSMC2/PSMC3/PSMD14/RPA2/SKP1,17,1.7295038308759483e-8,REACTOME_SYNTHESIS_OF_DNA
REACTOME_SCF_SKP2_MEDIATED_DEGRADATION_OF_P27_P21,6.035523473056177e-10,1.7295038308759483e-8,5.96547756041427,16,33,Reactome,11.72493786246893,yellow,Scf Skp2 Mediated Degradation Of P27 P21,PSMA2/PSMA4/PSMA5/PSMA6/PSMA7/PSMB2/PSMB3/PSMB4/PSMB5/PSMB6/PSMB7/PSMC1/PSMC2/PSMC3/PSMD14/SKP1,16,1.7295038308759483e-8,REACTOME_SCF_SKP2_MEDIATED_DEGRADATION_OF_P27_P21
REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION,8.252407753280699e-10,1.7295038308759483e-8,5.504330446369087,17,38,Reactome,10.13340087808173,yellow,Fceri Mediated NF-kB Activation,PSMA2/PSMA4/PSMA5/PSMA6/PSMA7/PSMB2/PSMB3/PSMB4/PSMB5/PSMB6/PSMB7/PSMC1/PSMC2/PSMC3/PSMD14/SKP1/UBE2V1,17,1.7295038308759483e-8,REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION
REACTOME_INTERLEUKIN_1_SIGNALING,9.62571205279075e-10,1.7295038308759483e-8,5.150426847218133,18,43,Reactome,9.056571428571429,yellow,Interleukin 1 Signaling,PSMA2/PSMA4/PSMA5/PSMA6/PSMA7/PSMB2/PSMB3/PSMB4/PSMB5/PSMB6/PSMB7/PSMC1/PSMC2/PSMC3/PSMD14/SKP1/UBE2V1/USP14,18,1.7295038308759483e-8,REACTOME_INTERLEUKIN_1_SIGNALING
REACTOME_SIGNALING_BY_NOTCH4,1.0607337321743272e-9,1.7295038308759483e-8,5.790022338049144,16,34,Reactome,11.067292644757433,yellow,Signaling By Notch4,PSMA2/PSMA4/PSMA5/PSMA6/PSMA7/PSMB2/PSMB3/PSMB4/PSMB5/PSMB6/PSMB7/PSMC1/PSMC2/PSMC3/PSMD14/SKP1,16,1.7295038308759483e-8,REACTOME_SIGNALING_BY_NOTCH4
REACTOME_FORMATION_OF_PARAXIAL_MESODERM,1.2469776837036619e-9,1.7295038308759483e-8,6.151898734177216,15,30,Reactome,12.384615384615385,yellow,Formation Of Paraxial Mesoderm,PSMA2/PSMA4/PSMA5/PSMA6/PSMA7/PSMB2/PSMB3/PSMB4/PSMB5/PSMB6/PSMB7/PSMC1/PSMC2/PSMC3/PSMD14,15,1.7295038308759483e-8,REACTOME_FORMATION_OF_PARAXIAL_MESODERM
REACTOME_GASTRULATION,1.2469776837036619e-9,1.7295038308759483e-8,6.151898734177216,15,30,Reactome,12.384615384615385,yellow,Gastrulation,PSMA2/PSMA4/PSMA5/PSMA6/PSMA7/PSMB2/PSMB3/PSMB4/PSMB5/PSMB6/PSMB7/PSMC1/PSMC2/PSMC3/PSMD14,15,1.7295038308759483e-8,REACTOME_GASTRULATION
REACTOME_DISORDERS_OF_TRANSMEMBRANE_TRANSPORTERS,1.3613201212398785e-9,1.809421327814672e-8,5.36319376825706,17,39,Reactome,9.667311411992262,yellow,Disorders Of Transmembrane Transporters,CP/PSMA2/PSMA4/PSMA5/PSMA6/PSMA7/PSMB2/PSMB3/PSMB4/PSMB5/PSMB6/PSMB7/PSMC1/PSMC2/PSMC3/PSMD14/SLC2A1,17,1.809421327814672e-8,REACTOME_DISORDERS_OF_TRANSMEMBRANE_TRANSPORTERS
