replicate,r_boot
631,-0.23316905409582606
632,-0.108142976883676
633,-0.17982407601174463
634,-0.15918723781940405
635,-0.19132197558673705
636,-0.20012863775076525
637,-0.17391231040441443
638,-0.14640661506681177
639,-0.16215189368267444
640,-0.21252660527082484
641,-0.1681422771730531
642,-0.14789578138908568
643,-0.22969169858213143
644,-0.16397057441524215
645,-0.21854736011772838
646,-0.1619878327242763
647,-0.12593279988308853
648,-0.21629882554495852
649,-0.22156120929668469
650,-0.18581199526255932
651,-0.1414201583800785
652,-0.18783519989059566
653,-0.17510049512954287
654,-0.22870485552401706
655,-0.18589125532080406
656,-0.18431154883659218
657,-0.16970002292177383
658,-0.2107848150659427
659,-0.17624206381496924
660,-0.22203176510221054
661,-0.17483485302002139
662,-0.20267408941970833
663,-0.17184677514799862
664,-0.2130075533118348
665,-0.1779437184326003
666,-0.18922688476175767
667,-0.1959972083030829
668,-0.22693189447294004
669,-0.2100720247251677
670,-0.17715746795480655
671,-0.17871798418161033
672,-0.19138553424983915
673,-0.15978413263962768
674,-0.1857764659336007
675,-0.2049587529755043
676,-0.20974037593126302
677,-0.2190049836393612
678,-0.1596421796159391
679,-0.2065273975770222
680,-0.14525526487102874
681,-0.20005361631385538
682,-0.19571336100173203
683,-0.17615384061407158
684,-0.1691910405632325
685,-0.1875702411618961
686,-0.1648996335285961
687,-0.14587158980087947
688,-0.14171633355724134
689,-0.18844194299471353
690,-0.20083727143015873
691,-0.17437572313585567
692,-0.14667132816983686
693,-0.20178304151505566
694,-0.16209074700191767
695,-0.16220209374503772
696,-0.19970813916961191
697,-0.23476961744878388
698,-0.17196933534161254
699,-0.209170422361128
700,-0.16192050812040631
701,-0.2157411576832425
702,-0.1570048546405523
703,-0.17514033332720325
704,-0.1250833982485787
705,-0.21732955225276154
706,-0.16846903065188165
707,-0.24517912869257602
708,-0.18749391505106563
709,-0.15965583628231814
710,-0.1543612370949433
711,-0.20127222840276635
712,-0.14410816877959123
713,-0.15956189302456442
714,-0.1363471793707877
715,-0.19939898277176712
716,-0.21456762941220273
717,-0.18029317032508713
718,-0.16741883826760084
719,-0.20023890493440358
720,-0.16854959985534437
721,-0.16448571817037128
722,-0.17591403454845217
723,-0.18824369454842332
724,-0.15252520818087068
725,-0.19228814932349408
726,-0.16709495293938348
727,-0.21446706162013812
728,-0.1769770918291795
729,-0.16650439325205166
730,-0.18384049933690177
731,-0.16386080243350346
732,-0.17140269118060977
733,-0.17665431073072071
734,-0.19051725878332523
735,-0.195618540962441
736,-0.17429191107079758
737,-0.1624033634823827
738,-0.1530285440617559
739,-0.21451382715278633
740,-0.1993420901536237
741,-0.19643110040760123
742,-0.2424030225545584
743,-0.17005746894389404
744,-0.1719127310946929
745,-0.217637683313356
746,-0.1674563109149435
747,-0.17803475908637872
748,-0.15994527341953937
749,-0.1518214168131278
750,-0.13815636163471387
751,-0.14622708267117476
752,-0.2243420690739553
753,-0.1907548841275444
754,-0.18797979680404375
755,-0.21380875464657925
756,-0.20572770970913204
757,-0.1777866990522681
758,-0.19427505310465032
759,-0.22624507314158504
