gene,pathway,go_slim_id,pattern,logFC_Cancer_vs_Healthy,logFC_Training_CR
MRPL49,Other,OTHER,Partially Reversed,-1.0582,0.3961
OPLAH,Other,OTHER,Partially Reversed,-0.6134,0.0286
PLIN4,Other,OTHER,Partially Reversed,1.5008,-0.7072
PRKAR2A,Other,OTHER,Partially Reversed,-0.6216,0.051
PTRHD1,Other,OTHER,Partially Reversed,-0.9544,0.2741
SELENBP1,Other,OTHER,Partially Reversed,1.1109,-0.4736
TMEM256,Other,OTHER,Partially Reversed,1.3069,-0.2795
UROD,Other,OTHER,Partially Reversed,1.4918,-0.2193
AIMP2,Protein Homeostasis,GO:0065003,Partially Reversed,-0.6405,0.2181
ALAD,Protein Homeostasis,GO:0030163,Partially Reversed,1.8664,-0.0523
ARRB1,Protein Homeostasis,GO:0030163,Partially Reversed,1.5342,-0.1213
ATP2A2,Protein Homeostasis,GO:0006914,Partially Reversed,-0.8342,0.07
ATP6V1H,Protein Homeostasis,GO:0006914,Partially Reversed,0.9892,-0.1844
B2M,Protein Homeostasis,GO:0006457,Partially Reversed,1.6187,-0.2208
C19orf12,Protein Homeostasis,GO:0006914,Partially Reversed,-0.8495,0.6319
CISD1,Protein Homeostasis,GO:0006914,Partially Reversed,-0.7825,0.3613
CLU,Protein Homeostasis,GO:0006457,Partially Reversed,3.192,-0.0479
COPS7A,Protein Homeostasis,GO:0065003,Partially Reversed,-0.5284,0.0845
CTSD,Protein Homeostasis,GO:0006914,Partially Reversed,0.8104,-0.2219
CTSZ,Protein Homeostasis,GO:0051604,Partially Reversed,0.8732,-0.0305
CUL5,Protein Homeostasis,GO:0030163,Partially Reversed,-0.7084,0.1967
DDI2,Protein Homeostasis,GO:0051604,Partially Reversed,1.5763,-0.0547
ECPAS,Protein Homeostasis,GO:0030163,Partially Reversed,-0.8087,0.1376
EEF1A1,Protein Homeostasis,GO:0006914,Partially Reversed,0.6381,-0.0935
ELOB,Protein Homeostasis,GO:0030163,Partially Reversed,-0.5869,0.1559
FUNDC2,Protein Homeostasis,GO:0006914,Partially Reversed,-0.7163,0.1521
GNAI3,Protein Homeostasis,GO:0006914,Partially Reversed,1.635,-0.0427
HSP90B1,Protein Homeostasis,GO:0006457,Partially Reversed,0.7816,-0.0111
HSPB2,Protein Homeostasis,GO:0006457,Partially Reversed,-0.5608,0.1705
PAFAH1B2,Protein Homeostasis,GO:0006914,Partially Reversed,1.0035,-0.5305
PIP4K2B,Protein Homeostasis,GO:0006914,Partially Reversed,-0.77,0.2161
PITHD1,Protein Homeostasis,GO:0030163,Partially Reversed,1.0006,-0.0338
PPIA,Protein Homeostasis,GO:0006457,Partially Reversed,1.2303,-0.2102
PSAP,Protein Homeostasis,GO:0006914,Partially Reversed,0.7475,-0.4081
PSMD5,Protein Homeostasis,GO:0065003,Partially Reversed,0.789,-0.0859
PSMD9,Protein Homeostasis,GO:0030163,Partially Reversed,0.5969,-0.0107
PSME2,Protein Homeostasis,GO:0030163,Partially Reversed,0.6962,-0.1035
PSMF1,Protein Homeostasis,GO:0030163,Partially Reversed,0.794,-0.1936
RAB1A,Protein Homeostasis,GO:0009100,Partially Reversed,1.1343,-0.0309
S100A8,Protein Homeostasis,GO:0006914,Partially Reversed,2.3813,-0.3131
SPTAN1,Protein Homeostasis,GO:0065003,Partially Reversed,1.58,-0.0484
SUMO2,Protein Homeostasis,GO:0030163,Partially Reversed,0.9025,-0.1426
TBCA,Protein Homeostasis,GO:0006457,Partially Reversed,0.6148,-0.0661
TPP1,Protein Homeostasis,GO:0030163,Partially Reversed,0.7827,-0.2857
TRAP1,Protein Homeostasis,GO:0006457,Partially Reversed,-0.6473,0.2074
ADIRF,Transcription & Chromatin,GO:0006355,Partially Reversed,3.5983,-1.0409
ANXA2,Transcription & Chromatin,GO:0016071,Partially Reversed,1.9845,-0.0797
APOBEC2,Transcription & Chromatin,GO:0006325,Partially Reversed,-0.9537,0.006
CAND1,Transcription & Chromatin,GO:0006355,Partially Reversed,1.0083,-0.0532
CARHSP1,Transcription & Chromatin,GO:0016071,Partially Reversed,1.7509,-0.5346
CAVIN1,Transcription & Chromatin,GO:0006351,Partially Reversed,1.5756,-0.4713
