"pathway","database","contrast","NES","padj","sig_label"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","Hallmark","Training_PLA",-1.50566003801313,0.0742121060530265,""
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","Hallmark","Supplement_Interaction",2.256538600983,2.42010807897415e-05,"***"
"GOSLIM_EXTRACELLULAR_MATRIX_ORGANIZATION","GOSlim","Cancer_vs_Healthy",2.12099272314377,6.41542135178131e-05,"***"
"GOSLIM_EXTRACELLULAR_MATRIX_ORGANIZATION","GOSlim","Training_CR",1.00850883044693,0.658973531310523,""
"GOSLIM_EXTRACELLULAR_MATRIX_ORGANIZATION","GOSlim","Baseline_Supplement",-2.79022218288489,9.05630976340514e-10,"***"
"GOSLIM_EXTRACELLULAR_MATRIX_ORGANIZATION","GOSlim","Training_CRE",2.34806930157663,6.72968378692953e-06,"***"
"GOSLIM_EXTRACELLULAR_MATRIX_ORGANIZATION","GOSlim","Training_PLA",-1.63031785068954,0.0363939105613701,"*"
"GOSLIM_EXTRACELLULAR_MATRIX_ORGANIZATION","GOSlim","Supplement_Interaction",2.36162680588213,2.63050747968388e-06,"***"
"HALLMARK_COAGULATION","Hallmark","Cancer_vs_Healthy",2.61608847489978,1.38502415186909e-10,"***"
"HALLMARK_COAGULATION","Hallmark","Training_CR",0.519318681293436,0.997210167389957,""
"HALLMARK_COAGULATION","Hallmark","Baseline_Supplement",-2.24241370774106,3.75044680828017e-05,"***"
"HALLMARK_COAGULATION","Hallmark","Training_CRE",1.65593232685266,0.0368439842913245,"*"
"HALLMARK_COAGULATION","Hallmark","Training_PLA",-1.6731753871856,0.0346751660079164,"*"
"HALLMARK_COAGULATION","Hallmark","Supplement_Interaction",1.90594446321903,0.00390827059611829,"**"
"HALLMARK_APICAL_JUNCTION","Hallmark","Cancer_vs_Healthy",2.17942529551204,2.37680453495065e-05,"***"
"HALLMARK_APICAL_JUNCTION","Hallmark","Training_CR",0.985524428550929,0.69658813541335,""
"HALLMARK_APICAL_JUNCTION","Hallmark","Baseline_Supplement",-2.00472819640637,0.00118127928160009,"**"
"HALLMARK_APICAL_JUNCTION","Hallmark","Training_CRE",1.88510819497916,0.00467924001893723,"**"
"HALLMARK_APICAL_JUNCTION","Hallmark","Training_PLA",-1.66144410807801,0.0366100251871297,"*"
"HALLMARK_APICAL_JUNCTION","Hallmark","Supplement_Interaction",2.0133766345577,0.00232690576234827,"**"
"GOSLIM_WOUND_HEALING","GOSlim","Cancer_vs_Healthy",2.52058630768442,3.84825540525089e-11,"***"
"GOSLIM_WOUND_HEALING","GOSlim","Training_CR",-1.00952836028612,0.658973531310523,""
"GOSLIM_WOUND_HEALING","GOSlim","Baseline_Supplement",-2.32368034830306,1.61467599784736e-07,"***"
"GOSLIM_WOUND_HEALING","GOSlim","Training_CRE",1.42663291308551,0.118681318681319,""
"GOSLIM_WOUND_HEALING","GOSlim","Training_PLA",-1.68483607666074,0.0102465432972347,"*"
"GOSLIM_WOUND_HEALING","GOSlim","Supplement_Interaction",1.86093584671273,0.000829462966794876,"***"
"HALLMARK_COMPLEMENT","Hallmark","Cancer_vs_Healthy",2.29360676971801,1.95881655531692e-06,"***"
"HALLMARK_COMPLEMENT","Hallmark","Training_CR",-0.937253647590792,0.805973152201906,""
"HALLMARK_COMPLEMENT","Hallmark","Baseline_Supplement",-2.29806268864053,7.02930364063733e-06,"***"
"HALLMARK_COMPLEMENT","Hallmark","Training_CRE",1.56102939396363,0.0542847043377266,""
"HALLMARK_COMPLEMENT","Hallmark","Training_PLA",-2.00837677542798,0.00100050258766361,"**"
"HALLMARK_COMPLEMENT","Hallmark","Supplement_Interaction",2.15070697674582,8.59762761210517e-05,"***"
"GOSLIM_ESTABLISHMENT_OR_MAINTENANCE_OF_CELL_POLARITY","GOSlim","Cancer_vs_Healthy",2.10720957544545,5.38168776523151e-05,"***"
"GOSLIM_ESTABLISHMENT_OR_MAINTENANCE_OF_CELL_POLARITY","GOSlim","Training_CR",-1.02982984427636,0.658973531310523,""
"GOSLIM_ESTABLISHMENT_OR_MAINTENANCE_OF_CELL_POLARITY","GOSlim","Baseline_Supplement",-1.85225176629176,0.00476450521727302,"**"
"GOSLIM_ESTABLISHMENT_OR_MAINTENANCE_OF_CELL_POLARITY","GOSlim","Training_CRE",1.65098675194838,0.0590941575844202,""
"GOSLIM_ESTABLISHMENT_OR_MAINTENANCE_OF_CELL_POLARITY","GOSlim","Training_PLA",-1.68443321128122,0.028516562650024,"*"
"GOSLIM_ESTABLISHMENT_OR_MAINTENANCE_OF_CELL_POLARITY","GOSlim","Supplement_Interaction",1.92105100890575,0.00290080285820162,"**"
"HALLMARK_IL2_STAT5_SIGNALING","Hallmark","Cancer_vs_Healthy",1.92667814503594,0.00112556171109939,"**"
"HALLMARK_IL2_STAT5_SIGNALING","Hallmark","Training_CR",-1.17520306538546,0.498639214294166,""
"HALLMARK_IL2_STAT5_SIGNALING","Hallmark","Baseline_Supplement",-1.80121774919457,0.0201010531077546,"*"
"HALLMARK_IL2_STAT5_SIGNALING","Hallmark","Training_CRE",1.7004418145787,0.0437384072279064,"*"
"HALLMARK_IL2_STAT5_SIGNALING","Hallmark","Training_PLA",-2.00260601671954,0.0027790607487039,"**"
"HALLMARK_IL2_STAT5_SIGNALING","Hallmark","Supplement_Interaction",1.91636380423827,0.00663837938521355,"**"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","Hallmark","Cancer_vs_Healthy",1.76931434280781,0.0294725135049253,"*"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","Hallmark","Training_CR",-1.30851726852346,0.41327637879362,""
"HALLMARK_INTERFERON_ALPHA_RESPONSE","Hallmark","Baseline_Supplement",-1.85607528950522,0.0201010531077546,"*"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","Hallmark","Training_CRE",1.45761132078965,0.268114227779655,""
"HALLMARK_INTERFERON_ALPHA_RESPONSE","Hallmark","Training_PLA",-1.92758801387171,0.0346751660079164,"*"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","Hallmark","Supplement_Interaction",1.78934890672571,0.0249727042534904,"*"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","Hallmark","Cancer_vs_Healthy",1.82254510990432,0.00309306137516858,"**"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","Hallmark","Training_CR",-1.0564930400542,0.611778425655977,""
"HALLMARK_INTERFERON_GAMMA_RESPONSE","Hallmark","Baseline_Supplement",-1.98771161511358,0.00239025859637396,"**"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","Hallmark","Training_CRE",1.28347996117386,0.32421340629275,""
"HALLMARK_INTERFERON_GAMMA_RESPONSE","Hallmark","Training_PLA",-1.6504378667941,0.047864019253911,"*"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","Hallmark","Supplement_Interaction",1.89566746494634,0.00663837938521355,"**"
"HALLMARK_UV_RESPONSE_DN","Hallmark","Cancer_vs_Healthy",1.51136239070406,0.092022509102946,""
"HALLMARK_UV_RESPONSE_DN","Hallmark","Training_CR",-1.16526608440619,0.499376139744697,""
"HALLMARK_UV_RESPONSE_DN","Hallmark","Baseline_Supplement",-1.8639299342699,0.0201010531077546,"*"
"HALLMARK_UV_RESPONSE_DN","Hallmark","Training_CRE",1.34752271510093,0.311799978867287,""
"HALLMARK_UV_RESPONSE_DN","Hallmark","Training_PLA",-1.55960740970848,0.0958020637898687,""
"HALLMARK_UV_RESPONSE_DN","Hallmark","Supplement_Interaction",1.72928517659893,0.0330399552947751,"*"
"HALLMARK_APOPTOSIS","Hallmark","Cancer_vs_Healthy",1.91863358211057,0.00162931249331725,"**"
"HALLMARK_APOPTOSIS","Hallmark","Training_CR",-0.741639130007833,0.985180852101004,""
"HALLMARK_APOPTOSIS","Hallmark","Baseline_Supplement",-1.88649663733041,0.00591989692406184,"**"
"HALLMARK_APOPTOSIS","Hallmark","Training_CRE",1.40796045372643,0.266666666666667,""
"HALLMARK_APOPTOSIS","Hallmark","Training_PLA",-1.41299944037976,0.138524191587649,""
"HALLMARK_APOPTOSIS","Hallmark","Supplement_Interaction",1.73042904526031,0.0249727042534904,"*"
"GOSLIM_CYTOKINESIS","GOSlim","Cancer_vs_Healthy",1.58972807598122,0.0331967213114754,"*"
"GOSLIM_CYTOKINESIS","GOSlim","Training_CR",-0.880083960981941,0.819432579470348,""
"GOSLIM_CYTOKINESIS","GOSlim","Baseline_Supplement",-1.76273779282952,0.013781135157207,"*"
"GOSLIM_CYTOKINESIS","GOSlim","Training_CRE",1.50966928886519,0.118681318681319,""
"GOSLIM_CYTOKINESIS","GOSlim","Training_PLA",-1.39749429770765,0.172980700500357,""
"GOSLIM_CYTOKINESIS","GOSlim","Supplement_Interaction",1.91678663651318,0.00290080285820162,"**"
"GOSLIM_DETOXIFICATION","GOSlim","Cancer_vs_Healthy",2.03825222585842,6.8896154459458e-05,"***"
"GOSLIM_DETOXIFICATION","GOSlim","Training_CR",-2.0291358116802,0.000345960765140433,"***"
"GOSLIM_DETOXIFICATION","GOSlim","Baseline_Supplement",-1.64262379410994,0.0227459016393443,"*"
"GOSLIM_DETOXIFICATION","GOSlim","Training_CRE",0.669626862484865,0.959823008849558,""
"GOSLIM_DETOXIFICATION","GOSlim","Training_PLA",-2.08828532168573,0.000239674359926265,"***"
"GOSLIM_DETOXIFICATION","GOSlim","Supplement_Interaction",1.84284726003291,0.00290080285820162,"**"
"HALLMARK_XENOBIOTIC_METABOLISM","Hallmark","Cancer_vs_Healthy",1.87080754692219,0.00112556171109939,"**"
"HALLMARK_XENOBIOTIC_METABOLISM","Hallmark","Training_CR",-1.70375459815022,0.0301228686311583,"*"
"HALLMARK_XENOBIOTIC_METABOLISM","Hallmark","Baseline_Supplement",-1.30985656902449,0.169976098547527,""
"HALLMARK_XENOBIOTIC_METABOLISM","Hallmark","Training_CRE",0.629862455320592,0.985588752196837,""
"HALLMARK_XENOBIOTIC_METABOLISM","Hallmark","Training_PLA",-1.87372420664707,0.0027790607487039,"**"
"HALLMARK_XENOBIOTIC_METABOLISM","Hallmark","Supplement_Interaction",1.57372602723881,0.0330399552947751,"*"
"GOSLIM_RENAL_SYSTEM_PROCESS","GOSlim","Cancer_vs_Healthy",2.41891465349761,2.5877547076771e-07,"***"
"GOSLIM_RENAL_SYSTEM_PROCESS","GOSlim","Training_CR",-1.29003937026826,0.404974643805844,""
"GOSLIM_RENAL_SYSTEM_PROCESS","GOSlim","Baseline_Supplement",-1.5196632490853,0.0929965556831228,""
"GOSLIM_RENAL_SYSTEM_PROCESS","GOSlim","Training_CRE",1.03420347931586,0.599396395786378,""
"GOSLIM_RENAL_SYSTEM_PROCESS","GOSlim","Training_PLA",-1.09948865357896,0.56193724420191,""
"GOSLIM_RENAL_SYSTEM_PROCESS","GOSlim","Supplement_Interaction",1.3403495012014,0.267000114543164,""
"HALLMARK_KRAS_SIGNALING_UP","Hallmark","Cancer_vs_Healthy",2.20920646952641,3.83740145275254e-05,"***"
"HALLMARK_KRAS_SIGNALING_UP","Hallmark","Training_CR",-1.0162215026956,0.665181918806013,""
"HALLMARK_KRAS_SIGNALING_UP","Hallmark","Baseline_Supplement",-1.44116993070818,0.164186205382194,""
"HALLMARK_KRAS_SIGNALING_UP","Hallmark","Training_CRE",1.42045341395054,0.268114227779655,""
"HALLMARK_KRAS_SIGNALING_UP","Hallmark","Training_PLA",-1.23202976689837,0.324799165362546,""
"HALLMARK_KRAS_SIGNALING_UP","Hallmark","Supplement_Interaction",1.75202829502516,0.0278346210064732,"*"
"GOSLIM_DIGESTION","GOSlim","Cancer_vs_Healthy",1.77294311301176,0.02142037485656,"*"
"GOSLIM_DIGESTION","GOSlim","Training_CR",-0.749446800734165,0.866857979276607,""
"GOSLIM_DIGESTION","GOSlim","Baseline_Supplement",-1.37014152350434,0.205133470225873,""
"GOSLIM_DIGESTION","GOSlim","Training_CRE",1.16177166075956,0.426436504357493,""
"GOSLIM_DIGESTION","GOSlim","Training_PLA",-1.2315696030131,0.418875242404654,""
"GOSLIM_DIGESTION","GOSlim","Supplement_Interaction",1.25174558531852,0.393868921775899,""
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","Hallmark","Cancer_vs_Healthy",1.67603601136251,0.034749691151636,"*"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","Hallmark","Training_CR",-1.39847346831687,0.274474691313452,""
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","Hallmark","Baseline_Supplement",-1.44865794222028,0.141100612870276,""
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","Hallmark","Training_CRE",0.974892988611694,0.760030739362563,""
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","Hallmark","Training_PLA",-1.52373272108921,0.111922421338739,""
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","Hallmark","Supplement_Interaction",1.53166870376632,0.107748876481002,""
"GOSLIM_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE","GOSlim","Cancer_vs_Healthy",1.25651140286962,0.223543966501713,""
"GOSLIM_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE","GOSlim","Training_CR",-1.21737794947628,0.404974643805844,""
"GOSLIM_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE","GOSlim","Baseline_Supplement",-1.54160241738815,0.0335779816513761,"*"
"GOSLIM_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE","GOSlim","Training_CRE",1.24374272622801,0.277451324329065,""
"GOSLIM_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE","GOSlim","Training_PLA",-1.40183077428094,0.126510480887793,""
"GOSLIM_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE","GOSlim","Supplement_Interaction",1.50953381253984,0.0443472829481574,"*"
"HALLMARK_HEME_METABOLISM","Hallmark","Cancer_vs_Healthy",2.42750164885663,3.65065329852851e-08,"***"
"HALLMARK_HEME_METABOLISM","Hallmark","Training_CR",-1.31377268874025,0.274474691313452,""
"HALLMARK_HEME_METABOLISM","Hallmark","Baseline_Supplement",-0.7390819491392,0.952353710362864,""
"HALLMARK_HEME_METABOLISM","Hallmark","Training_CRE",-0.952514393091216,0.770717171945191,""
"HALLMARK_HEME_METABOLISM","Hallmark","Training_PLA",-1.11141715336042,0.37730079948722,""
"HALLMARK_HEME_METABOLISM","Hallmark","Supplement_Interaction",-0.874922650566797,0.788812617230848,""
"HALLMARK_BILE_ACID_METABOLISM","Hallmark","Cancer_vs_Healthy",1.1041173813126,0.473171208930401,""
"HALLMARK_BILE_ACID_METABOLISM","Hallmark","Training_CR",-1.75917808766655,0.0411276113767934,"*"
"HALLMARK_BILE_ACID_METABOLISM","Hallmark","Baseline_Supplement",-1.05524745306047,0.58794282162834,""
"HALLMARK_BILE_ACID_METABOLISM","Hallmark","Training_CRE",-1.12300864367522,0.590180381448844,""
"HALLMARK_BILE_ACID_METABOLISM","Hallmark","Training_PLA",-1.68849862708695,0.0513259639836006,""
"HALLMARK_BILE_ACID_METABOLISM","Hallmark","Supplement_Interaction",1.21218894023239,0.364629087359688,""
"HALLMARK_IL6_JAK_STAT3_SIGNALING","Hallmark","Cancer_vs_Healthy",NA,NA,""
"HALLMARK_IL6_JAK_STAT3_SIGNALING","Hallmark","Training_CR",-1.13359599237821,0.535090823307384,""
"HALLMARK_IL6_JAK_STAT3_SIGNALING","Hallmark","Baseline_Supplement",-1.77072675554516,0.0425686908119618,"*"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","Hallmark","Training_CRE",0.954598213342227,0.762667847129999,""
"HALLMARK_IL6_JAK_STAT3_SIGNALING","Hallmark","Training_PLA",-1.31514678664768,0.304088705585127,""
"HALLMARK_IL6_JAK_STAT3_SIGNALING","Hallmark","Supplement_Interaction",1.24956389128372,0.364629087359688,""
