gene,log2_fold_change,neg_log10_pvalue,pi_score,adjusted_pvalue,direction
SMPX,-0.1239,0.1518,0.95762100000000006,0.794416,NS
PGRMC1,0.1046,0.1789,0.957851,0.760829,NS
TMOD4,-0.1561,0.1196,0.957908,0.837416,NS
RPLP0,0.0728,0.2454,0.959705,0.686613,NS
UAP1,0.1061,0.1657,0.960317,0.778844,NS
VPS4B,-0.0777,0.2253,0.960492,0.706172,NS
AKT1,-0.1142,0.153,0.960583,0.793027,NS
UROS,0.0924,0.1887,0.960646,0.750744,NS
ATP2B2,-0.101,0.1726,0.96068,0.769415,NS
ADHFE1,0.1232,0.1376,0.961713,0.811609,NS
ERGIC1,0.0816,0.2069,0.961853,0.729613,NS
ABCF3,0.1146,0.1466,0.962049,0.800673,NS
NUDT3,-0.0818,0.2041,0.962279,0.733648,NS
ANKRD2,-0.108,0.1539,0.962461,0.792495,NS
MYBPC1,0.1197,0.138,0.96268,0.811165,NS
UFL1,0.0878,0.1854,0.963222,0.754564,NS
RPL26,-0.1292,0.1258,0.963256,0.828583,NS
SEC13,-0.0887,0.183,0.963316,0.757217,NS
THAP4,0.1245,0.13,0.963408,0.822229,NS
TMX3,-0.091,0.1777,0.963459,0.762115,NS
ARCN1,-0.0678,0.2366,0.963719,0.695408,NS
LSM2,0.0882,0.1789,0.964324,0.760829,NS
TIMM21,0.1058,0.1491,0.964335,0.798295,NS
AARS1,-0.0686,0.2297,0.964353,0.70141,NS
GGPS1,0.1173,0.134,0.964455,0.8168,NS
MOCS3,0.119,0.1317,0.964567,0.820482,NS
HNRNPD,0.0739,0.2115,0.964636,0.724126,NS
MDP1,0.0877,0.1782,0.964677,0.761657,NS
TSPO,0.0973,0.1581,0.96521,0.788174,NS
SRP14,-0.0992,0.1548,0.965262,0.79192,NS
ATP2B1,-0.081,0.1895,0.96529,0.75018,NS
SMYD2,-0.0953,0.1604,0.965428,0.785406,NS
NIF3L1,-0.0787,0.1924,0.965737,0.748499,NS
MRPS23,-0.1011,0.1464,0.966486,0.800679,NS
SERPINB1,-0.0786,0.1853,0.967017,0.754564,NS
ABHD11,-0.1051,0.1381,0.967133,0.811165,NS
PPCDC,0.0987,0.1467,0.967203,0.800673,NS
PDLIM2,0.1096,0.13,0.967733,0.822229,NS
PSMA3,-0.0737,0.1918,0.96798,0.74868,NS
CPPED1,0.0884,0.1579,0.96838,0.788174,NS
PSMB2,-0.0704,0.1933,0.969165,0.747917,NS
WARS2,0.0946,0.14,0.969963,0.809371,NS
PGRMC2,0.0689,0.1895,0.970371,0.75018,NS
CRYZ,0.0714,0.1791,0.970986,0.760829,NS
MYH4,-0.1407,0.0908,0.971014,0.876825,NS
CALU,-0.0703,0.1809,0.971162,0.759436,NS
AK2,-0.0697,0.1798,0.971569,0.760465,NS
REEP5,-0.0757,0.1649,0.971677,0.779463,NS
ILF3,-0.0805,0.1535,0.971948,0.792839,NS
QDPR,0.0606,0.2021,0.972197,0.736416,NS
BCKDHA,-0.0803,0.1492,0.972786,0.798295,NS
GRHPR,-0.0639,0.1874,0.972823,0.752434,NS
SGCA,-0.0846,0.1388,0.973341,0.810873,NS
CYCS,0.0876,0.1334,0.973453,0.817552,NS
MECP2,0.0894,0.1263,0.974338,0.828048,NS
DCTN2,-0.0614,0.1835,0.97438,0.756567,NS
LYPLAL1,-0.0727,0.1543,0.974486,0.792428,NS
PALLD,0.1172,0.0929,0.97524,0.874842,NS
UGP2,-0.0591,0.1839,0.975292,0.756567,NS
CD99L2,-0.0676,0.1602,0.97539,0.785412,NS
CLCC1,0.0728,0.1482,0.975465,0.799259,NS
C8orf82,0.0909,0.1169,0.975825,0.840388,NS
SNRPD3,-0.067,0.1582,0.975901,0.788174,NS
DAD1,-0.0714,0.1483,0.975908,0.799259,NS
NAA10,0.076,0.139,0.975962,0.810844,NS
MAPKAPK3,0.0943,0.112,0.975971,0.847715,NS
ALDH9A1,0.0599,0.176,0.97601,0.764346,NS
RCN2,0.0746,0.1409,0.97607,0.808314,NS
RAP1A,0.1055,0.0991,0.976213,0.866005,NS
SCARB2,-0.069,0.1511,0.976282,0.795395,NS
FKBP5,0.0834,0.1225,0.97675,0.83348,NS
ASMTL,-0.0871,0.1173,0.97676,0.840169,NS
INPP1,-0.071,0.1433,0.976841,0.805754,NS
TXNDC12,0.0812,0.1241,0.977083,0.83159,NS
PYCARD,-0.108,0.0903,0.977799,0.877102,NS
PCTP,-0.0818,0.1187,0.97788,0.83777,NS
RPL5,0.0628,0.1541,0.977965,0.792485,NS
CRADD,0.1049,0.0917,0.978076,0.876043,NS
HDGF,0.0581,0.1606,0.978729,0.785405,NS
SLK,-0.081,0.1146,0.978843,0.844105,NS
PTGES3,-0.0508,0.1827,0.978878,0.757359,NS
RIC8A,0.0748,0.1238,0.978902,0.831721,NS
ACAA2,-0.0562,0.1624,0.979189,0.782922,NS
UBAP2L,0.0862,0.1035,0.979671,0.860729,NS
PPIL3,-0.0676,0.1307,0.979862,0.821926,NS
MYPN,0.0833,0.1025,0.980538,0.861161,NS
NAGK,0.0588,0.1366,0.981666,0.81301,NS
ARL8B,-0.056,0.143,0.981723,0.805854,NS
NEB,0.1158,0.0691,0.981746,0.901016,NS
HP1BP3,-0.0737,0.1086,0.981746,0.85334,NS
OPA3,-0.0885,0.0904,0.981749,0.877102,NS
TPT1,-0.0491,0.1626,0.981784,0.782922,NS
OSTC,-0.0678,0.1161,0.982032,0.841723,NS
ARPC5L,0.0614,0.1272,0.982171,0.82679,NS
RAB2A,-0.0469,0.166,0.982217,0.778844,NS
MT-ND2,-0.0708,0.1073,0.982661,0.855499,NS
RBBP7,-0.0628,0.1207,0.982696,0.836241,NS
GLUL,-0.0731,0.1026,0.982884,0.861161,NS
ATP6V1A,0.0604,0.1235,0.982976,0.831882,NS
PSMD10,0.0621,0.1195,0.983075,0.837416,NS
PDCD5,-0.056,0.13,0.983372,0.822229,NS
MINDY3,0.1084,0.0664,0.983566,0.903154,NS
DHODH,-0.0874,0.0823,0.983569,0.886052,NS
SRSF11,-0.0716,0.1003,0.983612,0.864389,NS
PHPT1,-0.0624,0.1128,0.983915,0.846482,NS
IDI1,0.0739,0.095,0.983969,0.871745,NS
TRIM72,-0.0517,0.1353,0.984011,0.814805,NS
PPP1CA,-0.0579,0.1208,0.984029,0.836241,NS
VPS26A,0.0489,0.1423,0.984099,0.806429,NS
MAP1LC3B2,-0.0666,0.1044,0.984108,0.859972,NS
RALB,0.102,0.0669,0.984407,0.903077,NS
HARS2,-0.0893,0.0763,0.984427,0.891179,NS
METTL7A,-0.0604,0.111,0.984672,0.849298,NS
PUDP,0.0768,0.087,0.984724,0.880947,NS
GSTP1,0.0493,0.1354,0.984736,0.814805,NS
KLC1,0.0548,0.119,0.985089,0.837699,NS
ANXA11,0.0457,0.1427,0.985113,0.806161,NS
PTGR1,-0.0587,0.1107,0.985144,0.849425,NS
TRMT10C,-0.075,0.0861,0.985254,0.88136,NS
ARF6,-0.0656,0.0967,0.985492,0.86954,NS
CCT5,0.0441,0.1383,0.986055,0.811165,NS
H3-3A,0.0976,0.0622,0.986114,0.90954,NS
H1-0,0.0722,0.0831,0.986288,0.885143,NS
U2AF2,-0.0651,0.0919,0.986329,0.876043,NS
PIN4,-0.0575,0.1032,0.986436,0.860744,NS
MEMO1,-0.0665,0.0862,0.98689,0.88136,NS
HSPA1L,-0.0621,0.0911,0.98706,0.876567,NS
PEX11B,-0.0683,0.0819,0.987213,0.886052,NS
DCAF11,-0.0821,0.0676,0.987306,0.902308,NS
FKBP8,-0.0636,0.0868,0.987372,0.880947,NS
YWHAG,0.0452,0.1203,0.987547,0.836462,NS
CPTP,-0.0567,0.0948,0.987701,0.871899,NS
SAR1A,-0.0497,0.1062,0.987915,0.856792,NS
PLGRKT,0.0588,0.0881,0.98814,0.879929,NS
ABCF2,-0.0593,0.0873,0.988164,0.880878,NS
TARDBP,0.0496,0.1041,0.98818,0.859972,NS
MYH1,0.087,0.059,0.988248,0.915127,NS
RPS27,-0.06,0.0841,0.98844,0.883738,NS
SYNGR2,0.0511,0.0979,0.988545,0.867636,NS
PRKCD,0.0624,0.0796,0.988625,0.887953,NS
XPO1,0.0435,0.1137,0.988676,0.845083,NS
SELENOW,-0.0545,0.0899,0.988778,0.87746,NS
HTRA2,0.0554,0.0881,0.988817,0.879929,NS
NUDCD3,0.0608,0.0799,0.988885,0.887751,NS
UBE2B,0.0601,0.0808,0.988887,0.887412,NS
LANCL1,0.047,0.1031,0.988905,0.860744,NS
ACOT1,0.0658,0.0734,0.988947,0.896107,NS
FBP2,0.0618,0.0765,0.989162,0.89117,NS
SF1,0.0517,0.0915,0.989167,0.876082,NS
TOMM5,0.0648,0.0728,0.989204,0.896712,NS
AHCY,0.0396,0.1189,0.989218,0.837699,NS
TPM1,-0.0821,0.057,0.989271,0.918108,NS
MRPL24,0.0695,0.0668,0.989364,0.903077,NS
MRPS36,-0.0526,0.0878,0.989423,0.88021,NS
KYAT3,0.0575,0.0799,0.989469,0.887751,NS
ACSS2,-0.0441,0.104,0.989503,0.859972,NS
SUGT1,0.0456,0.0991,0.989651,0.866005,NS
KRT8,0.0844,0.0522,0.989912,0.925311,NS
RPS21,-0.0384,0.1142,0.989961,0.844649,NS
