module_color,pathway,database,pval,padj,overlap,size,odds_ratio
turquoise,GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA,GO:BP,0.0015399653712111056,0.025452162470428617,23,43,2.6278120184899847
turquoise,GOBP_PROTEIN_LOCALIZATION_TO_NUCLEUS,GO:BP,0.0015572363170214653,0.025452162470428617,31,63,2.2231376755070205
turquoise,GOBP_LEUKOCYTE_HOMEOSTASIS,GO:BP,0.0016518389674285714,0.02641146870747205,13,20,4.215911554303057
turquoise,GOBP_RECEPTOR_INTERNALIZATION,GO:BP,0.0016518389674285714,0.02641146870747205,13,20,4.215911554303057
turquoise,GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION,GO:BP,0.0017110628480617501,0.027030861348040433,17,29,3.2248091603053437
turquoise,GOBP_LAMELLIPODIUM_ORGANIZATION,GO:BP,0.0018246172984526475,0.027030861348040433,12,18,4.536363636363636
turquoise,GOBP_NEGATIVE_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,GO:BP,0.0018246172984526475,0.027030861348040433,12,18,4.536363636363636
turquoise,GOBP_CD8_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION,GO:BP,0.0019250655654405714,0.027030861348040433,8,10,9.042168674698795
turquoise,GOBP_EXTRACELLULAR_MATRIX_ASSEMBLY,GO:BP,0.0019250655654405714,0.027030861348040433,8,10,9.042168674698795
turquoise,GOBP_REGULATION_OF_RHO_PROTEIN_SIGNAL_TRANSDUCTION,GO:BP,0.0019250655654405714,0.027030861348040433,8,10,9.042168674698795
turquoise,GOBP_RESPONSE_TO_OXYGEN_RADICAL,GO:BP,0.0019250655654405714,0.027030861348040433,8,10,9.042168674698795
turquoise,GOBP_T_HELPER_17_CELL_DIFFERENTIATION,GO:BP,0.0019250655654405714,0.027030861348040433,8,10,9.042168674698795
turquoise,GOBP_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION,GO:BP,0.0019998330728714328,0.027030861348040433,41,90,1.928070118697241
turquoise,GOBP_REGULATION_OF_ACTIN_FILAMENT_POLYMERIZATION,GO:BP,0.0020023155551583574,0.027030861348040433,16,27,3.3082039911308203
turquoise,GOBP_CYTOSKELETON_DEPENDENT_INTRACELLULAR_TRANSPORT,GO:BP,0.002010545693493297,0.027030861348040433,19,34,2.8863705972434914
turquoise,GOBP_EPITHELIAL_CELL_PROLIFERATION,GO:BP,0.002010545693493297,0.027030861348040433,19,34,2.8863705972434914
turquoise,GOBP_NEGATIVE_REGULATION_OF_TRANSPORT,GO:BP,0.0020392238223260702,0.027030861348040433,33,69,2.1044600938967135
turquoise,GOBP_POSITIVE_REGULATION_OF_ERK1_AND_ERK2_CASCADE,GO:BP,0.002072247188608664,0.027030861348040433,10,14,5.660876132930514
turquoise,GOBP_RESPONSE_TO_VITAMIN,GO:BP,0.002072247188608664,0.027030861348040433,10,14,5.660876132930514
turquoise,GOBP_COLLAGEN_METABOLIC_PROCESS,GO:BP,0.0020764699743905973,0.027030861348040433,9,12,6.787330316742081
turquoise,GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_2_PRODUCTION,GO:BP,0.0020764699743905973,0.027030861348040433,9,12,6.787330316742081
turquoise,REACTOME_NUCLEAR_EVENTS_MEDIATED_BY_NFE2L2,Reactome,0.006967228527597029,0.030053667302633102,21,42,2.2764976958525347
turquoise,REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR,Reactome,0.006967228527597029,0.030053667302633102,21,42,2.2764976958525347
turquoise,REACTOME_DISORDERS_OF_TRANSMEMBRANE_TRANSPORTERS,Reactome,0.007043828274054633,0.030053667302633102,19,37,2.400459418070444
