pathway,pval,padj,foldEnrichment,overlap,size,database,odds_ratio,module,Description,geneID,Count,p.adjust,ID
GOBP_ACTION_POTENTIAL,5.51816532906421e-4,0.024545616889652285,2.2478768577494694,15,27,GO:BP,3.876427406199021,blue,Action Potential,ANK3/ATP1A1/ATP1A2/ATP1B1/ATP2A2/BIN1/CACNA2D1/CACNB3/CAMK2D/CASQ2/DMD/GPD1L/MYH14/SLMAP/SNTA1,15,0.024545616889652285,GOBP_ACTION_POTENTIAL
GOBP_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT,7.611336316210355e-4,0.02901087388112108,1.8612420382165606,23,50,GO:BP,2.655524946434037,blue,Regulation Of Calcium Ion Transmembrane Transport,ATP1A2/ATP1B1/ATP2A1/BIN1/CACNA2D1/CACNB1/CACNB3/CAMK2D/CASQ1/CASQ2/DHRS7C/DMD/HRC/JPH1/JPH2/PLN/PPP3CB/PRKACA/STAC3/STIM1/TMEM38A/UBQLN1/VDAC1,23,0.02901087388112108,GOBP_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT
GOBP_AUTOPHAGOSOME_MATURATION,7.971347527701879e-4,0.02901087388112108,2.4277070063694266,12,20,GO:BP,4.638798701298701,blue,Autophagosome Maturation,ATP2A2/CHMP1B/CHMP2A/CHMP6/FYCO1/GABARAPL2/MAP1LC3B2/TOM1/TSG101/UBQLN1/VPS4A/VPS4B,12,0.02901087388112108,GOBP_AUTOPHAGOSOME_MATURATION
GOBP_REGULATION_OF_TRANSLATION,8.419240855642905e-4,0.029198425922176863,1.5347573028772237,44,116,GO:BP,1.92646499238965,blue,Regulation Of Translation,ABCE1/ABCF1/BZW2/CELF1/CIRBP/CNBP/CSDE1/CSNK2A1/DDX1/DDX6/EIF1/EIF2A/EIF2S1/EIF3B/EIF3C/EIF3E/EIF3K/EIF4A2/EIF4G1/EIF4G2/EIF4H/EIF5/EIF5B/EPRS1/ETF1/FXR1/GSPT1/HBS1L/MAP3K20/METAP2/MSI2/PABPC1/PAIP1/PELO/PRMT1/QKI/RIDA/RPS3/RPS4X/RPS6KA3/RPS9/SERBP1/YBX1/YBX3,44,0.029198425922176863,GOBP_REGULATION_OF_TRANSLATION
GOBP_MUSCLE_SYSTEM_PROCESS,8.509116630109826e-4,0.029198425922176863,1.4524742773150416,56,156,GO:BP,1.774965034965035,blue,Muscle System Process,ANKRD2/ATP1A1/ATP1A2/ATP1B1/ATP2A1/ATP2A2/ATP2B1/BIN1/C12orf57/CACNA1S/CACNA2D1/CACNB1/CAMK2B/CAMK2D/CAMK2G/CASQ1/CASQ2/CSRP3/DAG1/DMD/DTNA/FXYD1/GAMT/GPD1L/HRC/JPH1/JPH2/JSRP1/LMCD1/MAP2K1/MAP2K3/MAP2K6/MYH14/MYLK/MYLK2/MYOF/NOL3/PAK2/PARP1/PGAM2/PLN/PRKACA/PRKG1/RCSD1/RYR1/SGCA/SGCD/SLMAP/SNTA1/SNTB1/SSPN/STAC3/STUB1/TMEM38A/TRIM72/UTRN,56,0.029198425922176863,GOBP_MUSCLE_SYSTEM_PROCESS
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS,9.436454033461915e-4,0.03148105915052156,1.5449044585987262,42,110,GO:BP,1.9446396305962659,blue,Ribonucleoprotein Complex Biogenesis,ABCF1/CELF1/CUL4A/CUL4B/DDX1/EIF1AX/EIF2A/EIF2S2/EIF2S3/EIF3A/EIF3B/EIF3C/EIF3D/EIF3E/EIF3G/EIF3I/EIF3J/EIF3K/EIF3L/EIF4H/EIF5/EIF5B/LUC7L2/NOL3/PIN4/PRKRA/PRMT5/RPL27/RPS11/RPS17/RPS3A/RPS4X/RPS6/RPS8/RPS9/SBDS/SF1/SNRPB/SNU13/STRAP/TRMT112/WDR77,42,0.03148105915052156,GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS
REACTOME_CHROMATIN_ORGANIZATION,0.0014436595668280868,0.037225793116067094,2.528861464968153,10,16,Reactome,5.142934196332255,blue,Chromatin Organization,CARM1/PADI2/PRMT1/PRMT5/RBBP4/RBBP7/RPS2/SETD7/SMYD2/WDR77,10,0.037225793116067094,REACTOME_CHROMATIN_ORGANIZATION
GOBP_CALCIUM_ION_HOMEOSTASIS,0.0013048649929001631,0.0404198752127024,1.6628130180612515,30,73,GO:BP,2.181690907676752,blue,Calcium Ion Homeostasis,ATP1A2/ATP1B1/ATP2A1/ATP2A2/ATP2A3/ATP2B1/ATP2B2/CACNA1S/CAMK2D/CASQ1/CASQ2/CLCC1/CSRP3/DHRS7C/DMD/HRC/JPH1/JPH2/MCU/NOL3/PLCL2/PLN/PRKACA/RYR1/SGCD/STIM1/SYPL2/TMEM38A/TPT1/VAPB,30,0.0404198752127024,GOBP_CALCIUM_ION_HOMEOSTASIS
GOBP_PROTEIN_AUTOPHOSPHORYLATION,0.0014436595668280868,0.0404198752127024,2.528861464968153,10,16,GO:BP,5.142934196332255,blue,Protein Autophosphorylation,CAMK2A/CAMK2B/CHP1/GSK3B/MAP2K2/MAP3K20/MYLK2/OXSR1/PAK2/SLK,10,0.0404198752127024,GOBP_PROTEIN_AUTOPHOSPHORYLATION
GOBP_PROTEIN_METHYLATION,0.0014436595668280868,0.0404198752127024,2.528861464968153,10,16,GO:BP,5.142934196332255,blue,Protein Methylation,ETF1/FAM98B/GSPT1/LCMT1/PRMT1/PRMT5/SETD7/SMYD2/SNRPB/TRMT112,10,0.0404198752127024,GOBP_PROTEIN_METHYLATION
GOBP_SPERMATID_DIFFERENTIATION,0.0014471728843848486,0.0404198752127024,2.312101910828025,12,21,GO:BP,4.121212121212121,blue,Spermatid Differentiation,DDX6/DYNLL1/FXR1/HSPA2/NSUN2/PAFAH1B1/PLN/PRKACA/PRKG1/QKI/TUBA8/VDAC3,12,0.0404198752127024,GOBP_SPERMATID_DIFFERENTIATION
REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS,0.0016913934701641728,0.040706202848617756,1.6403425718712343,30,74,Reactome,2.130966859227729,blue,Intracellular Signaling By Second Messengers,AHCYL1/CAMK2A/CAMK2B/CAMK2D/CAMK2G/CSNK2A1/CSNK2B/GRB2/GSK3B/PIP4K2B/PPP2CA/PPP2R5A/PPP2R5D/PRKACA/PRKAR1A/PRKAR2A/PRKCD/PSMB5/PSMC4/PSMC5/PSMD1/PSMD11/PSMD12/PSMD2/PSMD3/PSMD6/RBBP4/RBBP7/STUB1/USP7,30,0.040706202848617756,REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS
REACTOME_DNA_REPAIR,0.001953498604572646,0.044075812265670325,1.8750582569519965,19,41,Reactome,2.681668905806837,blue,DNA Repair,COPS2/COPS3/COPS4/COPS5/COPS6/COPS7A/CUL4A/CUL4B/DDB1/GPS1/NPLOC4/PARP1/PPP5C/RPA1/RPA3/UBE2V2/UBXN1/UFD1/USP7,19,0.044075812265670325,REACTOME_DNA_REPAIR
GOBP_REGULATION_OF_TRANSPORTER_ACTIVITY,0.0017807747415403271,0.047526899213109625,2.1916799363057327,13,24,GO:BP,3.6549889135254987,blue,Regulation Of Transporter Activity,AHCYL1/ANK3/ATP2A1/CACNB3/CAMK2D/CASQ1/CHP1/JPH2/PLN/PRKCD/STAC3/STIM1/UBQLN1,13,0.047526899213109625,GOBP_REGULATION_OF_TRANSPORTER_ACTIVITY
