gene,quadrant,sig_cat,pathway,logFC_Cancer_vs_Healthy,logFC_Training_CR
NPC2,Discordant,CvH,Lipid Metabolism,0.8651,-0.0479
PAFAH1B3,Discordant,CvH,Lipid Metabolism,0.8424,-0.1933
HADHB,Discordant,CvH,Lipid Metabolism,-0.5548,0.1483
SCCPDH,Discordant,CvH,Lipid Metabolism,-0.5935,0.2753
CYB5R1,Discordant,CvH,Lipid Metabolism,-0.6269,0.123
COQ8A,Discordant,CvH,Lipid Metabolism,-0.6735,0.0135
COQ7,Discordant,CvH,Lipid Metabolism,-0.6834,0.0856
CPT2,Discordant,CvH,Lipid Metabolism,-0.6919,0.144
LACTB,Discordant,CvH,Lipid Metabolism,-0.8205,0.0027
ECI2,Discordant,CvH,Lipid Metabolism,-0.8239,0.0501
ACACA,Discordant,CvH,Lipid Metabolism,-1.2827,0.3408
TMEM70,Discordant,Tr.(CR),Mitochondria & Energy,-0.3178,1.1201
FIS1,Discordant,CvH,Mitochondria & Energy,-0.5811,0.1735
TMEM11,Discordant,CvH,Mitochondria & Energy,-0.647,0.2188
BCL2L13,Discordant,CvH,Mitochondria & Energy,-0.6527,0.047
MT-ND5,Discordant,CvH,Mitochondria & Energy,-0.7582,0.1218
MAVS,Discordant,CvH,Mitochondria & Energy,-0.7856,0.0116
ATP5F1D,Discordant,CvH,Mitochondria & Energy,-0.7961,0.4367
MFN2,Discordant,CvH,Mitochondria & Energy,-0.8335,0.0926
COA3,Discordant,CvH,Mitochondria & Energy,-0.8421,0.1057
NDUFB5,Discordant,CvH,Mitochondria & Energy,-0.9263,0.5403
SLC25A6,Discordant,CvH,Mitochondria & Energy,-0.9754,0.3478
FAM162A,Discordant,CvH,Mitochondria & Energy,-0.9983,0.4478
MARCHF5,Discordant,CvH,Mitochondria & Energy,-1.0729,0.7522
SLC25A46,Discordant,CvH,Mitochondria & Energy,-1.0791,0.3197
MT-ND4,Discordant,CvH,Mitochondria & Energy,-1.2097,0.2573
MYOZ2,Discordant,CvH,Muscle & Contractile,1.6621,-0.0173
PPP1R12B,Discordant,CvH,Muscle & Contractile,1.0029,-0.0242
MTPN,Discordant,CvH,Muscle & Contractile,0.4965,-0.0294
TMOD4,Discordant,Tr.(CR),Muscle & Contractile,-0.1606,0.9765
HSPA12A,Discordant,CvH,Other,2.4113,-0.0715
GNG2,Discordant,CvH,Other,2.1867,-0.6775
UROD,Discordant,CvH,Other,1.49,-0.2208
HEBP1,Discordant,CvH,Other,1.4584,-0.1876
APMAP,Discordant,CvH,Other,1.3436,-0.0393
PLIN4,Discordant,CvH,Other,1.2963,-0.4777
TMEM256,Discordant,CvH,Other,1.225,-0.1857
CNRIP1,Discordant,Tr.(CR),Other,1.1651,-1.0632
HMBS,Discordant,CvH,Other,1.1229,-0.0783
SELENBP1,Discordant,CvH,Other,1.1024,-0.4364
LHPP,Discordant,CvH,Other,1.0771,-0.084
C20orf27,Discordant,CvH,Other,0.8813,-0.0473
ALDH16A1,Discordant,CvH,Other,0.8158,-0.0353
BLVRA,Discordant,CvH,Other,0.7667,-0.0417
DCUN1D1,Discordant,CvH,Other,0.6982,-0.4377
PEBP4,Discordant,Tr.(CR),Other,0.1569,-0.7499
SELENOO,Discordant,Tr.(CR),Other,-0.3765,1.5472
DNPEP,Discordant,CvH,Other,-0.5272,0.0617
OPLAH,Discordant,CvH,Other,-0.6152,0.0269
EHBP1L1,Discordant,CvH,Other,-0.72,0.0516
PTRHD1,Discordant,CvH,Other,-0.8778,0.1874
MRPL38,Discordant,CvH,Other,-0.9464,0.7518
MRPL13,Discordant,Both,Other,-0.956,1.2963
BZW2,Discordant,CvH,Other,-0.9886,0.4412
HINT3,Discordant,CvH,Other,-0.9934,0.2409
MRPL49,Discordant,CvH,Other,-1.0631,0.3936
CYB5B,Discordant,CvH,Other,-1.4827,0.0649
ATL3,Discordant,Both,Protein Homeostasis,3.4695,-1.0422
S100A8,Discordant,CvH,Protein Homeostasis,2.3104,-0.2266
ALAD,Discordant,CvH,Protein Homeostasis,2.0106,-0.1919
KLKB1,Discordant,CvH,Protein Homeostasis,1.8516,-0.04
GNAI3,Discordant,CvH,Protein Homeostasis,1.7127,-0.1467
ARRB1,Discordant,CvH,Protein Homeostasis,1.6447,-0.2489
DDI2,Discordant,CvH,Protein Homeostasis,1.6307,-0.1113
B2M,Discordant,CvH,Protein Homeostasis,1.5052,-0.0893
EPS15,Discordant,CvH,Protein Homeostasis,1.1744,-0.2384
UBA5,Discordant,CvH,Protein Homeostasis,1.1362,-0.2851
PITHD1,Discordant,CvH,Protein Homeostasis,1.1195,-0.1623
PPIA,Discordant,CvH,Protein Homeostasis,1.1106,-0.0533
CTTN,Discordant,CvH,Protein Homeostasis,1.1101,-0.1032
ATP6V1H,Discordant,CvH,Protein Homeostasis,1.0133,-0.2193
PAFAH1B2,Discordant,CvH,Protein Homeostasis,0.9477,-0.4611
PSMD5,Discordant,CvH,Protein Homeostasis,0.8167,-0.1116
PSMF1,Discordant,CvH,Protein Homeostasis,0.8106,-0.199
SUMO2,Discordant,CvH,Protein Homeostasis,0.7967,-0.0136
CTSD,Discordant,CvH,Protein Homeostasis,0.788,-0.1816
STAM,Discordant,CvH,Protein Homeostasis,0.7773,-0.0601
PSME2,Discordant,CvH,Protein Homeostasis,0.702,-0.1049
ERP29,Discordant,Tr.(CR),Protein Homeostasis,-0.1073,0.4701
SCFD1,Discordant,CvH,Protein Homeostasis,-0.4946,0.1551
HSPB2,Discordant,CvH,Protein Homeostasis,-0.5461,0.1703
ELOB,Discordant,CvH,Protein Homeostasis,-0.597,0.1754
CLPP,Discordant,Both,Protein Homeostasis,-0.6631,0.6308
CISD1,Discordant,CvH,Protein Homeostasis,-0.6791,0.2747
PIP4K2B,Discordant,CvH,Protein Homeostasis,-0.7773,0.2159
ECPAS,Discordant,CvH,Protein Homeostasis,-0.7978,0.1329
VPS28,Discordant,CvH,Protein Homeostasis,-0.8303,0.0433
C19orf12,Discordant,CvH,Protein Homeostasis,-0.8522,0.631
MTM1,Discordant,CvH,Protein Homeostasis,-0.9586,0.3333
STBD1,Discordant,CvH,Protein Homeostasis,-0.9962,0.3476
DIAPH2,Discordant,CvH,Protein Homeostasis,-1.5381,0.7335
ADIRF,Discordant,CvH,Transcription & Chromatin,3.3419,-0.7633
DDX19B,Discordant,Both,Transcription & Chromatin,1.908,-1.2691
CARHSP1,Discordant,CvH,Transcription & Chromatin,1.687,-0.464
CAVIN1,Discordant,CvH,Transcription & Chromatin,1.4009,-0.2643
MYO1C,Discordant,CvH,Transcription & Chromatin,1.3246,-0.1714
CAND1,Discordant,CvH,Transcription & Chromatin,1.0472,-0.086
HNRNPA3,Discordant,CvH,Transcription & Chromatin,0.9646,-0.4168
HNRNPF,Discordant,CvH,Transcription & Chromatin,0.8381,-0.2462
RBM3,Discordant,Tr.(CR),Transcription & Chromatin,0.7994,-1.8452
ELAVL1,Discordant,CvH,Transcription & Chromatin,0.7343,-0.1281
HNRNPH1,Discordant,CvH,Transcription & Chromatin,0.513,-0.005
CAVIN4,Discordant,CvH,Transcription & Chromatin,-0.681,0.1698
TSFM,Discordant,CvH,Transcription & Chromatin,-0.6905,0.3031
FHOD1,Discordant,CvH,Transcription & Chromatin,-0.6959,0.1338
NOL3,Discordant,CvH,Transcription & Chromatin,-0.7071,0.026
ZBTB9,Discordant,CvH,Transcription & Chromatin,-0.89,0.3696
EIF4B,Discordant,CvH,Translation & Ribosome,0.8896,-0.3275
RAN,Discordant,CvH,Translation & Ribosome,0.6543,-0.2311
RPL4,Discordant,Tr.(CR),Translation & Ribosome,-0.3423,0.4153
DARS1,Discordant,CvH,Translation & Ribosome,-0.5005,0.0263
EIF3B,Discordant,CvH,Translation & Ribosome,-0.5043,0.0495
KARS1,Discordant,CvH,Translation & Ribosome,-0.5143,0.0584
LARS1,Discordant,CvH,Translation & Ribosome,-0.5216,0.1779
VARS1,Discordant,CvH,Translation & Ribosome,-0.5365,0.1834
RPS2,Discordant,CvH,Translation & Ribosome,-0.5614,0.3252
GARS1,Discordant,CvH,Translation & Ribosome,-0.5877,0.1853
EPRS1,Discordant,CvH,Translation & Ribosome,-0.6,0.1974
RPL30,Discordant,CvH,Translation & Ribosome,-0.6045,0.424
RPS9,Discordant,CvH,Translation & Ribosome,-0.6424,0.0926
RARS1,Discordant,CvH,Translation & Ribosome,-0.6588,0.1662
LRRC47,Discordant,CvH,Translation & Ribosome,-0.7078,0.0261
CUL4A,Discordant,CvH,Translation & Ribosome,-0.7217,0.3689
FARSB,Discordant,CvH,Translation & Ribosome,-0.793,0.0884
S100A6,Discordant,CvH,Transport,3.0736,-0.1486
STOM,Discordant,CvH,Transport,2.3739,-0.1812
NDRG1,Discordant,CvH,Transport,1.8912,-0.1209
CA2,Discordant,CvH,Transport,1.8618,-0.3986
CD81,Discordant,CvH,Transport,1.7802,-0.3493
CAVIN2,Discordant,CvH,Transport,1.4854,-0.2991
SORBS1,Discordant,CvH,Transport,1.2705,-0.287
CYB5A,Discordant,CvH,Transport,1.0471,-0.1416
PITPNA,Discordant,CvH,Transport,0.9142,-0.0776
ANP32A,Discordant,CvH,Transport,0.9113,-0.0629
ESYT1,Discordant,CvH,Transport,0.8496,-0.256
SNX1,Discordant,CvH,Transport,0.842,-0.0046
ARFIP1,Discordant,CvH,Transport,0.768,-0.0634
GAPVD1,Discordant,CvH,Transport,0.7675,-0.0665
VPS29,Discordant,CvH,Transport,0.7074,-0.1491
ARHGDIA,Discordant,CvH,Transport,0.7024,-0.0424
EIPR1,Discordant,CvH,Transport,0.6939,-0.3835
GNB2,Discordant,CvH,Transport,0.6405,-0.0965
NUTF2,Discordant,CvH,Transport,0.6257,-0.195
PACSIN2,Discordant,CvH,Transport,0.6115,-0.2266
ARCN1,Discordant,Tr.(CR),Transport,-0.0718,0.4708
SLC25A3,Discordant,CvH,Transport,-0.5562,0.2813
CNIH4,Discordant,CvH,Transport,-0.6161,0.3611
SLC25A20,Discordant,CvH,Transport,-0.678,0.2994
DYSF,Discordant,CvH,Transport,-0.7166,0.2624
SLC41A3,Discordant,Tr.(CR),Transport,-0.7255,1.5036
KPNA3,Discordant,CvH,Transport,-0.7457,0.32
CLIC5,Discordant,CvH,Transport,-0.7473,0.0593
CSRP3,Discordant,CvH,Transport,-0.7575,0.4083
ACSL3,Discordant,CvH,Transport,-0.7599,0.1706
ATP1B1,Discordant,CvH,Transport,-0.781,0.1158
CSE1L,Discordant,CvH,Transport,-0.8036,0.0692
SYPL2,Discordant,CvH,Transport,-0.8739,0.0491
DHRS7C,Discordant,CvH,Transport,-0.8906,0.3003
CAMK2B,Discordant,CvH,Transport,-0.9381,0.1692
MYO6,Discordant,CvH,Transport,-1.438,0.4924
