uniprot_id,logFC,CI.L,CI.R,average_intensity,t,B,P.Value,adj.P.Val,sig.PVal,sig.FDR,pi_score,sig_pi,contrast,gene,protein,description
Q13867,0.05535404727263327,-0.2776232923806316,0.38833138692589814,20.135693745115116,0.33636469803138147,-4.728574921959508,0.7384179719944406,0.9755112100065604,0,0,0.9833542451479188,0,Training_CRE,BLMH,BLMH_HUMAN,Bleomycin hydrolase
O95183,0.016353014240024777,-0.32623774620879376,0.3589437746888433,20.02959486227392,0.09658237428057939,-4.742205762642217,0.9235578641460752,0.9947922085664769,0,0,0.9987004236635935,0,Training_CRE,VAMP5,VAMP5_HUMAN,Vesicle-associated membrane protein 5
Q9UMS6,0.026561038832991102,-0.7521143910463559,0.8052364687123381,19.875853988889563,0.06902502399220202,-4.742806403845471,0.9453271727179682,0.9957024117140357,0,0,0.9985077414497423,0,Training_CRE,SYNPO2,SYNP2_HUMAN,Synaptopodin-2
Q9Y305,0.0519363163162474,-0.2598795804475428,0.3637522130800376,20.134283517193367,0.33701450986961107,-4.72851760318756,0.7379319027349244,0.9755112100065604,0,0,0.9843402685618672,0,Training_CRE,ACOT9,ACOT9_HUMAN,"Acyl-coenzyme A thioesterase 9, mitochondrial"
O14957,-0.06597900954217906,-0.6965903073053844,0.5646322882210263,19.94051853994897,-0.21169946143421933,-4.737538874768709,0.8334555252405805,0.9835394147883001,-0,-0,0.9880522263793967,0,Training_CRE,UQCR11,QCR10_HUMAN,Cytochrome b-c1 complex subunit 10
O43399,0.35648202333860013,-0.32787500368910727,1.0408390503663076,19.917703856837896,1.0539757330437172,-4.6007508285242995,0.2984480493485853,0.9523995478429733,0,0,0.6498305843227737,0,Training_CRE,TPD52L2,TPD54_HUMAN,Tumor protein D54
Q05707,1.466337786379949,0.5245535171713026,2.408122055588595,19.065918577584736,3.151845735164931,-3.677357900044126,0.003159462204418526,0.9158559636931725,1,0,2.1556999041400855e-4,1,Training_CRE,COL14A1,COEA1_HUMAN,Collagen alpha-1(XIV) chain
P15374,0.007835437777174548,-0.3667022927776498,0.3823731683319989,20.058247114341135,0.04232952548430569,-4.743197789504195,0.9664542507220397,0.9976301942937184,0,0,0.999732680284329,0,Training_CRE,UCHL3,UCHL3_HUMAN,Ubiquitin carboxyl-terminal hydrolase isozyme L3
P45954,-0.17161144561465136,-0.6862235543310695,0.3430006631017668,19.982151078517646,-0.6747485460340663,-4.684098586279567,0.5038578717281577,0.966088170901145,-0,-0,0.8890222977827985,0,Training_CRE,ACADSB,ACDSB_HUMAN,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial"
P46782,-0.09643000147354641,-0.6202305681124792,0.4273705651653864,20.02452352800171,-0.3724962611996593,-4.725221786114994,0.7115612265317919,0.9731975040434815,-0,-0,0.9677180228677676,0,Training_CRE,RPS5,RS5_HUMAN,40S ribosomal protein S5
