gene,logFC_Cancer_vs_Healthy,logFC_Training_CR,pi_score_CvH,pi_score_TR,significance,quadrant,imputed
LPCAT3,-1.5512,0.8921,5.6e-5,0.054211,Sig Cancer only,Discordant (Cancer Down / Training Up),TRUE
OGN,2.032,0.4053,0,0.593155,Sig Cancer only,Concordant Up,TRUE
CFI,2.346,0.0898,0,0.977933,Sig Cancer only,Concordant Up,TRUE
RBP4,2.2028,-0.2286,0,0.839729,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
SOD3,1.8938,-0.5363,0,0.293215,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
SPARC,2.4212,0.0059,0,0.999902,Sig Cancer only,Concordant Up,TRUE
TTR,2.4176,0.0042,0,0.999962,Sig Cancer only,Concordant Up,FALSE
IGLV1-40,2.3728,0.0367,0,0.997226,Sig Cancer only,Concordant Up,TRUE
STOM,2.2901,-0.1033,0,0.973166,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
CAV1,1.9824,-0.4038,0,0.654732,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
TUBA1C,2.1743,-0.2063,8.93e-4,0.896578,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
CD81,1.8957,-0.4849,0,0.448671,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
HPR,2.0227,0.3304,1.7e-5,0.74597,Sig Cancer only,Concordant Up,TRUE
YAP1,1.996,-0.3546,0,0.721971,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
TMOD3,1.8701,0.4587,7.5e-4,0.407922,Sig Cancer only,Concordant Up,TRUE
ARPC5,2.273,0.0398,0,0.995694,Sig Cancer only,Concordant Up,TRUE
AOX1,1.5416,-0.7683,0.003554,0.225965,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
FBN1,2.0182,-0.288,0,0.805904,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
ADH1B,1.6549,-0.6434,5e-5,0.273923,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
S100A11,2.261,-0.0281,0,0.998303,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
CARHSP1,1.7509,-0.5346,0.027281,0.408595,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
SERPINF2,2.1775,0.1005,0,0.970668,Sig Cancer only,Concordant Up,FALSE
ACADL,1.4818,-0.7919,1.18e-4,0.079643,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
SERPINF1,2.0636,0.209,0,0.865218,Sig Cancer only,Concordant Up,FALSE
AKR1C2,1.7661,-0.4958,8e-6,0.431936,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
ASPN,1.5927,0.661,1.18e-4,0.24196,Sig Cancer only,Concordant Up,TRUE
CA2,1.8365,-0.412,0,0.545252,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
C1S,2.1102,0.1306,1.5e-5,0.959947,Sig Cancer only,Concordant Up,TRUE
PRDX2,1.9827,-0.2579,0,0.837871,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
CRIP1,1.8565,-0.3729,3.33e-4,0.666235,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
CD9,1.9758,-0.245,0,0.843162,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
EPB41,2.0668,-0.1496,0,0.939545,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
EHD2,1.8419,-0.3734,0,0.652665,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
PLIN4,1.5008,-0.7072,9e-5,0.14407,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
BGN,1.6417,0.536,4.2e-5,0.373066,Sig Cancer only,Concordant Up,TRUE
CAVIN2,1.6663,-0.5013,0,0.343462,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
MYO6,-1.5562,0.6011,0,0.128912,Sig Cancer only,Discordant (Cancer Down / Training Up),FALSE
DCN,2.0651,0.0904,0,0.984885,Sig Cancer only,Concordant Up,FALSE
FBLN1,1.9805,0.1578,0,0.912312,Sig Cancer only,Concordant Up,FALSE
BPGM,2.0346,-0.0924,0,0.975696,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
SH3BGRL,1.8844,0.2206,0,0.843291,Sig Cancer only,Concordant Up,FALSE
LUM,1.9945,0.1074,0,0.974322,Sig Cancer only,Concordant Up,FALSE
SPTB,1.9989,-0.102,0,0.974017,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
NDRG1,1.9326,-0.1659,3e-6,0.904051,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
CYBRD1,1.938,-0.1449,1.6e-5,0.95192,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
FSCN1,1.5064,0.5673,0,0.126129,Sig Cancer only,Concordant Up,FALSE
ANXA2,1.9845,-0.0797,0,0.98653,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
DMTN,1.7794,-0.2815,0.002982,0.812803,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
CLEC3B,1.804,0.2565,0,0.792156,Sig Cancer only,Concordant Up,FALSE
CSTA,1.3563,-0.7019,0.023531,0.155087,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
CAPG,1.6286,0.4283,0.001236,0.636403,Sig Cancer only,Concordant Up,TRUE
CAVIN1,1.5756,-0.4713,1.2e-5,0.457505,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
CORO1C,1.9121,0.1196,2.1e-5,0.964049,Sig Cancer only,Concordant Up,TRUE
FBXO7,1.721,0.3001,0,0.690643,Sig Cancer only,Concordant Up,TRUE
LRG1,1.9173,0.1007,0,0.972653,Sig Cancer only,Concordant Up,FALSE
ACLY,1.8193,0.1987,0.006331,0.891022,Sig Cancer only,Concordant Up,TRUE
CSRP1,1.8107,-0.2072,0,0.842939,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
ACAT2,1.6327,-0.361,0,0.582555,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
MYL3,-1.3419,0.6399,0.009189,0.355971,Sig Cancer only,Discordant (Cancer Down / Training Up),FALSE
COL6A1,1.9144,0.0654,4e-6,0.992057,Sig Cancer only,Concordant Up,TRUE
MFAP4,1.9044,-0.0436,2.86e-4,0.996637,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
ALAD,1.8664,-0.0523,0,0.993086,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
GLIPR2,1.8977,0.0205,2e-6,0.999095,Sig Cancer only,Concordant Up,TRUE
MYH2,-1.149,0.7593,0.028701,0.180176,Sig Cancer only,Discordant (Cancer Down / Training Up),TRUE
APOD,1.7503,0.1572,0,0.936703,Sig Cancer only,Concordant Up,FALSE
SFXN3,1.8156,0.0849,0,0.96542,Sig Cancer only,Concordant Up,TRUE
LCP1,1.865,0.0268,0,0.99841,Sig Cancer only,Concordant Up,FALSE
AZGP1,1.8104,-0.0809,0,0.980654,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
CAV2,1.7101,-0.1806,1e-5,0.936366,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
SORBS1,1.4214,-0.4686,5.74e-4,0.495327,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
CNN1,1.6491,0.2227,0.002268,0.873846,Sig Cancer only,Concordant Up,TRUE
SH3BGRL3,1.6147,0.2544,0,0.773685,Sig Cancer only,Concordant Up,TRUE
GPX3,1.6429,-0.2252,0,0.818065,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
ACTN4,1.5778,0.2898,4e-6,0.761466,Sig Cancer only,Concordant Up,FALSE
EFEMP1,1.7278,0.1319,0,0.947176,Sig Cancer only,Concordant Up,TRUE
DYNC1LI2,1.442,-0.4137,2.9e-5,0.463898,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
SDHC,-1.6808,0.1731,0,0.913722,Sig Cancer only,Discordant (Cancer Down / Training Up),TRUE
ACACA,-1.3973,0.4522,2.01e-4,0.487984,Sig Cancer only,Discordant (Cancer Down / Training Up),FALSE
MYH10,1.7569,-0.0841,6.99e-4,0.974709,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
LASP1,1.8155,-0.0252,0,0.998336,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
B2M,1.6187,-0.2208,0,0.851384,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
GGT5,1.3687,-0.4701,1.26e-4,0.178506,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
RAB8A,1.7692,-0.067,3.7e-5,0.988146,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
F13A1,1.5278,0.3069,4e-6,0.716273,Sig Cancer only,Concordant Up,FALSE
CD36,1.4077,-0.4262,3.2e-4,0.558174,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
COL6A3,1.2814,0.5486,0.00679,0.429459,Sig Cancer only,Concordant Up,FALSE
ADD1,1.7863,0.0336,0,0.996534,Sig Cancer only,Concordant Up,TRUE
KLKB1,1.7147,0.0996,0.005424,0.977115,Sig Cancer only,Concordant Up,TRUE
TPM4,1.4611,0.3474,1e-6,0.585931,Sig Cancer only,Concordant Up,FALSE
CALD1,1.5413,0.2639,9e-6,0.774702,Sig Cancer only,Concordant Up,TRUE
CD163,1.4738,-0.3262,0.00434,0.69017,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
PEA15,1.7742,-0.023,0,0.998572,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
MARCHF5,-1.0541,0.7399,8.55e-4,0.067321,Sig Cancer only,Discordant (Cancer Down / Training Up),TRUE
S100A10,1.6817,0.1028,3e-6,0.974742,Sig Cancer only,Concordant Up,FALSE
BLVRB,1.5328,-0.2469,1e-6,0.802701,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
DDAH2,1.6379,-0.136,0,0.943383,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
LGALS3BP,1.6092,0.1636,0,0.913138,Sig Cancer only,Concordant Up,TRUE
AHNAK,1.5525,-0.2174,2.2e-5,0.876917,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
ISCA2,-1.0264,0.7409,0.008289,0.145364,Sig Cancer only,Discordant (Cancer Down / Training Up),TRUE
PTBP1,1.6525,0.1128,1e-6,0.964611,Sig Cancer only,Concordant Up,TRUE
TUBB6,1.6903,-0.0713,0,0.985871,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
CD34,1.6965,0.0495,9e-5,0.991168,Sig Cancer only,Concordant Up,TRUE
AKAP12,1.5801,0.1602,0,0.915577,Sig Cancer only,Concordant Up,FALSE
LTF,1.5756,-0.1644,0.025846,0.923495,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
HPRT1,1.5725,-0.166,0,0.896256,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
TYMP,1.5536,-0.1835,2e-6,0.897565,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
CRIP2,1.7102,-0.0145,0,0.99936,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
UROD,1.4918,-0.2193,0,0.783832,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
HEBP1,1.4893,-0.2205,2e-6,0.839301,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
ADPRH,-1.5648,-0.1431,2e-6,0.940291,Sig Cancer only,Concordant Down,TRUE
VAT1,1.5897,0.1175,0,0.958142,Sig Cancer only,Concordant Up,FALSE
CTSH,1.4286,0.2784,0.022829,0.791628,Sig Cancer only,Concordant Up,TRUE
C8G,1.4661,0.2387,3e-6,0.803423,Sig Cancer only,Concordant Up,TRUE
SPTBN1,1.6712,-0.0302,0,0.997387,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
ADH1C,1.267,-0.4331,3.11e-4,0.52567,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
MRPL38,-0.9434,0.7506,0.031403,0.148094,Sig Cancer only,Discordant (Cancer Down / Training Up),TRUE
MYOZ2,1.664,-0.0217,0.017112,0.99953,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
RAB23,1.2325,0.4527,0.037846,0.676862,Sig Cancer only,Concordant Up,TRUE
ANXA5,1.4694,-0.2119,6.9e-5,0.881257,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
GNAI3,1.635,-0.0427,0,0.992965,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
CYB5A,1.2709,-0.4036,0.003114,0.623228,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
FAH,1.3145,-0.3456,1e-6,0.500201,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
ARRB1,1.5342,-0.1213,8.4e-5,0.962032,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
SRI,1.4093,-0.2437,0,0.757799,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
LGALS1,1.2106,-0.4416,8e-6,0.271401,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
C1R,1.5305,0.1187,0.002823,0.955779,Sig Cancer only,Concordant Up,TRUE
CLIC1,1.6017,0.0462,0,0.992201,Sig Cancer only,Concordant Up,FALSE
ARPC1B,1.6412,-0.0018,0,0.99999,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
AKR1C3,1.5815,0.0596,7e-6,0.991273,Sig Cancer only,Concordant Up,FALSE
CD58,1.4937,-0.1407,9.92e-4,0.942817,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
CTSG,0.9585,0.6752,0.045759,0.167441,Sig Cancer only,Concordant Up,TRUE
DDI2,1.5763,-0.0547,0.003017,0.992936,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
SPTAN1,1.58,-0.0484,0,0.993262,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
GSN,1.5312,0.0862,1e-6,0.978199,Sig Cancer only,Concordant Up,FALSE
ACTB,1.5433,0.0682,2.38e-4,0.99067,Sig Cancer only,Concordant Up,FALSE
EHD1,1.3118,-0.2902,2.3e-5,0.697231,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
SMTNL1,-1.1475,-0.4392,2.5e-4,0.355842,Sig Cancer only,Concordant Down,TRUE
TMEM256,1.3069,-0.2795,6e-6,0.630926,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
FAM162A,-1.0706,0.5144,5.12e-4,0.192084,Sig Cancer only,Discordant (Cancer Down / Training Up),FALSE
SELENBP1,1.1109,-0.4736,1.85e-4,0.247819,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
CNN3,1.3693,0.2075,7.55e-4,0.879105,Sig Cancer only,Concordant Up,TRUE
APMAP,1.4299,-0.1398,3e-6,0.934232,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
SOD1,1.0931,-0.4737,3e-6,0.113759,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
SLC25A6,-1.1067,0.4577,0.002922,0.410238,Sig Cancer only,Discordant (Cancer Down / Training Up),FALSE
C2,1.4765,0.0748,0.013117,0.985518,Sig Cancer only,Concordant Up,TRUE
MYO1C,1.3455,-0.2032,4.4e-5,0.866431,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
MARCKS,1.4792,0.0684,0,0.982617,Sig Cancer only,Concordant Up,TRUE
MUSTN1,1.1073,0.4383,0.00998,0.526247,Sig Cancer only,Concordant Up,TRUE
CNN2,1.4793,0.0616,5.75e-4,0.990438,Sig Cancer only,Concordant Up,TRUE
AP1B1,0.8687,0.6702,0.022886,0.071293,Sig Cancer only,Concordant Up,TRUE
ARHGAP1,1.2939,0.2449,0,0.702591,Sig Cancer only,Concordant Up,FALSE
PAFAH1B2,1.0035,-0.5305,1.34e-4,0.074786,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
HNRNPA3,1.0353,-0.4951,0.005974,0.328583,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
GNAQ,0.9578,-0.565,0.029676,0.300463,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
G6PD,1.2431,-0.2761,0.005176,0.728162,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
TAGLN2,1.4352,0.0834,0,0.974954,Sig Cancer only,Concordant Up,FALSE
MGLL,1.3854,-0.1179,4.2e-5,0.962102,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
CYB5B,-1.4561,0.038,0,0.99398,Sig Cancer only,Discordant (Cancer Down / Training Up),FALSE
PTGDS,1.3769,-0.1143,0.014209,0.967219,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
NUBP2,0.8569,0.6268,0.016709,0.156383,Sig Cancer only,Concordant Up,TRUE
TMOD1,1.136,0.3468,0.001163,0.613658,Sig Cancer only,Concordant Up,TRUE
C19orf12,-0.8495,0.6319,0.013117,0.108707,Sig Cancer only,Discordant (Cancer Down / Training Up),TRUE
PGD,1.2436,-0.2356,1.4e-5,0.770137,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
MT-ND4,-1.2144,0.2644,0.003221,0.832502,Sig Cancer only,Discordant (Cancer Down / Training Up),TRUE
SLC25A11,-1.0748,0.4008,0.002774,0.49635,Sig Cancer only,Discordant (Cancer Down / Training Up),FALSE
PGM2,1.3576,0.1134,1e-6,0.945117,Sig Cancer only,Concordant Up,TRUE
NDUFB5,-0.9255,0.5399,0.017195,0.251539,Sig Cancer only,Discordant (Cancer Down / Training Up),TRUE
GMPR2,0.985,-0.4798,0.022068,0.454785,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
PRXL2A,0.8981,-0.5614,0.039957,0.257798,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
MRPL49,-1.0582,0.3961,0.00138,0.467689,Sig Cancer only,Discordant (Cancer Down / Training Up),TRUE
BZW2,-1.0007,0.4497,0.010834,0.434829,Sig Cancer only,Discordant (Cancer Down / Training Up),TRUE
PPIA,1.2303,-0.2102,1.51e-4,0.846412,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
TNS1,0.9965,-0.4359,6.29e-4,0.279571,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
FBP1,-0.9042,0.5248,0.022148,0.272509,Sig Cancer only,Discordant (Cancer Down / Training Up),TRUE
CCS,1.1724,-0.2365,1.1e-4,0.782699,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
ASAH1,0.7763,-0.6279,0.033136,0.067451,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
LAMB2,1.3049,0.0973,0.002252,0.980061,Sig Cancer only,Concordant Up,TRUE
NDUFB4,-0.8572,0.5427,0.044469,0.258903,Sig Cancer only,Discordant (Cancer Down / Training Up),FALSE
SLC25A46,-1.0768,0.3196,8.54e-4,0.728336,Sig Cancer only,Discordant (Cancer Down / Training Up),TRUE
GCLC,1.1953,-0.1969,3.7e-5,0.840129,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
GNAI1,1.3276,-0.0637,0.007236,0.99146,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
UQCRQ,-0.8458,0.5402,0.036312,0.230497,Sig Cancer only,Discordant (Cancer Down / Training Up),FALSE
TNXB,1.108,0.2778,0.010724,0.769596,Sig Cancer only,Concordant Up,TRUE
ALYREF,0.9513,-0.4332,0.029125,0.568915,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
LGALS3,1.3119,-0.0723,1.74e-4,0.985544,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
EPB41L2,1.262,-0.1217,6e-6,0.94047,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
AP3B1,1.2749,-0.1084,0.007242,0.974175,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
FLNA,1.3649,0.0013,2e-6,0.999995,Sig Cancer only,Concordant Up,FALSE
CAP1,1.3253,0.0408,1e-6,0.99395,Sig Cancer only,Concordant Up,FALSE
TSFM,-0.8886,0.4763,0.008236,0.323899,Sig Cancer only,Discordant (Cancer Down / Training Up),TRUE
SULT1A1,1.2993,0.0564,3.4e-4,0.991027,Sig Cancer only,Concordant Up,TRUE
NDUFA4,-1.1694,0.1856,2e-6,0.815676,Sig Cancer only,Discordant (Cancer Down / Training Up),FALSE
GUK1,1.135,-0.2127,2.65e-4,0.815198,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
RHOG,1.1348,-0.211,0.002085,0.872346,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
MT-ND3,-1.0523,0.2852,0.025473,0.803439,Sig Cancer only,Discordant (Cancer Down / Training Up),TRUE
LAMC1,1.2267,-0.1088,0.003167,0.972941,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
CORO1B,1.3115,0.0232,0.003466,0.998659,Sig Cancer only,Concordant Up,TRUE
LYZ,1.1953,-0.1393,7.03e-4,0.927686,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
STEAP4,0.9407,0.3874,0.00189,0.586042,Sig Cancer only,Concordant Up,TRUE
TGFBI,1.2071,0.119,0.001948,0.962812,Sig Cancer only,Concordant Up,TRUE
AGFG1,1.1653,-0.1606,0.014345,0.940492,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
STBD1,-0.9907,0.3318,0.001747,0.560739,Sig Cancer only,Discordant (Cancer Down / Training Up),FALSE
TLN1,1.2152,-0.1065,6e-6,0.951538,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
GNB1,1.0575,-0.2479,2.68e-4,0.727192,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
PLS3,1.0967,0.2043,4.24e-4,0.835895,Sig Cancer only,Concordant Up,FALSE
SEPTIN10,0.841,-0.4568,0.01262,0.3892,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
MPP1,1.1717,0.1241,2.85e-4,0.949084,Sig Cancer only,Concordant Up,TRUE
SORD,0.7785,-0.5166,0.005692,0.091436,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
PPIB,1.0554,0.2379,6.01e-4,0.767078,Sig Cancer only,Concordant Up,FALSE
EIF4B,0.92490000000000006,-0.3664,0.002973,0.448857,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
CTTN,1.148,-0.1433,5e-6,0.89677,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
SLC16A1,-0.8412,0.4495,0.024189,0.3453,Sig Cancer only,Discordant (Cancer Down / Training Up),FALSE
PICALM,1.1145,0.176,0.001185,0.890383,Sig Cancer only,Concordant Up,TRUE
PFKM,-0.8176,0.4694,0.047699,0.352947,Sig Cancer only,Discordant (Cancer Down / Training Up),FALSE
CST3,1.2116,0.074,3.53e-4,0.984038,Sig Cancer only,Concordant Up,TRUE
MTM1,-0.9544,0.3303,0.003128,0.634484,Sig Cancer only,Discordant (Cancer Down / Training Up),TRUE
MYL9,0.8358,0.4446,0.022322,0.324498,Sig Cancer only,Concordant Up,TRUE
GYPC,1.0567,0.2169,0.002226,0.833193,Sig Cancer only,Concordant Up,TRUE
RAP1B,1.2324,-0.031,7e-5,0.996963,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
IQGAP1,0.8654,0.3972,0.007496,0.383758,Sig Cancer only,Concordant Up,FALSE
ZBTB9,-0.8871,0.3736,0.018126,0.527174,Sig Cancer only,Discordant (Cancer Down / Training Up),TRUE
CSPG4,0.9835,-0.2762,0.014072,0.719937,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
ACYP2,-0.9052,0.3523,0.025924,0.610948,Sig Cancer only,Discordant (Cancer Down / Training Up),FALSE
STX4,-0.7637,-0.491,0.012028,0.321599,Sig Cancer only,Concordant Down,TRUE
CTNNA1,0.7555,-0.4958,0.012092,0.138357,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
MSN,1.1853,-0.0605,3.3e-5,0.986309,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
GPD1,0.8018,-0.4386,0.005384,0.208704,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
AP2A2,1.0648,0.1752,9.06e-4,0.865351,Sig Cancer only,Concordant Up,TRUE
HDLBP,1.1422,-0.0911,1.51e-4,0.969782,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
HINT3,-0.9916,0.2391,3.8e-4,0.726385,Sig Cancer only,Discordant (Cancer Down / Training Up),TRUE
PTRHD1,-0.9544,0.2741,0.007227,0.743133,Sig Cancer only,Discordant (Cancer Down / Training Up),TRUE
ALDH5A1,-0.8781,0.3454,0.007267,0.514504,Sig Cancer only,Discordant (Cancer Down / Training Up),FALSE
GNAI2,1.2127,0.0083,6.2e-5,0.999782,Sig Cancer only,Concordant Up,FALSE
NID1,1.1605,0.0592,0.004146,0.99119,Sig Cancer only,Concordant Up,TRUE
ARFIP1,0.9706,-0.2484,0.003106,0.807815,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
EPS15,1.0897,-0.1223,0.024646,0.935997,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
PLN,-1.0984,-0.1128,8.54e-4,0.958149,Sig Cancer only,Concordant Down,TRUE
DHRS7C,-0.9019,0.3085,0.005186,0.608387,Sig Cancer only,Discordant (Cancer Down / Training Up),TRUE
ANXA4,0.9351,0.2734,0.001103,0.640359,Sig Cancer only,Concordant Up,FALSE
COQ3,-1.1001,0.1071,0.004239,0.967841,Sig Cancer only,Discordant (Cancer Down / Training Up),TRUE
FLOT2,0.951,-0.254,1.85e-4,0.638651,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
RPL30,-0.689,0.5141,0.014975,0.065741,Sig Cancer only,Discordant (Cancer Down / Training Up),FALSE
MANF,0.8772,0.3212,0.041323,0.693648,Sig Cancer only,Concordant Up,TRUE
ITGA1,1.0365,-0.1593,0.003466,0.908789,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
ESYT1,0.8911,-0.3036,0.007674,0.626526,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
CSRP3,-0.7833,0.4071,0.013701,0.322089,Sig Cancer only,Discordant (Cancer Down / Training Up),TRUE
ACAD8,-0.9891,-0.1988,0.002981,0.84934,Sig Cancer only,Concordant Down,TRUE
ATP5F1D,-0.7826,0.3994,0.01254,0.329505,Sig Cancer only,Discordant (Cancer Down / Training Up),FALSE
ACSL3,-0.8823,0.297,0.001375,0.547393,Sig Cancer only,Discordant (Cancer Down / Training Up),TRUE
CALM1,0.8935,-0.2817,0.011972,0.699345,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
HNRNPA2B1,1.0095,-0.1648,5.1e-5,0.849908,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
VWF,0.79,-0.3841,0.048051,0.459135,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
ATP6V1H,0.9892,-0.1844,1.23e-4,0.82239,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
ANK3,-1.0456,0.1259,7e-6,0.923627,Sig Cancer only,Discordant (Cancer Down / Training Up),TRUE
RRAS,0.818,-0.352,0.008627,0.451721,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
FBLN2,1.0985,-0.0705,4.4e-5,0.978738,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
RAB1A,1.1343,-0.0309,1e-6,0.995557,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
MT-ATP8,-0.8766,0.2819,0.045676,0.767254,Sig Cancer only,Discordant (Cancer Down / Training Up),TRUE
PSAP,0.7475,-0.4081,0.040684,0.380961,Sig Cancer only,Discordant (Cancer Up / Training Down),FALSE
ARHGDIB,1.0179,-0.1358,0.009937,0.94401,Sig Cancer only,Discordant (Cancer Up / Training Down),TRUE
KCTD12,1.0288,0.1237,9.8e-5,0.927965,Sig Cancer only,Concordant Up,TRUE
