gene,logFC_Cancer_vs_Healthy,logFC_Training_CR,pi_score_CvH,pi_score_TR,significance,quadrant,imputed
NDUFS8,-0.6441,0.2288,0.178765,0.822316,NS,Discordant (Cancer Down / Training Up),TRUE
CAPZA1,0.6792,0.1918,0.084355,0.850897,NS,Concordant Up,FALSE
TIMM44,-0.5581,0.3127,0.206088,0.597321,NS,Discordant (Cancer Down / Training Up),TRUE
DARS2,0.2635,0.6033,0.737869,0.082451,NS,Concordant Up,TRUE
MAPK14,-0.5698,0.2961,0.118789,0.603799,NS,Discordant (Cancer Down / Training Up),TRUE
EIF2B3,-0.516,0.3467,0.117304,0.392122,NS,Discordant (Cancer Down / Training Up),TRUE
PLIN5,-0.6612,0.1997,0.154164,0.868675,NS,Discordant (Cancer Down / Training Up),TRUE
MYL6,0.834,-0.0264,0.067572,0.998223,NS,Discordant (Cancer Up / Training Down),FALSE
UNC45B,-0.583,0.2769,0.111277,0.622428,NS,Discordant (Cancer Down / Training Up),TRUE
SH3BGR,-0.6881,-0.1714,0.090834,0.888291,NS,Concordant Down,TRUE
TIMM8A,-0.6464,0.2129,0.179552,0.854178,NS,Discordant (Cancer Down / Training Up),TRUE
HSPB3,-0.5852,-0.2736,0.100928,0.625539,NS,Concordant Down,TRUE
TNNI2,0.4646,0.3928,0.639924,0.678876,NS,Concordant Up,TRUE
SLMAP,-0.5011,-0.3552,0.158767,0.357374,NS,Concordant Down,TRUE
ALDH1A1,0.5346,-0.3216,0.169945,0.505771,NS,Discordant (Cancer Up / Training Down),FALSE
BIN1,-0.6297,0.226,0.082772,0.756636,NS,Discordant (Cancer Down / Training Up),FALSE
MVP,0.5733,0.2819,0.233408,0.701902,NS,Concordant Up,TRUE
PPIF,-0.6073,0.2473,0.226287,0.791395,NS,Discordant (Cancer Down / Training Up),FALSE
PDHA1,-0.6177,0.2358,0.062931,0.702435,NS,Discordant (Cancer Down / Training Up),FALSE
MXRA7,0.7736,-0.0786,0.066526,0.982149,NS,Discordant (Cancer Up / Training Down),TRUE
FAM120A,-0.3675,0.4828,0.588098,0.292011,NS,Discordant (Cancer Down / Training Up),TRUE
STARD10,0.2158,-0.6344,0.885408,0.288712,NS,Discordant (Cancer Up / Training Down),TRUE
DBI,0.5361,-0.312,0.063308,0.380239,NS,Discordant (Cancer Up / Training Down),FALSE
SUCLA2,-0.5866,0.2581,0.08759,0.645431,NS,Discordant (Cancer Down / Training Up),FALSE
HSPH1,0.2645,0.5796,0.773384,0.306598,NS,Concordant Up,TRUE
