gene,logFC_Cancer_vs_Healthy,logFC_Training_CR,pi_score_CvH,pi_score_TR,significance,quadrant,imputed
TTC38,0.6439,0.1003,0.174573,0.972065,NS,Concordant Up,TRUE
ATL2,-0.4591,-0.2831,0.349548,0.670386,NS,Concordant Down,TRUE
ACY1,-0.4881,0.2539,0.250125,0.683664,NS,Discordant (Cancer Down / TR Up),FALSE
CRADD,0.2034,0.5374,0.916616,0.38389,NS,Concordant Up,TRUE
ATP2A2,-0.6776,-0.0594,0.060504,0.985984,NS,Concordant Down,FALSE
CASQ2,-0.6502,-0.0865,0.062565,0.96704,NS,Concordant Down,TRUE
ABCF3,0.1128,0.6236,0.963023,0.246991,NS,Concordant Up,TRUE
MAP1S,-0.5368,0.1974,0.062196,0.757034,NS,Discordant (Cancer Down / TR Up),TRUE
HSDL1,-0.2082,-0.5253,0.831997,0.201108,NS,Concordant Down,TRUE
PPM1B,-0.5017,-0.231,0.183111,0.748585,NS,Concordant Down,TRUE
HNRNPM,0.3573,0.3753,0.486639,0.32946,NS,Concordant Up,TRUE
ETHE1,-0.4097,0.3201,0.28922,0.433688,NS,Discordant (Cancer Down / TR Up),TRUE
HSCB,0.6998,0.0299,0.302795,0.998497,NS,Concordant Up,TRUE
EML4,-0.2647,0.4635,0.878123,0.640128,NS,Discordant (Cancer Down / TR Up),TRUE
CLIP1,-0.5552,-0.1726,0.073726,0.814304,NS,Concordant Down,FALSE
MRPL24,0.0674,0.6597,0.989877,0.259577,NS,Concordant Up,TRUE
SF3B2,0.3783,-0.3485,0.448717,0.56491,NS,Discordant (Cancer Up / TR Down),TRUE
ACACB,0.4717,0.2529,0.32267,0.754571,NS,Concordant Up,TRUE
MPST,0.4997,-0.2226,0.057449,0.594119,NS,Discordant (Cancer Up / TR Down),FALSE
UFD1,-0.4124,0.3094,0.321571,0.489313,NS,Discordant (Cancer Down / TR Up),TRUE
PNPT1,-0.5158,-0.2055,0.199451,0.836262,NS,Concordant Down,TRUE
SESN1,-0.2311,-0.4893,0.724373,0.0943,NS,Concordant Down,TRUE
NUCB1,0.4502,-0.2695,0.31525,0.66492,NS,Discordant (Cancer Up / TR Down),TRUE
TUBB2A,0.6669,-0.0525,0.127577,0.991104,NS,Discordant (Cancer Up / TR Down),FALSE
ATP2A3,-0.5583,-0.1598,0.1482,0.879302,NS,Concordant Down,TRUE
TIMM44,-0.4846,0.2325,0.325915,0.772684,NS,Discordant (Cancer Down / TR Up),TRUE
COX5A,-0.3642,0.3527,0.413107,0.337172,NS,Discordant (Cancer Down / TR Up),FALSE
SARS2,-0.5009,-0.2154,0.194572,0.80461,NS,Concordant Down,TRUE
FAHD2A,-0.4562,0.2598,0.32149,0.687798,NS,Discordant (Cancer Down / TR Up),TRUE
CBR3,0.5429,0.1724,0.30012,0.861967,NS,Concordant Up,TRUE
NT5C3A,-0.4641,-0.2506,0.277914,0.681942,NS,Concordant Down,TRUE
PDHA1,-0.5403,0.1743,0.118604,0.829613,NS,Discordant (Cancer Down / TR Up),FALSE
RNF7,-0.694,0.0204,0.095618,0.998761,NS,Discordant (Cancer Down / TR Up),TRUE
LONP1,-0.4607,0.2525,0.142112,0.551779,NS,Discordant (Cancer Down / TR Up),FALSE
DPYSL3,-0.4181,0.2936,0.352926,0.555954,NS,Discordant (Cancer Down / TR Up),FALSE
DRG1,-0.1196,0.5921,0.965886,0.229827,NS,Discordant (Cancer Down / TR Up),TRUE
COX20,0.5185,-0.1921,0.479977,0.930356,NS,Discordant (Cancer Up / TR Down),TRUE
HK2,-0.3432,0.3673,0.673708,0.654397,NS,Discordant (Cancer Down / TR Up),TRUE
CPT1B,-0.6508,0.0589,0.050341,0.984755,NS,Discordant (Cancer Down / TR Up),TRUE
STX12,-0.4839,0.2255,0.679892,0.882026,NS,Discordant (Cancer Down / TR Up),TRUE
PMPCB,-0.4704,0.2389,0.077466,0.545141,NS,Discordant (Cancer Down / TR Up),TRUE
MYOM3,-0.3994,0.3085,0.75869,0.833022,NS,Discordant (Cancer Down / TR Up),TRUE
MAP2K6,-0.5368,0.1707,0.111556,0.834102,NS,Discordant (Cancer Down / TR Up),TRUE
NUDT9,-0.3971,0.309,0.451551,0.632111,NS,Discordant (Cancer Down / TR Up),TRUE
ATP1A1,-0.5664,0.1392,0.062469,0.880869,NS,Discordant (Cancer Down / TR Up),FALSE
PYGM,-0.4293,0.276,0.396647,0.654406,NS,Discordant (Cancer Down / TR Up),FALSE
SYNPO2,0.24,0.4641,0.853875,0.391065,NS,Concordant Up,FALSE
SCO1,-0.3169,0.3846,0.667546,0.462864,NS,Discordant (Cancer Down / TR Up),TRUE
MYOF,-0.4425,0.2583,0.14245,0.500879,NS,Discordant (Cancer Down / TR Up),FALSE
OXCT1,-0.6083,-0.0919,0.222323,0.973425,NS,Concordant Down,FALSE
AHSA1,0.4287,0.2713,0.219862,0.517727,NS,Concordant Up,FALSE
MAPRE3,-0.6058,-0.0941,0.051162,0.955231,NS,Concordant Down,TRUE
C11orf68,-0.2865,0.4132,0.541123,0.168843,NS,Discordant (Cancer Down / TR Up),TRUE
TXNRD2,-0.3091,-0.3896,0.741346,0.573781,NS,Concordant Down,TRUE
FITM1,-0.4223,-0.2758,0.518989,0.79306,NS,Concordant Down,TRUE
BIN1,-0.5382,0.1595,0.159904,0.873852,NS,Discordant (Cancer Down / TR Up),FALSE
RRBP1,0.4313,-0.2645,0.85453,0.871613,NS,Discordant (Cancer Up / TR Down),TRUE
LACTB2,-0.3873,-0.308,0.318964,0.434869,NS,Concordant Down,TRUE
NEB,0.1197,0.5754,0.980496,0.477402,NS,Concordant Up,TRUE
MYOM2,-0.5881,0.1061,0.294252,0.967521,NS,Discordant (Cancer Down / TR Up),TRUE
HNRNPK,0.5214,-0.172,0.059038,0.77693,NS,Discordant (Cancer Up / TR Down),FALSE
SUCLG1,-0.5368,0.1556,0.148339,0.87566600000000006,NS,Discordant (Cancer Down / TR Up),FALSE
VPS37C,-0.5734,-0.1182,0.235181,0.968707,NS,Concordant Down,TRUE
EIF3K,-0.659,-0.0319,0.145144,0.996898,NS,Concordant Down,TRUE
SUPV3L1,-0.6294,-0.0609,0.067666,0.984685,NS,Concordant Down,TRUE
FHL1,-0.4423,0.247,0.127096,0.518729,NS,Discordant (Cancer Down / TR Up),FALSE
BPHL,0.3734,0.3157,0.72719,0.76272,NS,Concordant Up,TRUE
TMEM43,0.6032,-0.0855,0.095182,0.967233,NS,Discordant (Cancer Up / TR Down),FALSE
TIMM10,0.1239,-0.5631,0.964183,0.307991,NS,Discordant (Cancer Up / TR Down),TRUE
ETFDH,-0.5809,0.1058,0.084774,0.942547,NS,Discordant (Cancer Down / TR Up),FALSE
NDUFS3,-0.3622,0.3241,0.470021,0.465837,NS,Discordant (Cancer Down / TR Up),FALSE
NGLY1,-0.2168,-0.4693,0.832146,0.334814,NS,Concordant Down,TRUE
ME2,-0.3118,0.3742,0.568909,0.31242,NS,Discordant (Cancer Down / TR Up),FALSE
PA2G4,0.4402,-0.2457,0.08701,0.46178399999999997,NS,Discordant (Cancer Up / TR Down),FALSE
MT-ND1,-0.3339,-0.3517,0.751752,0.670349,NS,Concordant Down,TRUE
PFKFB1,0.2622,-0.4234,0.715261,0.310256,NS,Discordant (Cancer Up / TR Down),TRUE
RPIA,0.519,-0.1664,0.124586,0.835632,NS,Discordant (Cancer Up / TR Down),FALSE
RAB5B,-0.2177,-0.4674,0.752775,0.105448,NS,Concordant Down,TRUE
UBE2B,0.3091,-0.3759,0.670836,0.519021,NS,Discordant (Cancer Up / TR Down),TRUE
L2HGDH,-0.5159,0.1675,0.275872,0.888261,NS,Discordant (Cancer Down / TR Up),TRUE
FBLN5,0.2841,0.3992,0.752278,0.51961,NS,Concordant Up,TRUE
BCAP29,-0.5254,0.1571,0.106116,0.858934,NS,Discordant (Cancer Down / TR Up),TRUE
MYOT,-0.4303,0.2497,0.567899,0.81156,NS,Discordant (Cancer Down / TR Up),TRUE
SEC23IP,-0.2032,-0.4767,0.877654,0.460291,NS,Concordant Down,TRUE
RPL11,-0.2776,0.4011,0.662657,0.266561,NS,Discordant (Cancer Down / TR Up),FALSE
METTL26,-0.5326,-0.1461,0.123644,0.884885,NS,Concordant Down,TRUE
USP9X,-0.2886,0.39,0.517722,0.162218,NS,Discordant (Cancer Down / TR Up),TRUE
NIT1,-0.563,0.1156,0.109885,0.932387,NS,Discordant (Cancer Down / TR Up),FALSE
RBMX,0.3081,0.3697,0.696562,0.484427,NS,Concordant Up,TRUE
DLST,-0.4969,0.1804,0.139466,0.797164,NS,Discordant (Cancer Down / TR Up),FALSE
PRKAA1,-0.5476,0.1292,0.28951,0.943433,NS,Discordant (Cancer Down / TR Up),TRUE
RHOA,0.52,-0.1564,0.0639,0.820094,NS,Discordant (Cancer Up / TR Down),FALSE
DHRS7,-0.3399,0.3358,0.292507,0.202324,NS,Discordant (Cancer Down / TR Up),FALSE
FKBP9,0.2717,0.4038,0.855055,0.630164,NS,Concordant Up,TRUE
MT-ATP6,-0.5464,-0.1283,0.201292,0.932645,NS,Concordant Down,TRUE
UBL5,-0.4913,0.1833,0.153528,0.814331,NS,Discordant (Cancer Down / TR Up),TRUE
TXNDC5,0.5708,0.1037,0.226864,0.961934,NS,Concordant Up,TRUE
CASP3,0.4808,0.1937,0.53873,0.919471,NS,Concordant Up,TRUE
HGH1,-0.3496,-0.3247,0.606713,0.654507,NS,Concordant Down,TRUE
AFG3L2,-0.5691,-0.1051,0.187181,0.95694,NS,Concordant Down,TRUE
MAOB,-0.4683,-0.2056,0.077627,0.637267,NS,Concordant Down,FALSE
NDUFV2,-0.4056,0.2681,0.316281,0.573201,NS,Discordant (Cancer Down / TR Up),TRUE
TRAP1,-0.56,0.1135,0.072852,0.924986,NS,Discordant (Cancer Down / TR Up),TRUE
CHDH,-0.2456,-0.4278,0.724646,0.221175,NS,Concordant Down,TRUE
PRPSAP2,0.2604,-0.4126,0.741012,0.33201,NS,Discordant (Cancer Up / TR Down),TRUE
SUCLA2,-0.4926,0.1796,0.171221,0.812805,NS,Discordant (Cancer Down / TR Up),FALSE
NDUFAF4,-0.3312,0.3392,0.68864,0.632951,NS,Discordant (Cancer Down / TR Up),TRUE
SLC16A3,0.4013,-0.2679,0.690683,0.846914,NS,Discordant (Cancer Up / TR Down),TRUE
DBI,0.463,-0.206,0.082964,0.635409,NS,Discordant (Cancer Up / TR Down),FALSE
RANGAP1,0.4663,0.2024,0.378418,0.860887,NS,Concordant Up,TRUE
LDB3,-0.4159,0.2511,0.295936,0.622702,NS,Discordant (Cancer Down / TR Up),TRUE
EIF4G2,-0.0908,-0.5753,0.968804,0.074275,NS,Concordant Down,TRUE
PRKRA,-0.2703,-0.395,0.739613,0.399992,NS,Concordant Down,TRUE
ARPC4,0.3935,0.2708,0.403546,0.613787,NS,Concordant Up,FALSE
MCU,-0.5042,0.1592,0.208896,0.874389,NS,Discordant (Cancer Down / TR Up),TRUE
RAB2B,0.3695,-0.2939,0.493345,0.620884,NS,Discordant (Cancer Up / TR Down),TRUE
LMNB2,-0.3789,0.2842,0.635533,0.775559,NS,Discordant (Cancer Down / TR Up),TRUE
FNTA,-0.3647,0.298,0.422509,0.51373,NS,Discordant (Cancer Down / TR Up),TRUE
TMLHE,-0.2207,-0.4416,0.78622,0.200895,NS,Concordant Down,TRUE
COX7A1,-0.3795,0.2823,0.442363,0.589161,NS,Discordant (Cancer Down / TR Up),FALSE
PPID,-0.499,-0.1604,0.137295,0.85816,NS,Concordant Down,TRUE
EPHX1,0.4171,-0.2422,0.377056,0.704125,NS,Discordant (Cancer Up / TR Down),FALSE
BCKDK,-0.5675,-0.0918,0.302205,0.978251,NS,Concordant Down,TRUE
UQCR11,-0.2132,0.4451,0.851734,0.31778,NS,Discordant (Cancer Down / TR Up),TRUE
PUF60,-0.318,0.3401,0.66915500000000006,0.60821,NS,Discordant (Cancer Down / TR Up),TRUE
DENR,-0.2451,-0.4119,0.717568,0.254324,NS,Concordant Down,TRUE
UQCRB,-0.4626,0.1943,0.241593,0.790589,NS,Discordant (Cancer Down / TR Up),FALSE
GPT2,-0.3054,-0.3511,0.755084,0.657156,NS,Concordant Down,TRUE
CYB5R3,0.47,-0.1864,0.380699,0.864026,NS,Discordant (Cancer Up / TR Down),FALSE
MAP3K20,-0.3081,-0.3477,0.674217,0.504432,NS,Concordant Down,TRUE
FDXR,-0.5272,0.1285,0.28087,0.939728,NS,Discordant (Cancer Down / TR Up),TRUE
DYNLL2,-0.4895,0.1661,0.179059,0.842328,NS,Discordant (Cancer Down / TR Up),FALSE
CHCHD7,-0.5809,-0.0735,0.195617,0.981712,NS,Concordant Down,TRUE
MRPL55,-0.4592,0.1952,0.460749,0.876029,NS,Discordant (Cancer Down / TR Up),TRUE
AAMDC,-0.4348,-0.2186,0.468501,0.819442,NS,Concordant Down,FALSE
JPT2,-0.2382,0.4146,0.650081,0.157075,NS,Discordant (Cancer Down / TR Up),TRUE
PADI2,-0.4117,0.2403,0.250593,0.610417,NS,Discordant (Cancer Down / TR Up),TRUE
OXSM,-0.5451,0.1066,0.126776,0.955621,NS,Discordant (Cancer Down / TR Up),TRUE
AIMP2,-0.541,0.10780000000000001,0.063376,0.924994,NS,Discordant (Cancer Down / TR Up),TRUE
PMVK,0.4062,0.2421,0.313565,0.692661,NS,Concordant Up,TRUE
COX5B,-0.2955,0.3526,0.573512,0.322234,NS,Discordant (Cancer Down / TR Up),FALSE
AGMAT,0.1563,-0.4912,0.951617,0.467376,NS,Discordant (Cancer Up / TR Down),TRUE
NDUFA6,-0.4082,0.2388,0.455393,0.747784,NS,Discordant (Cancer Down / TR Up),FALSE
STIM1,-0.6171,-0.0293,0.056964,0.996866,NS,Concordant Down,TRUE
CUL5,-0.5777,0.0683,0.05423,0.973947,NS,Discordant (Cancer Down / TR Up),FALSE
SURF4,0.6282,-0.0171,0.25654,0.999303,NS,Discordant (Cancer Up / TR Down),TRUE
STAMBP,0.3569,-0.2862,0.563257,0.687578,NS,Discordant (Cancer Up / TR Down),TRUE
HSD17B8,-0.6197,-0.023,0.130808,0.998158,NS,Concordant Down,TRUE
FAM114A2,0.6082,-0.0328,0.057284,0.994959,NS,Discordant (Cancer Up / TR Down),FALSE
RAB11B,0.5846,0.0561,0.086895,0.985277,NS,Concordant Up,FALSE
DNAJB6,0.3877,-0.2508,0.478617,0.766365,NS,Discordant (Cancer Up / TR Down),TRUE
AIMP1,-0.4844,0.1541,0.130261,0.842944,NS,Discordant (Cancer Down / TR Up),TRUE
MYL4,-0.0617,0.5767,0.993239,0.395563,NS,Discordant (Cancer Down / TR Up),TRUE
GSTO1,0.4757,-0.1612,0.212664,0.856099,NS,Discordant (Cancer Up / TR Down),FALSE
TFAM,-0.539,-0.0978,0.188818,0.95949,NS,Concordant Down,TRUE
POFUT1,-0.3512,0.2848,0.650327,0.787904,NS,Discordant (Cancer Down / TR Up),TRUE
SUOX,-0.2911,-0.3448,0.559596,0.32173,NS,Concordant Down,TRUE
USP15,0.5584,-0.0762,0.114597,0.972122,NS,Discordant (Cancer Up / TR Down),FALSE
YWHAQ,0.5347,0.0992,0.054041,0.93273,NS,Concordant Up,FALSE
CHCHD3,-0.385,0.2484,0.431164,0.677794,NS,Discordant (Cancer Down / TR Up),FALSE
NDUFA9,-0.266,0.3668,0.710398,0.379571,NS,Discordant (Cancer Down / TR Up),FALSE
TRMT10C,-0.0782,-0.5541,0.983714,0.32492,NS,Concordant Down,TRUE
MECR,-0.5062,0.1256,0.240459,0.930351,NS,Discordant (Cancer Down / TR Up),TRUE
CBR1,0.4973,0.134,0.094586,0.875025,NS,Concordant Up,FALSE
MTX1,-0.539,-0.0918,0.071322,0.954583,NS,Concordant Down,TRUE
NT5C2,-0.1541,0.4764,0.921847,0.298646,NS,Discordant (Cancer Down / TR Up),TRUE
SQSTM1,-0.5046,0.1231,0.317434,0.953546,NS,Discordant (Cancer Down / TR Up),TRUE
NDUFB6,-0.38,0.2476,0.487032,0.717301,NS,Discordant (Cancer Down / TR Up),TRUE
LMAN2,0.3651,0.2624,0.460515,0.645981,NS,Concordant Up,TRUE
MRI1,0.4747,0.1527,0.334965,0.916335,NS,Concordant Up,TRUE
STOML2,-0.3337,0.2936,0.439894,0.466341,NS,Discordant (Cancer Down / TR Up),TRUE
PRDX6,0.3943,-0.2327,0.292647,0.635793,NS,Discordant (Cancer Up / TR Down),FALSE
MTX2,0.5627,-0.0632,0.353459,0.989863,NS,Discordant (Cancer Up / TR Down),TRUE
COMMD6,0.2629,-0.3618,0.779036,0.552329,NS,Discordant (Cancer Up / TR Down),TRUE
LMCD1,-0.4899,0.1345,0.363114,0.934388,NS,Discordant (Cancer Down / TR Up),FALSE
DCPS,-0.4266,0.1977,0.259822,0.790323,NS,Discordant (Cancer Down / TR Up),TRUE
CYGB,0.5472,0.0754,0.176346,0.977567,NS,Concordant Up,TRUE
STAC3,-0.4061,-0.2161,0.378243,0.769772,NS,Concordant Down,TRUE
ATP5F1C,-0.4469,0.1745,0.213368,0.807803,NS,Discordant (Cancer Down / TR Up),FALSE
TST,-0.4061,-0.2151,0.410684,0.771614,NS,Concordant Down,FALSE
TRIP10,-0.5101,0.1107,0.066677,0.912017,NS,Discordant (Cancer Down / TR Up),TRUE
HSDL2,-0.5632,0.057,0.076868,0.98311,NS,Discordant (Cancer Down / TR Up),FALSE
YBX1,-0.329,0.2908,0.40222,0.407717,NS,Discordant (Cancer Down / TR Up),FALSE
VAMP2,0.4112,-0.2085,0.276667,0.727552,NS,Discordant (Cancer Up / TR Down),TRUE
SRSF11,-0.2288,-0.3907,0.82395,0.482887,NS,Concordant Down,TRUE
LMNA,0.5903,-0.029,0.324863,0.997896,NS,Discordant (Cancer Up / TR Down),FALSE
AHCYL1,-0.4696,0.1495,0.102619,0.827684,NS,Discordant (Cancer Down / TR Up),FALSE
TUBA1B,0.5781,0.0401,0.160019,0.993952,NS,Concordant Up,FALSE
FLOT1,0.5351,-0.0824,0.098266,0.962334,NS,Discordant (Cancer Up / TR Down),FALSE
MMUT,-0.6056,0.0113,0.080653,0.999492,NS,Discordant (Cancer Down / TR Up),TRUE
ECI1,-0.4609,0.1555,0.318112,0.888931,NS,Discordant (Cancer Down / TR Up),FALSE
AGL,-0.4429,0.1734,0.357361,0.861865,NS,Discordant (Cancer Down / TR Up),TRUE
DDX19A,-0.5148,0.1012,0.204827,0.953361,NS,Discordant (Cancer Down / TR Up),FALSE
AP1G1,0.3386,-0.2774,0.635414,0.757714,NS,Discordant (Cancer Up / TR Down),TRUE
AKT1,-0.1222,0.4932,0.954189,0.327482,NS,Discordant (Cancer Down / TR Up),TRUE
SRPRB,-0.5015,0.1137,0.095994,0.920334,NS,Discordant (Cancer Down / TR Up),TRUE
RPL36,-0.5606,0.0544,0.212544,0.989227,NS,Discordant (Cancer Down / TR Up),TRUE
LRPPRC,-0.4428,0.172,0.169405,0.787611,NS,Discordant (Cancer Down / TR Up),FALSE
FXR1,-0.5094,0.1052,0.169697,0.955716,NS,Discordant (Cancer Down / TR Up),TRUE
SNX12,0.2998,-0.3147,0.724385,0.640257,NS,Discordant (Cancer Up / TR Down),TRUE
PSMD7,-0.3013,0.3129,0.464387,0.325618,NS,Discordant (Cancer Down / TR Up),FALSE
GPD1L,-0.4464,-0.1675,0.261215,0.84216,NS,Concordant Down,FALSE
BAX,-0.128,0.4856,0.957798,0.368657,NS,Discordant (Cancer Down / TR Up),TRUE
PANK4,-0.5692,0.0435,0.093946,0.991113,NS,Discordant (Cancer Down / TR Up),FALSE
IDH3A,-0.3862,0.2261,0.314012,0.65709,NS,Discordant (Cancer Down / TR Up),FALSE
MYCBP,0.2828,-0.3289,0.619476,0.501715,NS,Discordant (Cancer Up / TR Down),TRUE
TUBB4B,0.3962,-0.2147,0.201663,0.621374,NS,Discordant (Cancer Up / TR Down),FALSE
MRPS18B,-0.3741,-0.2353,0.539751,0.814374,NS,Concordant Down,TRUE
PGM5,-0.5818,-0.0272,0.127007,0.997073,NS,Concordant Down,FALSE
RUVBL1,0.5365,-0.0716,0.160685,0.975401,NS,Discordant (Cancer Up / TR Down),TRUE
FUNDC2,-0.5819,0.0261,0.085073,0.99694,NS,Discordant (Cancer Down / TR Up),FALSE
STX7,0.5267,0.0808,0.181962,0.97071,NS,Concordant Up,FALSE
PELO,0.1713,-0.4362,0.855562,0.210062,NS,Discordant (Cancer Up / TR Down),TRUE
CHORDC1,0.6006,0.0068,0.139672,0.999854,NS,Concordant Up,TRUE
TPPP3,-0.315,0.2922,0.675394,0.651081,NS,Discordant (Cancer Down / TR Up),FALSE
IBA57,-0.5494,-0.0571,0.246211,0.98993,NS,Concordant Down,TRUE
CAPZB,0.2643,0.341,0.734935,0.478683,NS,Concordant Up,FALSE
GOSR2,-0.4105,0.1946,0.509683,0.869391,NS,Discordant (Cancer Down / TR Up),TRUE
VAPB,-0.3057,0.2992,0.575687,0.500212,NS,Discordant (Cancer Down / TR Up),FALSE
MRPL45,0.1568,-0.4479,0.915182,0.338827,NS,Discordant (Cancer Up / TR Down),TRUE
IMPDH2,-0.3665,-0.2376,0.12016,0.381764,NS,Concordant Down,TRUE
EPHX2,-0.4253,-0.1781,0.457635,0.871155,NS,Concordant Down,TRUE
EPM2A,0.3581,-0.2449,0.467538,0.696011,NS,Discordant (Cancer Up / TR Down),TRUE
PPP2R5D,-0.5496,0.0534,0.05744,0.983806,NS,Discordant (Cancer Down / TR Up),TRUE
UBE2M,-0.4493,0.1536,0.186501,0.844387,NS,Discordant (Cancer Down / TR Up),FALSE
PBXIP1,-0.5113,0.0909,0.068347,0.943111,NS,Discordant (Cancer Down / TR Up),TRUE
RPL37A,0.5556,0.0462,0.186713,0.993053,NS,Concordant Up,TRUE
MRPS36,-0.0558,-0.5452,0.988466,0.101581,NS,Concordant Down,TRUE
PFDN2,-0.5823,0.0185,0.073503,0.998431,NS,Discordant (Cancer Down / TR Up),FALSE
NPEPL1,-0.4136,-0.1861,0.387316,0.840682,NS,Concordant Down,TRUE
MYLK,-0.2715,-0.3273,0.718234,0.509725,NS,Concordant Down,FALSE
CD63,0.572,-0.0267,0.238999,0.997758,NS,Discordant (Cancer Up / TR Down),TRUE
RPS15A,-0.4574,0.141,0.16068,0.865903,NS,Discordant (Cancer Down / TR Up),FALSE
FN3K,0.5536,-0.0448,0.093063,0.990343,NS,Discordant (Cancer Up / TR Down),TRUE
GLUD1,0.415,0.183,0.312066,0.804541,NS,Concordant Up,FALSE
FABP5,0.5922,-0.005,0.085551,0.999895,NS,Discordant (Cancer Up / TR Down),FALSE
HADHA,-0.4833,0.1129,0.058229,0.893075,NS,Discordant (Cancer Down / TR Up),FALSE
CYC1,-0.2772,0.3183,0.667339,0.477014,NS,Discordant (Cancer Down / TR Up),FALSE
SEPTIN2,0.4727,0.1227,0.141293,0.901462,NS,Concordant Up,FALSE
ALDH4A1,-0.4857,0.1095,0.127179,0.923745,NS,Discordant (Cancer Down / TR Up),FALSE
AIFM1,-0.5115,0.0835,0.054243,0.94937,NS,Discordant (Cancer Down / TR Up),FALSE
HSPB7,-0.5204,0.0744,0.095904,0.967836,NS,Discordant (Cancer Down / TR Up),TRUE
CLYBL,0.4832,-0.1113,0.643895,0.978732,NS,Discordant (Cancer Up / TR Down),TRUE
YWHAB,0.5781,-0.0145,0.087919,0.99908,NS,Discordant (Cancer Up / TR Down),FALSE
SPEG,-0.4886,-0.1027,0.177979,0.945857,NS,Concordant Down,TRUE
TOM1,-0.5323,0.0586,0.128537,0.983174,NS,Discordant (Cancer Down / TR Up),FALSE
NT5C1A,-0.3405,-0.2497,0.58092,0.719241,NS,Concordant Down,TRUE
KRAS,0.5142,0.0759,0.194478,0.974684,NS,Concordant Up,TRUE
BCAP31,0.5412,-0.0486,0.196699,0.990894,NS,Discordant (Cancer Up / TR Down),TRUE
STT3B,-0.2537,0.3356,0.862307,0.732924,NS,Discordant (Cancer Down / TR Up),TRUE
VPS4A,-0.5016,-0.0874,0.118028,0.960882,NS,Concordant Down,TRUE
GCSH,-0.4789,0.1101,0.312204,0.949802,NS,Discordant (Cancer Down / TR Up),FALSE
RTN2,-0.414,-0.1749,0.235617,0.787502,NS,Concordant Down,TRUE
ATG7,-0.1554,0.4332,0.902716,0.386428,NS,Discordant (Cancer Down / TR Up),TRUE
EEF1A1,0.5856,-0.0027,0.057727,0.999965,NS,Discordant (Cancer Up / TR Down),FALSE
RRAGC,0.4216,-0.1658,0.422915,0.924555,NS,Discordant (Cancer Up / TR Down),TRUE
TRIM54,-0.3654,0.2219,0.460023,0.738571,NS,Discordant (Cancer Down / TR Up),TRUE
ROMO1,-0.3752,-0.212,0.549123,0.857641,NS,Concordant Down,TRUE
COA6,-0.4932,0.0938,0.336509,0.968009,NS,Discordant (Cancer Down / TR Up),TRUE
SGCG,-0.5456,0.0413,0.158417,0.994183,NS,Discordant (Cancer Down / TR Up),TRUE
MAN2C1,-0.2322,-0.3546,0.761317,0.427271,NS,Concordant Down,TRUE
NAA50,-0.2077,-0.379,0.718687,0.22776,NS,Concordant Down,TRUE
FH,-0.3788,0.2075,0.235857,0.643058,NS,Discordant (Cancer Down / TR Up),FALSE
NFU1,-0.5662,-0.0199,0.10178,0.99838,NS,Concordant Down,TRUE
IAH1,-0.5236,0.0622,0.206766,0.9839,NS,Discordant (Cancer Down / TR Up),FALSE
TNNC1,-0.3586,0.227,0.74391,0.873199,NS,Discordant (Cancer Down / TR Up),TRUE
PPP3CB,-0.3089,-0.2758,0.645734,0.646676,NS,Concordant Down,TRUE
PSMD3,-0.374,0.2091,0.164412,0.562673,NS,Discordant (Cancer Down / TR Up),FALSE
CIRBP,-0.4788,0.1034,0.0678,0.913987,NS,Discordant (Cancer Down / TR Up),FALSE
PSMA2,0.3759,-0.2059,0.382934,0.741315,NS,Discordant (Cancer Up / TR Down),FALSE
RPS14,0.531,0.0503,0.12448,0.987779,NS,Concordant Up,TRUE
ERI3,-0.3467,-0.232,0.44464,0.666405,NS,Concordant Down,TRUE
RAP2B,0.4926,-0.0857,0.313818,0.970712,NS,Discordant (Cancer Up / TR Down),TRUE
PDXP,0.2273,-0.3506,0.837327,0.566196,NS,Discordant (Cancer Up / TR Down),TRUE
MCCC1,-0.5147,-0.0627,0.194359,0.982759,NS,Concordant Down,TRUE
GSTM3,-0.3222,-0.2541,0.639259,0.71556,NS,Concordant Down,FALSE
PFKFB2,-0.4744,-0.1018,0.203238,0.949097,NS,Concordant Down,TRUE
GPS1,-0.5155,0.0603,0.129186,0.981063,NS,Discordant (Cancer Down / TR Up),FALSE
EIF6,0.506,-0.0698,0.056852,0.965242,NS,Discordant (Cancer Up / TR Down),FALSE
PPME1,0.4575,-0.1181,0.14989,0.908355,NS,Discordant (Cancer Up / TR Down),TRUE
IMMT,-0.4048,0.1706,0.355842,0.839082,NS,Discordant (Cancer Down / TR Up),FALSE
DPP7,0.4954,0.0799,0.315354,0.977265,NS,Concordant Up,TRUE
MOGS,-0.1636,0.4116,0.886835,0.266289,NS,Discordant (Cancer Down / TR Up),TRUE
CHMP3,0.2968,-0.2781,0.722891,0.713467,NS,Discordant (Cancer Up / TR Down),TRUE
DNAJA4,-0.3754,0.1987,0.440476,0.788593,NS,Discordant (Cancer Down / TR Up),TRUE
GALM,-0.3813,0.1926,0.411465,0.793996,NS,Discordant (Cancer Down / TR Up),FALSE
ECH1,-0.3719,0.2007,0.332281,0.719498,NS,Discordant (Cancer Down / TR Up),FALSE
OPA1,-0.5513,0.0212,0.112193,0.997972,NS,Discordant (Cancer Down / TR Up),FALSE
MAPKAPK2,-0.4718,-0.1007,0.168661,0.94935,NS,Concordant Down,TRUE
OCIAD1,-0.5263,-0.0459,0.08364,0.98859,NS,Concordant Down,TRUE
