"","uniprot_id","protein","gene","description","Ensembl","CR006_T1","CR006_T2","CR007_T2","CR008_T1","CR008_T2","CR010_T2","CR012_T1","CR012_T2","CR015_T1","CR017_T1","CR017_T2","CR018_T1","CR018_T2","CR022_T1","CR022_T2","CR025_T1","CR025_T2","CR072_T1","CR072_T2","CR149_T1","CR149_T2","CR163_T1","CR163_T2","CR383_T1","CR386_T2","PPS02","PPS20","PPS28","PPS31","PPS32","PPS37","PPS40","PPS41","PPS42","PPS44"
"P48788","P48788","TNNI2_HUMAN","TNNI2","Troponin I, fast skeletal muscle","ENSG00000130598",22.9433138053194,27.8693258570706,23.6826717213155,22.660735016333,22.6110576336386,24.0457746792086,23.4058305987747,25.5152719428429,23.7249729248073,23.9408204621749,25.4533539815662,26.1680726983035,23.2047230588613,24.4905900914844,23.7942989965066,24.3570944330843,27.4074299632375,24.6817208425412,23.6448349970548,23.9523282518631,23.3608394982578,23.6517105750248,23.358260077131,24.1959897744727,23.9240667728527,24.6014594807836,24.5592238550599,23.7678253175358,22.2065845391766,23.0432008471369,22.6154824970677,22.8437739852226,24.1667058478754,23.5055224988338,23.4854148091136
"P08133","P08133","ANXA6_HUMAN","ANXA6","Annexin A6","ENSG00000197043",24.762782421486,24.5907245620552,24.6852833529565,24.4164728180267,24.3017307251479,24.9503840762671,24.8018976941742,24.7819883952891,25.6164958436998,24.6203495447895,24.7582395409885,24.7525500350243,24.8647136185626,25.0324288930661,24.6225684759884,24.8149840475026,24.8570305851948,24.7232503713989,25.1522991792615,24.7759894157162,25.3491679399836,24.4264212964613,24.3474922039832,24.7330921525717,24.8844547267009,24.9219934267815,24.550315387849,24.5009980787309,24.3479928864182,24.3130498970172,24.6766698084631,24.2763353122578,24.6594899826516,24.5698389227245,24.607772224118
"Q9Y281","Q9Y281","COF2_HUMAN","CFL2","Cofilin-2","ENSG00000165410",24.7076197529557,24.8741772566497,24.9000323754881,24.6180863857817,24.4451811112088,25.1500505261228,25.505513754163,24.9086265970963,24.3582089264504,25.0804821492891,24.8636962628386,24.8980347535633,24.2493583599367,23.988647677587,24.535806742798,24.935912453004,24.9035144757774,24.8710055444848,24.6955061330784,24.7592486030968,24.6031876401847,24.7073896232038,24.9301747420433,24.7484248913899,24.6649915241075,25.0695544553984,24.9235959644943,24.5434274138041,24.6358001341909,25.0910953336223,25.0564226037495,24.6693571304892,25.0378750683793,25.0968696669399,24.7317836018333
"P21796","P21796","VDAC1_HUMAN","VDAC1","Voltage-dependent anion-selective channel protein 1","ENSG00000213585",25.1598185226851,25.0412152115681,24.84852640784,24.8290675060204,24.6596810586628,24.3528449619155,24.243444410285,24.8238063137344,24.5597917200868,24.8194861126744,24.6998465520922,24.9132108834243,24.8754186924451,24.2712261629484,24.5777238353788,24.6735270651208,24.6791335793475,24.6968000117338,24.3629956310388,24.9478653723876,24.5355851246285,24.9918368679191,24.6047752523707,24.4189658565763,24.5398369520682,24.7658099926479,24.6337630380044,24.9220549868289,25.1076618840708,25.1653438065691,25.0814688041779,24.5422924075616,24.8825804715725,24.6648000022167,25.0614959674927
"P10599","P10599","THIO_HUMAN","TXN","Thioredoxin","ENSG00000136810",24.5199783127183,23.755487641893,24.4345461921459,23.7603984322888,24.0529686599782,25.0132750988903,24.6249350516552,24.3675712018018,25.7257973469176,24.7222721846154,24.6787539985756,24.3329775305972,24.3197905960692,24.6905563409144,24.6717935532137,24.956147360859,24.5846037504731,24.6416095831071,25.587902301019,25.0476709046024,25.0831254030666,24.0622761549321,24.1386255380085,24.4856060200174,24.9389174904802,24.2775023513548,24.6432359496943,24.2008937373476,24.1290553582157,24.063251034989,24.0782563006626,23.8391805744205,24.0666987502683,24.3996908543396,24.190485928232
"Q14315","Q14315","FLNC_HUMAN","FLNC","Filamin-C","ENSG00000128591",24.8385424319891,25.8395843287084,24.3697803749758,23.964648833537,24.4166966362408,25.3790470484633,24.8185029418996,24.9218286537962,23.5393877556135,24.8936932302723,24.7929660054746,24.0557310357018,24.3647926899783,24.3286640215466,24.3548659817241,24.1137770754474,25.1010990422561,24.1367176462134,23.5027527594311,23.7060790519231,24.2133849265163,24.7246802282464,24.8310227695002,25.526312246934,24.3811913064455,24.22216955918,24.35679150707,24.5362204616804,25.0228007744191,25.6736439130073,25.1565022558641,24.2924219265907,24.7376017085589,24.2163295154025,24.5752881462816
"P0DP23","P0DP23","CALM1_HUMAN","CALM1","Calmodulin-1","ENSG00000198668",24.0771674851759,24.0540777825635,23.9929880420431,23.71666234653,24.0005578730591,24.6142784670976,24.2035896018025,24.4333982567334,25.9636279612442,24.1911539037865,24.9834403191216,24.0971666766342,23.8319891021768,25.0201376076738,24.6152139426861,24.715021918434,24.4492401907568,24.1550696781071,25.4939791519683,24.2562641121514,24.4054461124606,23.5413382517813,23.7023944639033,24.4986207111565,24.7762023959996,23.8427177041972,24.0166436402348,23.7241253269564,24.0373913287438,23.6161444774248,23.9997754377468,23.8548326616886,24.005799973477,24.0001369918846,24.1692258618057
"P45378","P45378","TNNT3_HUMAN","TNNT3","Troponin T, fast skeletal muscle","ENSG00000130595",23.1922083890071,28.1051863602758,23.8387799369851,22.4814552006517,22.793687759586,22.9923782473743,23.4784169767002,25.0859839083932,23.1887823384285,23.6970332148936,25.5100793383386,25.8761668662018,23.0856880167719,23.8789032352528,22.7210949595421,23.8427326037183,26.8308582178549,23.6898753357301,23.2417412248493,23.3110287533933,23.2663650940087,22.6755572403614,23.4319275557031,24.0649708663049,23.7803644798413,23.7000347875216,24.0263712468412,23.6363711194987,21.8114713793355,23.0527824503767,21.8260595360281,22.4328598693271,23.5051309753629,23.0629902969296,22.8415838792569
"P07195","P07195","LDHB_HUMAN","LDHB","L-lactate dehydrogenase B chain","ENSG00000111716",23.4734369264952,23.3192323402675,24.9738034125652,24.7714879291995,24.9100094644407,24.1911768899371,24.607799229684,24.4791826171331,25.6641893090186,24.2076431912651,24.122344828988,23.6142087014387,24.1148862502902,24.8374296463057,23.4544591087535,24.3697093990262,23.4659219122706,24.7368977216996,24.9584495456336,24.2946861714724,24.5668294069624,24.978442680439,25.048811829382,23.954341229265,25.0304077789113,23.1860917794028,24.1022604363453,23.8496606302228,22.8409812577319,25.242466836989,24.7496687078219,23.1708869454931,23.8384201679316,24.309334557899,23.6471086186648
"O00499","O00499","BIN1_HUMAN","BIN1","Myc box-dependent-interacting protein 1","ENSG00000136717",24.7384431300967,24.5760603051193,24.1277535320866,23.9564395496158,24.2409796223804,24.4079646207691,24.7570031154426,24.6069202252173,24.0130667810551,24.7656566166585,24.6920639717078,24.8889370068764,24.3403048571362,24.3422801194049,24.1935607369914,24.6432469400367,24.5849211190635,24.372637299116,24.3864585531204,24.5164294592443,24.5527344616174,24.0559221288287,24.2988061897702,24.9615169738083,24.0919221494389,24.9189558485229,24.7272209846665,24.7498704339823,24.7027440570856,24.8419549737317,24.6517873950935,24.6620920703249,24.8934043598095,24.9159661669779,24.2572124999716
"P49748","P49748","ACADV_HUMAN","ACADVL","Very long-chain specific acyl-CoA dehydrogenase, mitochondrial","ENSG00000072778",24.2976258374098,24.0250357257445,24.1676829333745,24.8837531813062,25.4001539069403,23.9595156777027,23.7836537973607,23.8889711584987,23.5795581294228,24.1101042674344,23.9061952616153,24.2227406488527,24.5018152378604,23.992702356481,24.3092632659478,24.0356532007339,24.2518447883182,24.223096005164,23.9275277291379,24.713521305014,24.4668483113946,24.8745807582777,25.2329464259845,24.6413899559972,24.1792010562059,24.1228631889066,24.790894810381,24.8968021281364,24.4585805847208,24.6771705608919,24.8335363742785,24.7165582415892,24.1327088841335,25.053929260002,25.0495058671224
"P15121","P15121","ALDR_HUMAN","AKR1B1","Aldo-keto reductase family 1 member B1","ENSG00000085662",24.8585012765485,24.6435528988226,24.0785417697538,24.7260541549034,24.8214202369792,24.9587779240847,24.7323426263968,24.1715532344775,24.2805689352178,25.0275395081613,24.7676451010791,24.7324602470087,24.6153147217856,24.3760829672963,24.130212849057,23.9245070693701,23.8466780564567,24.7582559729414,24.1290675560639,24.4892886643664,24.5191700715602,24.4889926847406,24.6038719184888,24.6178437424656,24.0403940226488,24.8167213566801,24.4064898811615,24.3566407845303,24.2023030569765,24.4519602684192,24.2297688854238,24.1647470563779,24.7271558684538,23.4496777813427,24.5070770281499
"P30048","P30048","PRDX3_HUMAN","PRDX3","Thioredoxin-dependent peroxide reductase, mitochondrial","ENSG00000165672",24.026743066559,24.2083661068078,24.4021251545183,24.8881187653601,24.7755815520568,24.1903747505348,24.2068535893375,24.4188659766179,24.2565105489869,23.9428682273192,24.0351451086528,24.1842106164431,25.0538047430757,24.0856197758433,24.5013669578612,24.0991809021209,24.1299694433631,24.4091565684856,24.3265760255041,24.0360009307386,24.4080749119664,24.4971762485976,24.3112051449601,24.1715387740958,24.4898967502351,24.4041815568955,24.3688163436012,24.5346788585437,24.62396412968,24.5047954158154,24.6226606978692,24.9501059027248,24.5398901723004,24.7310648946973,24.1753423921796
"P55084","P55084","ECHB_HUMAN","HADHB","Trifunctional enzyme subunit beta, mitochondrial","ENSG00000138029",24.2562662813611,24.4773171352568,24.5570350826294,24.756902908611,24.7966076458047,23.8951023213299,24.4036080559541,24.4623109819161,23.5880495645778,23.9067206050879,23.7744587867931,24.1243162680166,24.4120425553822,24.1552212640694,24.3052389781761,23.8174120862841,24.1235772446608,24.1421641619685,23.602484573318,24.8837088065829,25.0422331421554,24.512778954821,24.8081280657181,24.3958520022558,24.1242203457039,24.5846870215344,24.9479105192729,24.3267866648393,24.3968045821645,24.6641208407034,24.8213338376394,24.3393856316883,24.3604317425455,25.1635886862493,24.9872012300811
"P04040","P04040","CATA_HUMAN","CAT","Catalase","ENSG00000121691",23.4397366214145,23.6218734547912,23.8849678335552,22.6616229754355,22.2098074803185,23.0272707301674,22.7849456589339,23.3908085026199,25.0943705827687,23.7547515383281,23.3162783349724,22.7935824022136,24.8310696854624,26.0034971363783,24.71386767495,25.6149258188769,23.6464193032075,23.781817806188,25.4339124292126,25.127544292948,23.0075846747155,23.0666468474978,23.2651094937911,21.9227342357543,24.5700696067199,21.4782284127271,21.8946623794317,21.1643768939195,20.847225072071,21.1027833720342,21.2088790489746,20.8905987043679,22.9667961184031,21.5127209442088,21.4815088848397
"P26447","P26447","S10A4_HUMAN","S100A4","Protein S100-A4","ENSG00000196154",22.7703478993384,22.6856130187231,23.6708552621826,22.9547762599635,22.3209099111879,23.8108488974077,23.0375377551008,23.8720769545548,26.1013620411394,23.2353027521906,23.8867923577113,22.8803863045856,23.5208104084905,24.90807506817,24.3167288915887,24.8596567356633,24.6332377832319,24.3446373762665,25.8485376707635,25.0975117196491,24.4173128217975,22.3902618753096,22.536369814014,22.990068277832,24.8411112212525,22.5393812739102,22.5203953751732,22.199632560499,21.9276754451242,21.2236320394505,21.9676738116218,21.9352386492296,21.9222369387123,21.87118343255,21.5653993649863
"P22695","P22695","QCR2_HUMAN","UQCRC2","Cytochrome b-c1 complex subunit 2, mitochondrial","ENSG00000140740",24.4109767207848,24.8590429584441,24.620238318766,25.3551528424221,24.9806733733613,24.0254494169355,23.5826712872373,24.1279347731516,23.8463231271342,24.353798488811,24.0836724482962,24.26620787332,24.0460899783438,23.5191652541661,24.4241342421452,24.0713407833323,24.2500661023111,24.2721789537778,24.354380969492,24.4693181287739,24.2126492592691,24.8286040664298,24.6033944626413,23.9363499836815,24.2745697446114,24.0875836274473,23.8920809972325,24.2663426844496,24.7903560605791,24.5150272877827,24.2955154228994,24.8018914974763,24.0389950254536,24.0476754435143,24.5353244389399
"P68363","P68363","TBA1B_HUMAN","TUBA1B","Tubulin alpha-1B chain","ENSG00000123416",24.0597628455622,23.945281983283,23.8954430964115,23.4596137649692,23.8236051346943,24.4821813108369,24.3355316336625,24.5637389842924,26.1921556912268,23.8605618133958,24.4714228453204,23.7320423408768,24.0203087753136,24.7797531128503,24.5148976606589,24.5650777793063,24.8628948572818,24.0846694340122,25.2678679697467,23.6231072813566,24.7761005003626,23.768143946938,23.7595594802665,24.1980400255281,24.2658995940335,24.0021229086756,24.0335351174909,24.1020413186615,23.7254318748314,23.7356647969869,23.9516667538666,23.6478122501547,23.9498723819635,24.025187274688,23.8050798675216
"P12236","P12236","ADT3_HUMAN","SLC25A6","ADP/ATP translocase 3","ENSG00000169100",24.6378657865069,24.2887011473173,24.0295106254592,24.5115690894966,25.5738280198357,24.2385758045466,23.8281658538416,24.1761032832431,22.8464272951394,23.8170503312263,24.2172226456444,24.1021753076739,24.4310645005361,23.6508062012212,23.8702686795584,23.5124347898451,24.4108507514827,24.0412660582975,22.9435270331245,23.7224424537069,24.3215164222195,24.9679415115858,24.4339749982122,24.6260174231341,23.9652365897679,24.0757530191455,24.5270157981202,24.7785985368062,25.1485761939626,24.7344470874814,24.6232292252171,24.9071742377085,24.3912534997647,24.2373498188924,24.6573472645006
"P05141","P05141","ADT2_HUMAN","SLC25A5","ADP/ATP translocase 2","ENSG00000005022",24.8395852545299,24.6082780883559,24.2322104076923,24.7027303204792,25.0899539533062,23.8610210466755,23.9858144359167,24.0104616800738,23.6457286145229,24.61140964872,24.4129553634305,24.1836128042381,24.9553103612438,23.871821710832,23.9735872500677,23.60828728804,24.0847833485415,24.3867615346972,23.595975121534,24.4672417767998,24.0542423954182,24.9636379970258,24.885203209425,24.4535343125179,24.1867952254295,24.162019197699,24.1078138237606,24.4079821547412,24.5742511199391,24.6458397535992,24.2888497328897,24.3072564178696,24.3871058864074,23.8746138394771,24.7297829241895
"P62807","P62807","H2B1C_HUMAN","H2BC4","Histone H2B type 1-C/E/F/G/I","ENSG00000180596",23.4829729580777,26.7504140506385,23.7788373771117,22.3280361892906,21.6105017865272,22.2630884344544,24.2872922076089,24.8801625201583,26.0375127299011,22.5892009848329,24.258302162952,23.9498875903809,22.8083165370598,23.476915356794,22.8077065718126,23.8487042914261,25.8513260940694,23.6939263355826,23.5410409660681,23.4229079517105,23.0201541714745,22.8698403997495,23.0461065264316,22.6557926487516,23.7565593350558,23.3627129937281,24.7502372521941,23.0244006675211,21.1135042466132,24.8421791023896,23.2453478910817,25.2780206852357,23.779609911709,23.4838804248353,22.8177594844947
"P68366","P68366","TBA4A_HUMAN","TUBA4A","Tubulin alpha-4A chain","ENSG00000127824",24.0356823614993,23.8836342914312,24.1792458198852,24.1034634263502,23.79109597418,24.406835575645,24.6484669515219,24.6788505169957,23.1145231830275,24.4723035368333,23.9705780327744,24.6427997849917,23.6662590666833,23.8703693584555,24.2765780157959,24.7948187215627,24.4360589622089,23.9112864774887,24.1073442596675,24.014018766797,24.0809510680284,24.2653638162344,24.0107498632165,24.1098369837381,23.7142760375378,24.9928992909328,24.0113304323027,23.8472626531176,24.5413103703081,24.2158346573278,24.7405897744888,24.5713772456121,24.2248868180497,24.4575614320696,24.194125450638
"P07585","P07585","PGS2_HUMAN","DCN","Decorin","ENSG00000011465",21.9139332142601,24.7661633147204,21.9590194293773,22.6804893205761,21.9909225887758,23.4358589027019,23.061050305068,24.011053290812,25.9373575944261,21.7543326125191,23.2092629002917,23.651138474752,24.0074229498626,23.0842420513595,22.8935795736329,24.1137063576231,24.8773185129403,23.4134182533727,25.4133377219278,22.2085222739666,23.1244496207386,21.8288136268936,21.4303960939293,22.2468329132995,25.4706382588395,21.9912048982132,21.7246886456682,21.5460489699217,21.3030097672613,20.9445105080296,21.4564679067544,21.6328661717003,22.1308407804088,21.4991194664319,22.2605849612519
"Q9Y235","Q9Y235","ABEC2_HUMAN","APOBEC2","C->U-editing enzyme APOBEC-2","ENSG00000124701",24.5437082414917,24.0081598128489,24.5239476306325,23.5906696063722,23.3907194997385,23.9877830624859,24.2401153908877,24.342474638847,23.9905826177139,24.266612009896,23.8553113798742,24.714090577029,24.5517275275453,23.6959970690573,23.8589926429795,24.04408879551,24.2794022785225,24.2908899807114,23.0718606356679,23.4850882071977,24.0827569582085,24.080295631255,24.1950043641298,24.7093305688927,23.3852077369308,23.1029618526419,24.7301237117114,24.5930412669025,25.0232391780707,24.9065077026954,24.875117673527,24.6422855396496,25.1023715344142,25.1685531415612,24.5183347922357
"P07900","P07900","HS90A_HUMAN","HSP90AA1","Heat shock protein HSP 90-alpha","ENSG00000080824",23.7552127577757,23.8446304204363,24.007430220555,23.7957875772391,23.9088561391322,24.3106103053864,24.1969351026814,24.2148188160989,24.9736049144961,24.36108712407,24.1647641319152,23.8187247064843,23.9029972463052,24.1677437483347,23.959040025974,24.2338013614931,24.1860915843835,24.0475819086228,24.7186572351825,24.3367420365033,24.3625380848505,23.6552800252626,24.0237297725989,24.0160837302726,24.2476714985667,24.0580471990248,24.2657405816993,23.9705349278529,23.9115616788913,24.0864402473881,24.1161556158047,23.6919846309548,24.0821689467488,23.9215385219901,23.9935289670243
"Q05639","Q05639","EF1A2_HUMAN","EEF1A2","Elongation factor 1-alpha 2","ENSG00000101210",24.4275346936307,24.1839730174217,24.0144812639031,23.7123783410519,24.4933095466848,24.3119973779394,24.4279287763422,24.1217169060711,22.8921669739523,24.2435807771839,24.185499266444,24.4331019477555,24.3518649863118,23.8601124344529,24.3958527012458,24.1685655735218,24.2774425821477,24.1244013487922,23.6334934307008,23.6056300425955,23.7889504220305,24.0362576717967,23.5290158722019,24.5716147146463,23.7077520177997,24.7646972901958,24.7615615406313,24.6548248570133,24.2682933821747,24.0150080801881,24.4736220387613,24.3883935207375,24.2894751254274,24.3842972087999,24.5126919244285
"P56134","P56134","ATPK_HUMAN","ATP5MF","ATP synthase subunit f, mitochondrial","ENSG00000241468",24.155578340421,24.2689415173467,24.465609229591,25.0759519498189,24.7168970811408,23.7962064864281,23.8345653980209,23.9542807140793,23.3868718810485,24.2635732177541,23.8466384411725,24.0115597499633,24.2598657558715,23.7837072942105,24.1445284956773,23.9036993142045,23.9881131057639,23.9278902841384,23.7922823290963,24.3591520009805,24.2424797489215,24.7525272949667,24.68916383454,23.9505480055385,23.9188631352985,23.9346814322491,24.3457019861271,24.3084589123395,24.5581160736778,24.8763469719286,24.1491260618157,24.9466424725592,23.9246642167809,23.9323693366409,24.6162257935708
"Q8WZ42","Q8WZ42","TITIN_HUMAN","TTN","Titin","ENSG00000155657",23.6627045859664,27.3147501972082,23.7618068784588,23.1650983243327,23.0690712748864,23.1650947042871,23.4861286420646,25.1789476764461,22.3163490121568,23.5931330968281,25.2068824879984,25.5542911677774,22.1829007287508,22.9785835926605,23.2011491601513,22.6383882516724,26.5880983230564,23.0736109218883,22.3817910856114,22.8549579160889,22.8179313175959,24.0296733687674,24.1142779136036,24.1809466636577,23.2341486337515,23.4580477893062,23.588072851042,22.6645611858131,22.4212540138385,23.2093112159143,22.6205984641093,22.358597428161,22.8642348501132,22.5505011530447,22.0414003868517
"Q86TD4","Q86TD4","SRCA_HUMAN","SRL","Sarcalumenin","ENSG00000185739",24.0275525581302,24.1934864768045,24.6612665672315,24.0092140845147,24.3018615503724,24.1535267368969,24.6031788344269,24.5145072825951,23.9198926762743,24.3301786793842,24.2605603627011,24.0777326612476,23.7819497889817,23.8106119800363,23.9557291050547,24.0111238659625,23.9729401570765,24.2460993400816,23.8444433313196,24.2646158246502,24.1489002898439,23.6883148548906,24.1145345283157,24.1339749478182,24.2116212591296,24.3254084342664,24.1615543415785,24.5996255253154,24.5057575740556,24.6325966465035,24.4702533521979,24.0117703815023,24.5261140995226,24.1908831733392,24.2960596085458
"P0DMV8","P0DMV8","HS71A_HUMAN","HSPA1A","Heat shock 70 kDa protein 1A","ENSG00000204389",24.2872661434538,24.3471030809341,24.1410625907958,23.8062885048687,23.825876894126,24.4046375857546,24.7087211473284,24.2509726396013,24.7320918848351,24.5394907000415,24.4897149807733,24.0087632903336,24.0975930322204,24.2675116116227,23.6835568721009,23.8739289023186,23.9824049838173,23.9575655459615,24.3524817683118,24.595470204657,24.5335759778802,23.6961168261985,23.9842711186389,24.5643748845889,24.1644330703433,24.3414173007207,24.018628155845,24.0777945573899,23.6529715434246,24.4157074142393,24.2469360578118,23.5320835944428,24.3988018964736,24.4700300904919,24.0619123286667
"P10606","P10606","COX5B_HUMAN","COX5B","Cytochrome c oxidase subunit 5B, mitochondrial","ENSG00000135940",24.3105209613695,24.5951005382325,24.2371918656526,24.930029075388,24.823470277657,23.4692454878663,22.7870032133199,23.847429778802,23.6577360504631,23.9337991072651,24.0199584771473,24.0022110020451,24.3812256915225,23.6664547118183,24.2608913224565,23.5026059944019,24.0808081222371,23.7915374415168,24.0081210272636,24.7882969351824,24.3019022712543,24.3867303709257,24.1990610287806,23.5057874683454,24.6011122073651,23.7540668416385,23.707162827146,24.5283728071787,24.3051978865148,24.2391107834008,24.0825854616055,24.2508034622965,23.9242181955686,23.739260105219,24.2878976967285
"P63316","P63316","TNNC1_HUMAN","TNNC1","Troponin C, slow skeletal and cardiac muscles","ENSG00000114854",23.7527189022514,26.6379854532438,24.4612213137485,22.2634170174843,22.0643353985728,22.453401033098,23.8753856825735,25.797736623425,23.0273705525775,22.8288686975083,24.9784537844992,25.6162526201475,23.577408683403,23.5594744911444,22.6202520559273,23.9640678983913,25.0831036178094,22.8536012001885,21.8491864897989,22.8644488343064,23.4853417977623,23.9873772472555,23.7411852777831,23.5367650376225,21.908822114694,25.119030609965,23.5536838641697,24.0598384629969,23.1560771028216,24.1115876546858,23.7295032669377,22.7266066711585,23.8026295892283,24.1211553913249,23.281323331086
"Q13228","Q13228","SBP1_HUMAN","SELENBP1","Methanethiol oxidase","ENSG00000143416",23.4787191434817,23.2499340922613,23.9718377657543,23.2238787120128,22.9446389161747,23.6884113222259,23.8089453166662,23.9060556679131,25.2514742340926,24.2093370384602,23.9673021286045,23.5518118523565,23.9044778090102,25.2496334005676,24.1315056854773,25.0348989388694,23.9162470120027,24.050802923397,24.725021093396,24.5238394737679,23.6496401252918,23.0292302127715,22.9390518514656,23.7756122030037,24.3977012445831,23.4992021691431,23.5646734039448,22.947139143704,22.9040786373759,23.4856092681386,23.4514252229467,22.6293963527725,23.6277977247632,23.4866358379571,23.4492270703586
"P30084","P30084","ECHM_HUMAN","ECHS1","Enoyl-CoA hydratase, mitochondrial","ENSG00000127884",24.1978701985475,23.9523875405467,24.366142053007,24.3592341416077,24.5969931507221,23.9288174681536,23.4975164765447,23.8286926834979,24.302178785739,23.7452961788935,23.9090080744061,23.7188268416543,24.091763099085,23.9537696001791,23.8347620798618,23.5919938616969,23.7180866539888,23.8681629151214,23.6849801317785,23.9422885400403,24.3117712043246,24.1919237262907,24.3640201453833,24.0637725069675,23.7998776849938,23.9191046680171,24.4210573620054,24.2315464709892,24.1248728110464,24.0959256511121,24.2314057144855,24.3686826666403,23.6104049698767,24.3611442736504,24.6791850755009
"O00483","O00483","NDUA4_HUMAN","NDUFA4","Cytochrome c oxidase subunit NDUFA4","ENSG00000189043",24.6309018167561,24.4334787326491,23.5290960253765,24.1783727857194,24.9309160456971,23.5845297787185,23.1802136458806,23.3112281167068,22.8164145535016,23.4075094991533,23.5318644464981,23.5619164117039,24.2441744681143,23.1633052349844,23.4956651948193,23.3853819263645,23.508187074829,23.8536698693392,23.151857291131,23.4092634016874,23.586529294949,24.5290108900572,24.6425106106017,24.4245098124742,23.2874246573756,24.3934575381862,24.9983724315581,24.9815512523675,24.6916318589906,24.9926296211452,24.6256132345656,24.7761370343423,24.1219203378375,24.1339264567369,24.9361535977108
"O75964","O75964","ATP5L_HUMAN","ATP5MG","ATP synthase subunit g, mitochondrial","ENSG00000167283",24.0278792986736,24.0800578838675,24.3808880062719,24.8848632812755,24.8698481652913,23.8722347870513,23.4979949572213,23.9446615229056,23.4481130035205,23.9655389338902,23.6355223023485,23.9845712034291,23.8354826628912,23.3960702750043,24.0398474724549,23.3773028335172,23.85600633402,23.814887342501,23.6059127983727,24.81068759412,24.0215986592298,24.4998398515255,24.7297402326627,24.0604949655604,23.7477588490505,23.560398273003,24.0538168195887,24.7437882535558,24.6473322451865,24.5485126990392,24.3783954165774,24.6717537340173,23.7659876489943,24.033451870186,23.9064818559539
"P07737","P07737","PROF1_HUMAN","PFN1","Profilin-1","ENSG00000108518",23.7767370612861,23.8384262015496,23.6259517247356,23.8762288416081,23.5892349256575,24.0839673449849,24.1918737351861,23.8979002641163,24.7343597241554,23.7543031573633,23.9596445354897,23.7284875128263,23.6726345544186,23.7622992636022,23.721832670072,24.0001821944482,24.1659261012602,23.6165029579317,24.5156730275309,23.7209863612924,24.4532631237105,23.450855239274,23.5766284283308,23.6080524769259,23.8648961106855,24.1256584004104,23.7347464947655,23.2799658130847,23.6183677169658,23.5469020060725,23.7003173940361,23.8936213419182,23.6480290561037,23.7476091471464,23.5800964566211
"P36542","P36542","ATPG_HUMAN","ATP5F1C","ATP synthase subunit gamma, mitochondrial","ENSG00000165629",24.0340635579581,24.0877636097743,24.1853754175006,25.1381019938823,24.7529277108928,23.5837833509763,23.2298667825296,23.7228319700938,23.6475843619822,23.8531408312671,23.7697893018207,23.9589120204585,23.9849039161721,23.5905338721207,24.0822139542221,23.4954841202514,23.7241421606797,23.781713898892,23.7836722138533,24.2532979120093,23.6347612543404,24.6230932679136,24.6436121694962,23.5278123592539,24.2141959083828,23.5667840237805,24.0079528351833,24.3276920486503,24.4887716582567,24.566220575928,24.3531230700559,24.6863598969438,23.890584314572,24.1045336934147,24.1557656285498
"Q9GZV1","Q9GZV1","ANKR2_HUMAN","ANKRD2","Ankyrin repeat domain-containing protein 2","ENSG00000165887",23.5339167904436,24.5763023830239,23.391302508757,23.6779793796358,23.5272903852759,25.010697303742,25.001486105322,23.8996721951274,22.5394828483822,24.1884370225624,23.7446431792394,23.6852064802362,23.8395009092167,23.6500596022456,23.7589790329367,23.8795344433114,23.1550425917605,23.327167351424,23.3199961524047,23.7510728463984,22.7324765625627,24.4570546997798,24.7911158419891,24.6232413748479,23.996737209083,23.8299664380801,24.2590404428169,24.6271561485471,23.7697022913657,24.0153937874685,23.7362849265802,23.4744238587612,22.6028352636901,24.6398781274082,24.2272779629464
"P31930","P31930","QCR1_HUMAN","UQCRC1","Cytochrome b-c1 complex subunit 1, mitochondrial","ENSG00000010256",24.2831381589253,24.2639340263623,24.1148278299103,24.809107912109,24.8544343836574,23.75714307505,23.0296814405241,23.625877046629,23.6637428771349,23.9165681239941,23.9271769716497,23.9217837605494,24.1661847395503,23.7721304951814,24.0107335543328,23.5692658365571,23.7010942145448,24.2040666112298,23.7573495869609,24.3717399458714,23.8918037811878,24.6495293949887,24.3083476352326,23.8331362804536,24.4497181332407,23.5647579177191,23.7605169464044,24.4662935719596,24.2862239448966,24.0171593358323,23.8424283491587,24.2797797137195,23.9114053967424,23.7550976809814,24.2325960879418
"Q16836","Q16836","HCDH_HUMAN","HADH","Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial","ENSG00000138796",24.0430378400305,23.571114052021,24.1433533513435,24.5234034299791,24.6378088071946,23.6702008202318,24.0469951181618,23.9618465413435,24.5157622737574,24.0059401001632,23.7470762444866,24.01218360272,24.1972972081403,24.032337798577,23.4654101301837,23.5551248212833,23.5105558857295,24.476141323603,23.6278920444654,24.312975651678,23.801664486947,24.0543741839261,24.0889640305799,24.1573664936108,24.4351094151329,24.1988214721657,23.9140540599509,23.9627105041596,23.8648313183217,23.7217827103023,23.8111509548886,24.1421011983041,23.6223498130169,23.8053419609683,24.0912531179488
