uniprot_id,gene,n_miss,pct_miss,mean_intensity,vote_kmeans,vote_logistic,vote_lefttail,n_mnar_votes,classification,imputation_reliable,group_miss_pval
P35268,RPL22,0,0,20.849554457659963,NA,NA,NA,NA,Complete,TRUE,NA
Q9H8H3,METTL7A,0,0,20.90537346047577,NA,NA,NA,NA,Complete,TRUE,NA
P62873,GNB1,0,0,20.57888437582048,NA,NA,NA,NA,Complete,TRUE,NA
P50454,SERPINH1,24,63.1578947368421,20.579629863999685,1,0,0,1,MAR,FALSE,NA
A6NDG6,PGP,0,0,20.856537578080864,NA,NA,NA,NA,Complete,TRUE,NA
Q00610,CLTC,0,0,20.70333693964458,NA,NA,NA,NA,Complete,TRUE,NA
P50993,ATP1A2,1,2.631578947368421,20.712071193688956,0,0,0,0,MAR,TRUE,NA
P10620,MGST1,11,28.947368421052634,19.837101810136346,0,0,0,0,MAR,TRUE,NA
P54725,RAD23A,0,0,20.764534586616747,NA,NA,NA,NA,Complete,TRUE,NA
O60888,CUTA,3,7.894736842105263,20.822047579603733,0,0,0,0,MAR,TRUE,NA
P35237,SERPINB6,0,0,20.874339382051716,NA,NA,NA,NA,Complete,TRUE,NA
P31939,ATIC,0,0,20.814484277645338,NA,NA,NA,NA,Complete,TRUE,NA
P42704,LRPPRC,0,0,20.839501593946945,NA,NA,NA,NA,Complete,TRUE,NA
P16083,NQO2,2,5.263157894736842,20.633720235075096,0,0,0,0,MAR,TRUE,NA
Q13522,PPP1R1A,2,5.263157894736842,20.724181981634793,0,0,0,0,MAR,TRUE,NA
P30520,ADSS2,0,0,20.724621787533174,NA,NA,NA,NA,Complete,TRUE,NA
P08294,SOD3,0,0,19.74427863402884,NA,NA,NA,NA,Complete,TRUE,NA
Q96A26,FAM162A,0,0,20.594111857710466,NA,NA,NA,NA,Complete,TRUE,NA
P56539,CAV3,23,60.526315789473685,20.88846718975122,1,0,0,1,MAR,FALSE,NA
P25786,PSMA1,0,0,20.78782645014065,NA,NA,NA,NA,Complete,TRUE,NA
O75380,NDUFS6,0,0,20.671648110808995,NA,NA,NA,NA,Complete,TRUE,NA
P09525,ANXA4,0,0,20.60283042759921,NA,NA,NA,NA,Complete,TRUE,NA
P23284,PPIB,0,0,20.47038762341472,NA,NA,NA,NA,Complete,TRUE,NA
P46777,RPL5,0,0,20.734112066616344,NA,NA,NA,NA,Complete,TRUE,NA
Q9UII2,ATP5IF1,8,21.052631578947366,20.0183833697731,0,0,0,0,MAR,TRUE,NA
P55822,SH3BGR,1,2.631578947368421,20.58376484897577,0,0,0,0,MAR,TRUE,NA
O14732,IMPA2,2,5.263157894736842,20.64799399908371,0,0,0,0,MAR,TRUE,NA
Q96FJ2,DYNLL2,0,0,20.385977091272483,NA,NA,NA,NA,Complete,TRUE,NA
Q16363,LAMA4,22,57.89473684210527,19.560732941237212,1,0,0,1,MAR,FALSE,NA
P20340,RAB6A,0,0,20.666511733829534,NA,NA,NA,NA,Complete,TRUE,NA
P23396,RPS3,0,0,20.752071673954312,NA,NA,NA,NA,Complete,TRUE,NA
Q96RP9,GFM1,4,10.526315789473683,20.735456003701998,0,0,0,0,MAR,TRUE,NA
P05023,ATP1A1,0,0,20.781255722585932,NA,NA,NA,NA,Complete,TRUE,NA
P54727,RAD23B,0,0,20.624921582888604,NA,NA,NA,NA,Complete,TRUE,NA
P35908,KRT2,4,10.526315789473683,19.991012803275503,0,0,0,0,MAR,TRUE,NA
P02649,APOE,0,0,19.498182012964666,NA,NA,NA,NA,Complete,TRUE,NA
Q9BSH4,TACO1,5,13.157894736842104,20.522407550102557,0,0,0,0,MAR,TRUE,NA
P49721,PSMB2,0,0,20.69174322626199,NA,NA,NA,NA,Complete,TRUE,NA
P51911,CNN1,18,47.368421052631575,20.056479156708896,0,0,0,0,MAR,TRUE,NA
P48163,ME1,0,0,20.72882282415872,NA,NA,NA,NA,Complete,TRUE,NA
Q15233,NONO,1,2.631578947368421,20.667623112651107,0,0,0,0,MAR,TRUE,NA
Q9BX68,HINT2,1,2.631578947368421,20.525017715685507,0,0,0,0,MAR,TRUE,NA
Q969G5,CAVIN3,14,36.84210526315789,19.4094465350485,0,0,0,0,MAR,TRUE,NA
O75251,NDUFS7,2,5.263157894736842,20.540025655830085,0,0,0,0,MAR,TRUE,NA
P05452,CLEC3B,0,0,19.775672638094335,NA,NA,NA,NA,Complete,TRUE,NA
P46020,PHKA1,3,7.894736842105263,20.66711051129821,0,0,0,0,MAR,TRUE,NA
Q9NX63,CHCHD3,0,0,20.62108745220198,NA,NA,NA,NA,Complete,TRUE,NA
Q5BKX8,CAVIN4,1,2.631578947368421,20.371206434666643,0,0,0,0,MAR,TRUE,NA
Q9Y376,CAB39,1,2.631578947368421,20.69858400619024,0,0,0,0,MAR,TRUE,NA
Q86SX6,GLRX5,3,7.894736842105263,20.59944427524858,0,0,0,0,MAR,TRUE,NA
P21399,ACO1,0,0,20.629599316829363,NA,NA,NA,NA,Complete,TRUE,NA
P35613,BSG,0,0,20.646007446458356,NA,NA,NA,NA,Complete,TRUE,NA
P13797,PLS3,0,0,20.2132616423437,NA,NA,NA,NA,Complete,TRUE,NA
Q13885,TUBB2A,0,0,20.286602120016237,NA,NA,NA,NA,Complete,TRUE,NA
P36969,GPX4,0,0,20.564789910469386,NA,NA,NA,NA,Complete,TRUE,NA
Q9Y613,FHOD1,2,5.263157894736842,20.640827132832015,0,0,0,0,MAR,TRUE,NA
P60891,PRPS1,0,0,20.523098283456108,NA,NA,NA,NA,Complete,TRUE,NA
P00488,F13A1,0,0,20.03745002224317,NA,NA,NA,NA,Complete,TRUE,NA
Q5XKP0,MICOS13,6,15.789473684210526,20.55994233063293,0,0,0,0,MAR,TRUE,NA
P61457,PCBD1,0,0,20.598886588758706,NA,NA,NA,NA,Complete,TRUE,NA
P26885,FKBP2,0,0,20.519608750392674,NA,NA,NA,NA,Complete,TRUE,NA
Q8N8N7,PTGR2,1,2.631578947368421,20.625206463348892,0,0,0,0,MAR,TRUE,NA
Q96AB3,ISOC2,0,0,20.61110097930659,NA,NA,NA,NA,Complete,TRUE,NA
Q14974,KPNB1,0,0,20.608054793483653,NA,NA,NA,NA,Complete,TRUE,NA
