"gene","cv_t1","cv_t2","delta_cv","supplement"
"PDHB",65.2006464113314,48.6155885316913,-16.5850578796402,"Creatine"
"ACTN1",47.3732952105594,128.431839809266,81.0585445987064,"Creatine"
"COX6B1",51.1426052694738,78.3788629448231,27.2362576753493,"Creatine"
"S100A9",85.4872341358818,151.465534405051,65.9783002691692,"Creatine"
"IGHG3",78.8670475916283,95.8302762262693,16.963228634641,"Creatine"
"TUFM",35.5145438536648,29.8094145614386,-5.70512929222616,"Creatine"
"S100A8",93.2085920508846,143.238627673242,50.0300356223573,"Creatine"
"HAGH",25.5694920030723,25.3709010115671,-0.198590991505199,"Creatine"
"TAGLN",51.2642110606649,91.2870079790658,40.0227969184009,"Creatine"
"NDUFS1",45.6236474290311,34.3439061120905,-11.2797413169407,"Creatine"
"DLD",45.7528213274874,30.1611825237585,-15.5916388037289,"Creatine"
"OGDH",50.8672104232565,52.52182496499,1.65461454173349,"Creatine"
"COQ9",50.9224237562112,57.9325794148186,7.0101556586074,"Creatine"
"DLAT",61.4219697626948,38.3037095056008,-23.1182602570939,"Creatine"
"COQ8A",28.7703975836562,49.9064554661977,21.1360578825415,"Creatine"
"SLC25A12",41.9502625020924,36.7262677757156,-5.22399472637688,"Creatine"
"FKBP3",7.1305111106666,28.0243664102527,20.8938552995861,"Creatine"
"EEF2",21.2402635677653,8.80454658035825,-12.4357169874071,"Creatine"
"ACTN4",41.1990459745876,72.9363618264863,31.7373158518987,"Creatine"
"PDHA1",57.3558751140727,55.4244983894999,-1.93137672457271,"Creatine"
"MSN",44.5952291738821,69.7147454733751,25.119516299493,"Creatine"
"GSTO1",21.4172124413435,45.5605510823297,24.1433386409862,"Creatine"
"BPGM",92.5192789643489,91.3746467334855,-1.14463223086332,"Creatine"
"IGHV3-7",104.650525405298,64.959656865815,-39.6908685394832,"Creatine"
"GPD1L",37.4075744742881,55.017887544523,17.6103130702349,"Creatine"
"SUCLA2",51.6587684582658,57.5150902746543,5.85632181638847,"Creatine"
"UBA1",21.2308372136038,28.8097445241867,7.5789073105829,"Creatine"
"ACADM",45.4662203728335,53.1470331999659,7.68081282713234,"Creatine"
"COMP",101.069765408459,124.64072365366,23.5709582452012,"Creatine"
"SDHB",43.4028843017635,46.5250778501475,3.12219354838396,"Creatine"
"ALDH9A1",18.4553526484064,28.1524551482453,9.69710249983891,"Creatine"
"FBP1",20.1781673311668,37.6332326357628,17.455065304596,"Creatine"
"PRELP",87.4553136408432,96.9249910774268,9.4696774365836,"Creatine"
"GAMT",18.2236772575772,37.8417421422472,19.61806488467,"Creatine"
"SAR1A",13.1944609363256,49.8319145493698,36.6374536130443,"Creatine"
"AOC3",99.2642906305736,99.789905076123,0.525614445549365,"Creatine"
"GSTM3",44.5996622077458,59.245156994093,14.6454947863473,"Creatine"
"P4HB",21.2662874485566,33.5090693831659,12.2427819346093,"Creatine"
"FTL",64.6411915525094,83.851026782853,19.2098352303436,"Creatine"
"LRRC20",20.1116972525987,38.622488541178,18.5107912885792,"Creatine"
"COX7C",55.7573591867636,56.6274549620774,0.870095775313864,"Creatine"
"IGKV3-11",109.517685423941,57.994558543265,-51.523126880676,"Creatine"
"EHD1",41.8834811573339,92.3189804824682,50.4354993251343,"Creatine"
