gene,cv_cr,cv_h,delta_cv,is_plasma,protein_class
ECH1,22.95819765709771,25.776864095989872,-2.818666438892162,FALSE,"Metabolic proteins, Predicted intracellular proteins"
SLC25A3,32.522436708067524,21.9643675237124,10.558069184355123,TRUE,"Disease related genes, Essential proteins, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ATP5PD,42.50347628306976,24.469315154558267,18.034161128511492,FALSE,"Essential proteins, Metabolic proteins, Predicted intracellular proteins, Transporters"
ADSS1,24.081188850195677,26.838193410072623,-2.757004559876947,TRUE,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
CAVIN1,168.858537371515,18.032020092264432,150.8265172792506,TRUE,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"
MT-ATP6,40.552060808125304,38.86646186654199,1.685598941583315,FALSE,"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"
TNNI1,87.79727601913109,57.21350587015651,30.58377014897458,FALSE,Predicted intracellular proteins
HSPB7,38.83683334664339,17.49942604832782,21.33740729831557,FALSE,Predicted intracellular proteins
CSTB,121.38887660948319,24.06511512661326,97.32376148286993,TRUE,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"
RTN2,28.550789379572517,18.927012154797776,9.623777224774742,FALSE,"Disease related genes, Human disease related genes, Predicted membrane proteins"
ACTN2,170.38274146836866,75.38868106607973,94.99406040228894,TRUE,"Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"
NNT,38.70829089519756,24.344945140272138,14.363345754925419,TRUE,"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
TNNT1,108.66625576188788,43.634030441934804,65.03222531995308,FALSE,"Disease related genes, Human disease related genes, Predicted intracellular proteins"
PRDX5,55.20162178971313,19.146760074739195,36.05486171497394,TRUE,"Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"
PADI2,29.982184455011247,22.592775401819427,7.3894090531918195,FALSE,"Enzymes, Metabolic proteins, Predicted intracellular proteins"
UQCR10,24.38931544462853,34.302250199959275,-9.912934755330745,FALSE,"Metabolic proteins, Predicted membrane proteins"
ETFA,23.74326001190292,18.84877971762693,4.89448029427599,TRUE,"Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"
ACSL1,82.95148126515687,15.29866746733222,67.65281379782465,TRUE,"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
GLRX,53.14741977468643,34.983222917909124,18.16419685677731,TRUE,"Metabolic proteins, Plasma proteins, Predicted intracellular proteins"
FH,28.80262891650112,13.663516023219838,15.139112893281283,TRUE,"Cancer-related genes, Citric acid cycle related proteins, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
HINT1,26.9101147716379,18.75309534993503,8.15701942170287,TRUE,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"
MYH3,126.99929617405685,101.9584120040268,25.040884170030054,TRUE,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"
NIPSNAP2,38.168880306804724,18.334221444400754,19.83465886240397,FALSE,Predicted intracellular proteins
FTH1,49.91809231350441,20.722653824400776,29.195438489103633,TRUE,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, Essential proteins, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"
VDAC2,22.346208167397112,15.512002501201305,6.834205666195807,FALSE,"Predicted intracellular proteins, Transporters"
ACYP2,50.654387473057525,33.262972457111104,17.39141501594642,FALSE,"Enzymes, Metabolic proteins, Predicted intracellular proteins"
COX6C,42.525141445231604,26.67109992882825,15.854041516403353,FALSE,"Metabolic proteins, Predicted membrane proteins"
COX5A,35.627702718935225,16.243870878911405,19.38383184002382,TRUE,"Disease related genes, Essential proteins, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"
UQCRFS1,35.338321044309836,23.916576221654676,11.42174482265516,FALSE,"Disease related genes, Enzymes, Essential proteins, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"
HSP90AB1,27.255213147589462,13.784357563237645,13.470855584351817,TRUE,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Transporters"
PCMT1,21.308767903692377,19.947998082585546,1.3607698211068318,TRUE,"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
PSAP,138.77945187920287,23.325471122094466,115.4539807571084,TRUE,"Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"
ECI1,48.04501632033693,23.91824199516482,24.126774325172107,TRUE,"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"
CYB5R1,29.40316699302873,19.04271217951487,10.360454813513861,FALSE,"Enzymes, Metabolic proteins, Predicted intracellular proteins"
AAMDC,42.852064672608655,15.48516668537108,27.366897987237575,FALSE,Predicted intracellular proteins
ATP5ME,43.80304236034011,19.828183864169453,23.974858496170654,FALSE,"Metabolic proteins, Predicted intracellular proteins, Transporters"
