gene,quadrant,sig_cat,logFC_CvH,logFC_TCR,pi_CvH,pi_TCR
PPCS,Non-reversed,Cancer,0.661240016633325,0.123112001285784,0.00930253098830926,0.9057868363757378
ATP2B4,Non-reversed,Cancer,0.641485333353547,0.112655288145989,0.02299951462891603,0.9229860848629172
PGLS,Non-reversed,Cancer,0.63975664775425,0.0740122019504561,0.01703107243510324,0.965690157862344
DSTN,Non-reversed,Cancer,0.621947435133666,0.0500954939733891,0.0291846304399176,0.9858167191583106
IQGAP1,Non-reversed,Tr.(CR),0.592838187616049,0.615914259147065,0.12272405125600992,0.03981711240018956
AP2A1,Non-reversed,Cancer,0.578009670509754,0.0804729907325044,0.02071799525188645,0.951794577051936
CTSD,Non-reversed,Cancer,0.53832119047199,1.22086693110646e-6,0.04171552930860199,0.9999999999910952
AP2B1,Non-reversed,Cancer,0.497623734748128,0.030851358736685,0.04920233222628652,0.9931162610560172
MYOZ1,Non-reversed,Tr.(CR),0.40218004275231,1.40495337582194,0.784425168049607,0.00276122415052647
S100A13,Non-reversed,Tr.(CR),0.386394425136597,0.800953429081019,0.47585492809666896,0.00213076560618624
FTL,Non-reversed,Tr.(CR),0.131086346710863,2.27484341434938,0.96519927558489,2.2144524016790118e-16
SYNCRIP,Non-reversed,Tr.(CR),0.119033295230043,0.430033124170844,0.9031944518185776,0.04732352806643711
DARS2,Non-reversed,Tr.(CR),0.101393935011648,0.749889874864835,0.9605424024215778,0.00667390796606299
RAB5B,Non-reversed,Tr.(CR),-0.0685374789878495,-0.547633353318966,0.9743908126757488,0.01363082875071734
EIF4G2,Non-reversed,Tr.(CR),-0.0742488106487862,-0.586555281376627,0.9786643655485032,0.04466057401898297
KYAT1,Non-reversed,Tr.(CR),-0.144804566518225,-0.770125892246028,0.9216013188324956,0.00681795154875756
MAPK12,Non-reversed,Tr.(CR),-0.250734950153458,-0.682750503620623,0.7310356768547474,0.00789567705036533
PFDN1,Non-reversed,Tr.(CR),-0.358590501014948,-0.625605730769731,0.4030798716248368,0.01522903135179829
EIF3C,Non-reversed,Cancer,-0.467529457818088,-0.060574641969179,0.04221020876373261,0.9681700770119316
USO1,Non-reversed,Cancer,-0.495707305993282,-0.173125692036482,0.04642474175826263,0.721601102072589
CACNB3,Non-reversed,Cancer,-0.502010210864505,-0.106584962400403,0.03983498456754784,0.8987942957913467
UBE3A,Non-reversed,Cancer,-0.506785147236375,-0.340492493179308,0.02987419617695705,0.21456431707608056
ISOC1,Non-reversed,Cancer,-0.549394374112662,-0.179746489597727,0.04219681611135162,0.7549260541434357
FYCO1,Non-reversed,Cancer,-0.585815350161827,-0.052298279269456,0.02951493099733295,0.9830708137026803
ECPAS,Non-reversed,Cancer,-0.585997840093704,-0.00548158617447925,0.01096652061698994,0.999798295146955
EML1,Non-reversed,Cancer,-0.588033412488233,-0.0869193670362147,0.03676489568335116,0.9519324572038784
LACTB,Non-reversed,Cancer,-0.610547135899367,-0.140883308640054,0.04507241169472304,0.8800505585255134
DIABLO,Non-reversed,Cancer,-0.627670197274867,-0.183757133389784,0.01599293492577124,0.7496704093246004
CLASP2,Non-reversed,Cancer,-0.637170897367458,-0.138601695836163,0.01357435917204454,0.8772413030294576
NEK9,Non-reversed,Cancer,-0.640135564619515,-0.247117516911202,0.01903377415711316,0.6361733913885163
CSE1L,Non-reversed,Cancer,-0.647585306241186,-7.9037411933846e-4,6.028431852436677e-4,0.9999950333763118
CACNB1,Non-reversed,Cancer,-0.676189468491483,-0.0819385891627871,0.02744953952991579,0.9652818494581628
FARSB,Non-reversed,Cancer,-0.688283131993426,-0.0171908463367583,1.7205393183979413e-4,0.997499539354813
MPC2,Non-reversed,Cancer,-0.697542706296893,-0.256958914755257,0.0219280333101877,0.628713204587234
DHRS7B,Non-reversed,Cancer,-0.699377952867497,-0.0840399628088058,0.01032144429475406,0.9591691154796824
SYPL2,Non-reversed,Cancer,-0.732098637611625,-0.00370936903760821,9.817463751969325e-4,0.999915082876456
DBT,Non-reversed,Cancer,-0.73892752830703,-0.0537279074259285,0.00850405950959089,0.9855664575683808
ACAD8,Non-reversed,Cancer,-0.756386098313616,-0.29180135984055,0.01549941940753976,0.5685158296732596
ARPP19,Non-reversed,Cancer,-0.767630123014566,-0.21298950045545,0.00285828630217961,0.6998752691839316
ENDOG,Non-reversed,Cancer,-0.768662862829945,-0.203130030311881,0.0283430065985514,0.8182448060861074
JSRP1,Non-reversed,Cancer,-0.784171301457931,-0.00402331562882985,0.00672117605280402,0.9999293674217804
SDHD,Non-reversed,Cancer,-0.801006348564293,-0.140586533887246,0.03665683617741661,0.9263096671797968
CPT1A,Non-reversed,Cancer,-0.818847310573535,-0.318359735707162,0.03336394590968251,0.6304099893873413
DMAC2L,Non-reversed,Cancer,-0.902442892175173,-0.0359147637126362,8.947382362914652e-4,0.994192475337677
SMTNL1,Non-reversed,Cancer,-1.03998824509402,-0.409020923183114,6.784041589684964e-4,0.3576548915753511
PLN,Non-reversed,Cancer,-1.07164559638546,-0.129796823472088,8.754136546029375e-4,0.9373349363546892
CYB5B,Non-reversed,Cancer,-1.332871740205,-0.012261586404998,6.414121201002038e-8,0.999369138050197
ADPRH,Non-reversed,Cancer,-1.47686188057908,-0.0387649174099867,6.1292503641969e-7,0.9950986302342276
