gene,log2_fold_change,neg_log10_pvalue,pi_score,adjusted_pvalue,direction
NRDC,-0.6379,1.0634,0.209756,0.992867,NS
XIRP1,-0.6751,0.9979,0.211979,0.992867,NS
CD34,0.5533,1.2175,0.212035,0.992867,NS
APOD,0.7989,0.8376,0.214196,0.992867,NS
PDIA4,0.5912,1.131,0.214448,0.992867,NS
PTCD3,-0.8425,0.7874,0.217085,0.992867,NS
DMAC2L,-0.5579,1.1813,0.219275,0.992867,NS
HDLBP,0.6663,0.9844,0.220849,0.992867,NS
CYTH1,-0.5807,1.1285,0.221125,0.992867,NS
RNF126,-0.5,1.3063,0.222225,0.992867,NS
RNF181,-0.7133,0.9146,0.222675,0.992867,NS
ANXA3,-0.5299,1.2306,0.222812,0.992867,NS
RAB5B,-0.4841,1.346,0.223022,0.992867,NS
F13A1,0.7248,0.8905,0.226273,0.992867,NS
MCEE,-0.6155,1.0483,0.226348,0.992867,NS
IGFBP5,0.5677,1.1289,0.228598,0.992867,NS
CHDH,-0.5131,1.2469,0.229188,0.992867,NS
MYCBP,-0.6029,1.0582,0.230165,0.992867,NS
RBKS,-0.7075,0.8992,0.231125,0.992867,NS
NAA10,0.5667,1.1203,0.231802,0.992867,NS
CRYL1,-0.6206,1.016,0.234159,0.992867,NS
MYOZ1,1.0363,0.6084,0.234165,0.992867,NS
OBSCN,0.6829,0.923,0.234267,0.992867,NS
RBBP4,-0.5727,1.098,0.235026,0.992867,NS
PPM1B,-0.5323,1.1759,0.236621,0.992867,NS
TOMM5,-0.5935,1.0535,0.236988,0.992867,NS
STARD10,-0.6688,0.9345,0.237105,0.992867,NS
DYNLT1,0.5691,1.0929,0.238816,0.992867,NS
NUDCD3,0.5832,1.065,0.239231,0.992867,NS
CAPG,0.8548,0.7243,0.240334,0.992867,NS
FMOD,1.2732,0.4845,0.241577,0.992867,NS
GSN,0.6976,0.8685,0.247835,0.992867,NS
NT5C3A,-0.5547,1.0915,0.248043,0.992867,NS
LCP1,0.7978,0.7584,0.248277,0.992867,NS
SYNPO2L,0.8959,0.6691,0.251501,0.992867,NS
SSPN,-0.7029,0.8511,0.252178,0.992867,NS
UBE2V2,-0.4051,1.4641,0.255233,0.992867,NS
RRAGC,-0.5052,1.1636,0.258322,0.992867,NS
PRPSAP2,-0.5333,1.1009,0.258767,0.992867,NS
LUM,0.8098,0.7235,0.259497,0.992867,NS
MRPL39,0.9532,0.6138,0.259966,0.992867,NS
MAPKAPK3,-0.8671,0.6723,0.26127,0.992867,NS
CTSZ,0.5718,1.0191,0.261403,0.992867,NS
C20orf27,0.619,0.9403,0.26182,0.992867,NS
HNRNPD,0.3912,1.4815,0.26329,0.992867,NS
AOX1,0.7798,0.7426,0.263589,0.992867,NS
COX20,-0.6305,0.912,0.266023,0.992867,NS
HCLS1,0.7736,0.7411,0.267105,0.992867,NS
CASP3,0.6273,0.9102,0.268525,0.992867,NS
ACSL4,-0.6775,0.8408,0.269379,0.992867,NS
TBCEL,0.6536,0.8714,0.269429,0.992867,NS
SMYD5,-0.5173,1.101,0.269435,0.992867,NS
EIF4G2,-0.5134,1.1023,0.271681,0.992867,NS
ALYREF,0.7289,0.7752,0.272247,0.992867,NS
SLC35A4,-0.5269,1.0706,0.272831,0.992867,NS
TXN2,-0.4501,1.2501,0.273714,0.992867,NS
TRA2B,0.7355,0.761,0.27558,0.992867,NS
PLN,-0.6241,0.8934,0.276962,0.992867,NS
SFXN1,0.4117,1.3513,0.277789,0.992867,NS
TSNAX,-0.421,1.3101,0.280812,0.992867,NS
HSP90B1,0.5654,0.975,0.281004,0.992867,NS
CSNK2B,-0.4585,1.2016,0.281213,0.992867,NS
AAMDC,-0.6484,0.8477,0.282059,0.992867,NS
SH3BGRL,0.6613,0.8281,0.283393,0.992867,NS
SH3BGRL3,0.6301,0.8658,0.284721,0.992867,NS
CD58,0.6837,0.7916,0.287595,0.992867,NS
PRKRA,-0.5586,0.9685,0.287756,0.992867,NS
C12orf57,-0.522,1.036,0.28785,0.992867,NS
SGCB,-0.4878,1.1077,0.288191,0.992867,NS
ALDH1B1,0.537,1.0051,0.288558,0.992867,NS
ARHGAP1,0.534,1.0092,0.289083,0.992867,NS
SYPL1,-0.4273,1.2601,0.289481,0.992867,NS
RAP1A,-0.7,0.7685,0.289764,0.992867,NS
ASPSCR1,-0.9617,0.5537,0.293395,0.992867,NS
MYBPH,0.8078,0.6565,0.294869,0.992867,NS
AEBP1,0.86,0.614,0.296462,0.992867,NS
CAPRIN1,-0.6002,0.8783,0.297048,0.992867,NS
SLC25A42,0.5874,0.894,0.298447,0.992867,NS
RPL4,0.3733,1.4047,0.298955,0.992867,NS
SET,0.4355,1.2037,0.299037,0.992867,NS
IGBP1,-0.4575,1.1449,0.299379,0.992867,NS
GLUD1,0.4762,1.0845,0.304467,0.992867,NS
CAND2,-0.5136,1.0013,0.30598,0.992867,NS
ACTB,0.7997,0.6425,0.306329,0.992867,NS
CSPG4,-0.4752,1.0707,0.309907,0.992867,NS
MRPS36,-0.5284,0.9625,0.310013,0.992867,NS
