uniprot_id,gene,protein,description
Q9NS69,TOMM22,TOM22_HUMAN,Mitochondrial import receptor subunit TOM22 homolog
Q9NS86,LANCL2,LANC2_HUMAN,LanC-like protein 2
Q9NSD9,FARSB,SYFB_HUMAN,Phenylalanine--tRNA ligase beta subunit
Q9NSE4,IARS2,SYIM_HUMAN,"Isoleucine--tRNA ligase, mitochondrial"
Q9NSK7,C19orf12,CS012_HUMAN,Protein C19orf12
Q9NT62,ATG3,ATG3_HUMAN,Ubiquitin-like-conjugating enzyme ATG3
Q9NTG7,SIRT3,SIR3_HUMAN,"NAD-dependent protein deacetylase sirtuin-3, mitochondrial"
Q9NTJ4,MAN2C1,MA2C1_HUMAN,Alpha-mannosidase 2C1
Q9NTK5,OLA1,OLA1_HUMAN,Obg-like ATPase 1
Q9NTM9,CUTC,CUTC_HUMAN,Copper homeostasis protein cutC homolog
Q9NTX5,ECHDC1,ECHD1_HUMAN,Ethylmalonyl-CoA decarboxylase
Q9NUB1,ACSS1,ACS2L_HUMAN,"Acetyl-coenzyme A synthetase 2-like, mitochondrial"
Q9NUJ1,ABHD10,ABHDA_HUMAN,"Mycophenolic acid acyl-glucuronide esterase, mitochondrial"
Q9NUQ7,UFSP2,UFSP2_HUMAN,Ufm1-specific protease 2
Q9NUQ8,ABCF3,ABCF3_HUMAN,ATP-binding cassette sub-family F member 3
Q9NUU7,DDX19A,DD19A_HUMAN,ATP-dependent RNA helicase DDX19A
Q9NVA1,UQCC1,UQCC1_HUMAN,Ubiquinol-cytochrome-c reductase complex assembly factor 1
Q9NVA2,SEPTIN11,SEP11_HUMAN,Septin-11
Q9NVD7,PARVA,PARVA_HUMAN,Alpha-parvin
Q9NVE7,PANK4,PANK4_HUMAN,4'-phosphopantetheine phosphatase
Q9NVH6,TMLHE,TMLH_HUMAN,"Trimethyllysine dioxygenase, mitochondrial"
Q9NVI7,ATAD3A,ATD3A_HUMAN,ATPase family AAA domain-containing protein 3A
Q9NVJ2,ARL8B,ARL8B_HUMAN,ADP-ribosylation factor-like protein 8B
Q9NVS2,MRPS18A,RT18A_HUMAN,"39S ribosomal protein S18a, mitochondrial"
Q9NVS9,PNPO,PNPO_HUMAN,Pyridoxine-5'-phosphate oxidase
Q9NVT9,ARMC1,ARMC1_HUMAN,Armadillo repeat-containing protein 1
Q9NWU1,OXSM,OXSM_HUMAN,"3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial"
Q9NWV4,CZIB,CZIB_HUMAN,CXXC motif containing zinc binding protein
Q9NX14,NDUFB11,NDUBB_HUMAN,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial"
Q9NX40,OCIAD1,OCAD1_HUMAN,OCIA domain-containing protein 1
Q9NX47,MARCHF5,MARH5_HUMAN,E3 ubiquitin-protein ligase MARCHF5
Q9NX63,CHCHD3,MIC19_HUMAN,MICOS complex subunit MIC19
Q9NXA8,SIRT5,SIR5_HUMAN,"NAD-dependent protein deacylase sirtuin-5, mitochondrial"
Q9NXJ5,PGPEP1,PGPI_HUMAN,Pyroglutamyl-peptidase 1
Q9NXR7,BABAM2,BABA2_HUMAN,BRISC and BRCA1-A complex member 2
Q9NY33,DPP3,DPP3_HUMAN,Dipeptidyl peptidase 3
Q9NY65,TUBA8,TBA8_HUMAN,Tubulin alpha-8 chain
Q9NYK5,MRPL39,RM39_HUMAN,"39S ribosomal protein L39, mitochondrial"
Q9NYL2,MAP3K20,M3K20_HUMAN,Mitogen-activated protein kinase kinase kinase 20
Q9NYL9,TMOD3,TMOD3_HUMAN,Tropomodulin-3
Q9NYU2,UGGT1,UGGG1_HUMAN,UDP-glucose:glycoprotein glucosyltransferase 1
Q9NZ01,TECR,TECR_HUMAN,Very-long-chain enoyl-CoA reductase
