contrast,gene,average_intensity,logFC,sig_pi,direction
Training_PLA,RIC8A,16.4888928310373,0.368928600946031,0,NS
Training_PLA,MYPN,16.6221707455218,0.0911746519477106,0,NS
Training_PLA,RPL36AL,16.2713073393858,-0.406919010021156,0,NS
Training_PLA,SDCBP,16.4570805908516,-0.776350387931323,0,NS
Training_PLA,MFN2,16.3701945875161,-0.124446335797213,0,NS
Training_PLA,EIF4G2,16.3987816132865,-0.69217789159212,0,NS
Training_PLA,NUDC,16.4444196750342,-0.533634333391149,0,NS
Training_PLA,PRKRA,16.3925154942011,-0.518876478143685,0,NS
Training_PLA,LCMT1,16.4986747132621,0.0490570067821281,0,NS
Training_PLA,JAGN1,16.3479070407299,0.038234777090544,0,NS
Training_PLA,HYOU1,16.2427586264782,0.105429597897178,0,NS
Training_PLA,MTX1,16.3070391063802,-0.0887136843343157,0,NS
Training_PLA,U2AF2,16.5074374182656,-0.62202041153046,0,NS
Training_PLA,ACOT1,16.3068879555586,0.120306999688776,0,NS
Training_PLA,SEC13,16.4996493720326,0.299161393188861,0,NS
Training_PLA,CLASP2,16.2231149203751,-0.192876720915432,0,NS
Training_PLA,ATP2B4,16.0955398914992,0.127456748881645,0,NS
Training_PLA,HLA-B,16.3730055393079,-0.194353929513294,0,NS
Training_PLA,SNX1,16.018017332766,-0.165981543494009,0,NS
Training_PLA,PCYT2,16.3799969852741,-0.0415760066940862,0,NS
Training_PLA,LSS,16.2343567241718,-0.4665895183281,0,NS
Training_PLA,GAA,16.4040167120136,0.268917181486078,0,NS
Training_PLA,PFDN4,16.310112376228,-0.095858489218589,0,NS
Training_PLA,FUBP1,16.2928943544424,-0.301198778220908,0,NS
Training_PLA,CBX3,16.1972469052006,0.120780787775834,0,NS
Training_PLA,TRAPPC3,16.4184261730165,0.030413632038151,0,NS
Training_PLA,HTRA2,16.4987918753451,0.0381054803333285,0,NS
Training_PLA,SCO1,16.3962728760001,0.0465528121944772,0,NS
Training_PLA,APIP,16.380636324427,-0.225857652628022,0,NS
Training_PLA,RUVBL1,16.2708516046283,-0.826299518062946,-1,Down
Training_PLA,RPS23,16.3509020641754,-0.126316893671095,0,NS
Training_PLA,NOMO2,16.1964537413913,0.146801763133205,0,NS
Training_PLA,HSPA1L,16.3749865652136,0.0915449207471717,0,NS
Training_PLA,THOP1,16.3072490045286,-0.180967604042806,0,NS
Training_PLA,MXRA7,15.6434426078997,0.167027517140673,0,NS
Training_PLA,CLPP,16.2508828383168,0.590803061151925,0,NS
Training_PLA,SNRPD2,16.2070761114428,-0.594113097397923,0,NS
Training_PLA,UFL1,16.3308032671294,0.00229887916394134,0,NS
Training_PLA,MOB2,16.2364049677534,-0.34463051523764,0,NS
Training_PLA,MAVS,16.1233182053183,-0.0416410927444524,0,NS
Training_PLA,FGGY,16.3699283649667,-0.14906845998744,0,NS
Training_PLA,TRIM25,16.2612195905198,-0.166252844529851,0,NS
Training_PLA,CARS1,16.15441073215,-0.16563144719639,0,NS
Training_PLA,RAP1A,15.5391018002567,0.734432529398449,0,NS
